layer,series,variant,rho_cfnai,p_cfnai,rho_vix,p_vix
min_directive_quote,will,"per1k, 2010–2026",0.009,0.9165,0.028,0.7544
min_directive_quote,will,CFNAI lag 1,0.03,0.7699,-0.176,0.0806
min_directive_quote,will,VIX inter-meeting,0.037,0.715,-0.196,0.0515
min_directive_quote,will,share (N2),-0.346,0.0232,-0.67,0.0
min_directive_quote,will,count (N3),0.026,0.7989,-0.194,0.0545
min_front_matter,ALL,"baseline per1k, T1",0.042,0.6817,0.056,0.583
min_front_matter,ALL,"per1k, excl-2020",0.045,0.6729,-0.008,0.9369
min_front_matter,ALL,"per1k, 2010–2026",-0.09,0.3049,0.018,0.8383
min_front_matter,ALL,CFNAI lag 1,0.008,0.9346,0.056,0.583
min_front_matter,ALL,VIX inter-meeting,0.042,0.6817,0.085,0.4014
min_front_matter,ALL,share (N2),,,,
min_front_matter,ALL,count (N3),0.044,0.6656,0.063,0.5349
min_front_matter,would,"baseline per1k, T1",0.055,0.5869,-0.07,0.4885
min_front_matter,would,"per1k, excl-2020",-0.024,0.8244,-0.129,0.2222
min_front_matter,would,"per1k, 2010–2026",-0.098,0.2648,-0.092,0.2949
min_front_matter,would,CFNAI lag 1,0.06,0.5536,-0.07,0.4885
min_front_matter,would,VIX inter-meeting,0.055,0.5869,-0.044,0.6642
min_front_matter,would,share (N2),0.134,0.6949,-0.429,0.1879
min_front_matter,would,count (N3),0.056,0.5806,-0.07,0.4937
min_participants,ALL,"baseline per1k, T1",-0.091,0.373,0.144,0.1562
min_participants,ALL,"per1k, excl-2020",-0.005,0.9595,0.064,0.5486
min_participants,ALL,"per1k, 2010–2026",-0.069,0.4331,0.025,0.7773
min_participants,ALL,CFNAI lag 1,-0.191,0.0583,0.144,0.1562
min_participants,ALL,VIX inter-meeting,-0.091,0.373,0.128,0.2066
min_participants,ALL,share (N2),,,,
min_participants,ALL,count (N3),-0.004,0.9692,0.152,0.1322
min_participants,could,"baseline per1k, T1",-0.175,0.0834,0.124,0.2204
min_participants,could,"per1k, excl-2020",-0.227,0.0301,0.075,0.4782
min_participants,could,"per1k, 2010–2026",-0.174,0.0468,0.059,0.5069
min_participants,could,CFNAI lag 1,-0.215,0.0323,0.124,0.2204
min_participants,could,VIX inter-meeting,-0.175,0.0834,0.062,0.5395
min_participants,could,share (N2),-0.182,0.072,0.052,0.61
min_participants,could,count (N3),-0.113,0.2652,0.133,0.1877
min_participants,may,"baseline per1k, T1",-0.031,0.7621,-0.12,0.2355
min_participants,may,"per1k, excl-2020",-0.003,0.9787,-0.083,0.4351
min_participants,may,"per1k, 2010–2026",0.027,0.7573,-0.207,0.0176
min_participants,may,CFNAI lag 1,0.003,0.9756,-0.12,0.2355
min_participants,may,VIX inter-meeting,-0.031,0.7621,-0.151,0.1367
min_participants,may,share (N2),-0.039,0.7026,-0.146,0.1503
min_participants,may,count (N3),-0.015,0.8851,-0.113,0.2651
min_participants,should,"baseline per1k, T1",0.029,0.7734,-0.239,0.0174
min_participants,should,"per1k, excl-2020",0.147,0.1655,-0.244,0.0199
min_participants,should,"per1k, 2010–2026",0.023,0.7911,-0.292,0.0007
min_participants,should,CFNAI lag 1,0.009,0.9258,-0.239,0.0174
min_participants,should,VIX inter-meeting,0.029,0.7734,-0.247,0.0137
min_participants,should,share (N2),0.044,0.6631,-0.303,0.0023
min_participants,should,count (N3),0.009,0.9299,-0.233,0.0202
min_participants,would,"baseline per1k, T1",0.017,0.8637,0.24,0.0166
min_participants,would,"per1k, excl-2020",0.131,0.2167,0.175,0.0978
min_participants,would,"per1k, 2010–2026",0.012,0.8908,0.145,0.0979
min_participants,would,CFNAI lag 1,-0.102,0.3165,0.24,0.0166
min_participants,would,VIX inter-meeting,0.017,0.8637,0.28,0.005
min_participants,would,share (N2),0.143,0.1594,0.133,0.1888
min_participants,would,count (N3),0.066,0.5143,0.213,0.034
min_special,ALL,"baseline per1k, T1",0.196,0.2246,-0.161,0.3205
min_special,ALL,"per1k, excl-2020",0.21,0.2182,-0.139,0.4188
min_special,ALL,"per1k, 2010–2026",0.273,0.0576,-0.033,0.8237
min_special,ALL,CFNAI lag 1,0.229,0.1546,-0.161,0.3205
min_special,ALL,VIX inter-meeting,0.196,0.2246,-0.181,0.2631
min_special,ALL,share (N2),,,,
min_special,ALL,count (N3),0.218,0.1769,0.07,0.6675
min_special,could,"baseline per1k, T1",0.053,0.7439,0.293,0.0664
min_special,could,"per1k, excl-2020",0.204,0.2325,0.278,0.1009
min_special,could,"per1k, 2010–2026",0.138,0.3441,0.315,0.0275
min_special,could,CFNAI lag 1,0.076,0.6412,0.293,0.0664
min_special,could,VIX inter-meeting,0.053,0.7439,0.283,0.077
min_special,could,share (N2),-0.016,0.9235,0.269,0.0926
min_special,could,count (N3),0.105,0.5203,0.16,0.325
min_special,should,"baseline per1k, T1",0.28,0.0797,0.325,0.0409
min_special,should,"per1k, excl-2020",0.259,0.1266,0.443,0.0068
min_special,should,"per1k, 2010–2026",0.318,0.0261,0.337,0.018
min_special,should,CFNAI lag 1,0.444,0.0041,0.325,0.0409
min_special,should,VIX inter-meeting,0.28,0.0797,0.26,0.1049
min_special,should,share (N2),0.245,0.1282,0.358,0.0234
min_special,should,count (N3),0.323,0.0422,0.31,0.0519
min_special,will,"baseline per1k, T1",0.114,0.4847,-0.061,0.7102
min_special,will,"per1k, excl-2020",0.108,0.5301,-0.097,0.575
min_special,will,"per1k, 2010–2026",0.104,0.478,-0.034,0.8172
min_special,will,CFNAI lag 1,0.07,0.6691,-0.061,0.7102
min_special,will,VIX inter-meeting,0.114,0.4847,-0.06,0.7111
min_special,will,share (N2),0.099,0.5449,-0.07,0.6677
min_special,will,count (N3),0.115,0.4817,-0.072,0.6596
min_special,would,"baseline per1k, T1",0.049,0.7663,-0.104,0.5218
min_special,would,"per1k, excl-2020",-0.081,0.6404,-0.124,0.4728
min_special,would,"per1k, 2010–2026",0.011,0.9384,-0.025,0.866
min_special,would,CFNAI lag 1,-0.03,0.8532,-0.104,0.5218
min_special,would,VIX inter-meeting,0.049,0.7663,-0.133,0.4139
min_special,would,share (N2),-0.041,0.8038,-0.108,0.5074
min_special,would,count (N3),0.239,0.1376,0.071,0.665
min_staff,ALL,"baseline per1k, T1",0.075,0.4586,-0.333,0.0008
min_staff,ALL,"per1k, excl-2020",0.092,0.3861,-0.361,0.0004
min_staff,ALL,"per1k, 2010–2026",0.058,0.5082,-0.393,0.0
min_staff,ALL,CFNAI lag 1,0.119,0.2413,-0.333,0.0008
min_staff,ALL,VIX inter-meeting,0.075,0.4586,-0.298,0.0027
min_staff,ALL,share (N2),,,,
min_staff,ALL,count (N3),0.141,0.164,-0.304,0.0022
min_staff,could,"baseline per1k, T1",-0.014,0.8903,-0.266,0.0078
min_staff,could,"per1k, excl-2020",-0.041,0.6998,-0.204,0.0525
min_staff,could,"per1k, 2010–2026",-0.002,0.9832,-0.305,0.0004
min_staff,could,CFNAI lag 1,-0.003,0.9798,-0.266,0.0078
min_staff,could,VIX inter-meeting,-0.014,0.8903,-0.246,0.014
min_staff,could,share (N2),-0.088,0.3889,-0.126,0.2131
min_staff,could,count (N3),0.021,0.8358,-0.284,0.0043
min_staff,may,"baseline per1k, T1",0.013,0.9022,-0.255,0.0109
min_staff,may,"per1k, excl-2020",0.049,0.6442,-0.227,0.0302
min_staff,may,"per1k, 2010–2026",-0.007,0.9365,-0.267,0.0021
min_staff,may,CFNAI lag 1,0.023,0.8178,-0.255,0.0109
min_staff,may,VIX inter-meeting,0.013,0.9022,-0.254,0.0112
min_staff,may,share (N2),-0.038,0.7065,-0.216,0.032
min_staff,may,count (N3),0.012,0.9032,-0.297,0.0028
min_staff,would,"baseline per1k, T1",0.128,0.2073,-0.229,0.0228
min_staff,would,"per1k, excl-2020",0.177,0.0928,-0.32,0.002
min_staff,would,"per1k, 2010–2026",0.104,0.2359,-0.269,0.0019
min_staff,would,CFNAI lag 1,0.19,0.0596,-0.229,0.0228
min_staff,would,VIX inter-meeting,0.128,0.2073,-0.199,0.0485
min_staff,would,share (N2),0.099,0.3296,0.115,0.2567
min_staff,would,count (N3),0.187,0.0637,-0.207,0.0399
min_staff_desk,ALL,"baseline per1k, T1",0.139,0.17,0.139,0.1699
min_staff_desk,ALL,"per1k, excl-2020",0.161,0.1262,0.119,0.2593
min_staff_desk,ALL,"per1k, 2010–2026",0.135,0.1235,0.113,0.1999
min_staff_desk,ALL,CFNAI lag 1,-0.005,0.9609,0.139,0.1699
min_staff_desk,ALL,VIX inter-meeting,0.139,0.17,0.139,0.1708
min_staff_desk,ALL,share (N2),,,,
min_staff_desk,ALL,count (N3),0.149,0.1415,0.219,0.0292
min_staff_desk,could,"baseline per1k, T1",0.213,0.0344,0.211,0.0358
min_staff_desk,could,"per1k, excl-2020",0.252,0.0161,0.222,0.0347
min_staff_desk,could,"per1k, 2010–2026",0.182,0.0378,0.147,0.0949
min_staff_desk,could,CFNAI lag 1,0.072,0.4809,0.211,0.0358
min_staff_desk,could,VIX inter-meeting,0.213,0.0344,0.21,0.0368
min_staff_desk,could,share (N2),0.181,0.0987,0.224,0.0404
min_staff_desk,could,count (N3),0.24,0.0167,0.241,0.0161
min_staff_desk,may,"baseline per1k, T1",-0.003,0.9764,-0.003,0.98
min_staff_desk,may,"per1k, excl-2020",0.028,0.7954,0.041,0.6995
min_staff_desk,may,"per1k, 2010–2026",-0.003,0.9713,-0.069,0.4369
min_staff_desk,may,CFNAI lag 1,-0.093,0.3575,-0.003,0.98
min_staff_desk,may,VIX inter-meeting,-0.003,0.9764,-0.003,0.9795
min_staff_desk,may,share (N2),-0.014,0.9001,-0.052,0.6397
min_staff_desk,may,count (N3),0.016,0.8718,-0.002,0.9824
min_staff_desk,should,"baseline per1k, T1",0.055,0.588,0.046,0.6536
min_staff_desk,should,"per1k, excl-2020",0.032,0.7655,-0.003,0.9773
min_staff_desk,should,"per1k, 2010–2026",0.04,0.6506,0.104,0.2376
min_staff_desk,should,CFNAI lag 1,-0.041,0.6836,0.046,0.6536
min_staff_desk,should,VIX inter-meeting,0.055,0.588,0.046,0.6521
min_staff_desk,should,share (N2),0.048,0.6637,0.03,0.7892
min_staff_desk,should,count (N3),0.066,0.5184,0.047,0.646
min_staff_desk,will,"baseline per1k, T1",0.026,0.7949,-0.14,0.166
min_staff_desk,will,"per1k, excl-2020",0.012,0.9117,-0.131,0.2149
min_staff_desk,will,"per1k, 2010–2026",0.006,0.943,-0.132,0.1332
min_staff_desk,will,CFNAI lag 1,-0.059,0.5589,-0.14,0.166
min_staff_desk,will,VIX inter-meeting,0.026,0.7949,-0.148,0.1448
min_staff_desk,will,share (N2),0.023,0.8373,-0.159,0.1489
min_staff_desk,will,count (N3),0.036,0.7269,-0.14,0.1658
min_staff_desk,would,"baseline per1k, T1",0.089,0.3831,0.126,0.2131
min_staff_desk,would,"per1k, excl-2020",0.123,0.2436,0.097,0.3586
min_staff_desk,would,"per1k, 2010–2026",0.132,0.1337,0.134,0.128
min_staff_desk,would,CFNAI lag 1,0.012,0.9095,0.126,0.2131
min_staff_desk,would,VIX inter-meeting,0.089,0.3831,0.123,0.2235
min_staff_desk,would,share (N2),-0.135,0.2204,-0.066,0.55
min_staff_desk,would,count (N3),0.09,0.3738,0.198,0.0492
