layer,modal,subj_type,n,share
pc_chair,will,we_I,1813,0.418
pc_chair,will,it_there_rel,972,0.224
pc_chair,will,econ,596,0.137
pc_chair,will,other,496,0.114
pc_chair,will,person,340,0.078
pc_chair,will,committee,73,0.017
pc_chair,will,none,33,0.008
pc_chair,will,fed,18,0.004
pc_chair,would,we_I,1752,0.56
pc_chair,would,it_there_rel,699,0.224
pc_chair,would,other,260,0.083
pc_chair,would,person,221,0.071
pc_chair,would,econ,140,0.045
pc_chair,would,none,34,0.011
pc_chair,would,committee,14,0.004
pc_chair,would,fed,4,0.001
pc_chair,would,risks,3,0.001
pc_chair,could,it_there_rel,262,0.419
pc_chair,could,other,104,0.166
pc_chair,could,we_I,99,0.158
pc_chair,could,person,83,0.133
pc_chair,could,econ,61,0.097
pc_chair,could,none,13,0.021
pc_chair,could,committee,3,0.005
pc_chair,could,fed,1,0.002
pc_chair,can,we_I,642,0.399
pc_chair,can,person,404,0.251
pc_chair,can,it_there_rel,183,0.114
pc_chair,can,none,144,0.089
pc_chair,can,other,125,0.078
pc_chair,can,econ,91,0.057
pc_chair,can,fed,18,0.011
pc_chair,can,committee,2,0.001
pc_chair,can,risks,1,0.001
pc_chair,should,we_I,122,0.245
pc_chair,should,it_there_rel,122,0.245
pc_chair,should,other,96,0.193
pc_chair,should,econ,79,0.159
pc_chair,should,person,67,0.135
pc_chair,should,none,6,0.012
pc_chair,should,fed,4,0.008
pc_chair,should,committee,1,0.002
pc_chair,may,it_there_rel,228,0.47
pc_chair,may,other,86,0.177
pc_chair,may,econ,61,0.126
pc_chair,may,we_I,58,0.12
pc_chair,may,person,45,0.093
pc_chair,may,none,6,0.012
pc_chair,may,fed,1,0.002
