layer,series,metric,trend,p,tau,sen_slope,n
pc_chair,ALL,per1k,no trend,0.5036,-0.0513,-0.0071,80
pc_chair,can,per1k,increasing,0.0006,0.262,0.0184,80
pc_chair,can,share,increasing,0.0001,0.3003,0.001,80
pc_chair,could,per1k,no trend,0.1743,-0.1038,-0.0036,80
pc_chair,could,share,no trend,0.3167,-0.0766,-0.0002,80
pc_chair,may,per1k,no trend,0.5359,-0.0475,-0.0014,80
pc_chair,may,share,no trend,0.5805,-0.0424,-0.0001,80
pc_chair,should,per1k,no trend,0.0555,-0.1462,-0.0045,80
pc_chair,should,share,no trend,0.0669,-0.1399,-0.0002,80
pc_chair,will,per1k,no trend,0.6687,-0.0329,-0.0046,80
pc_chair,will,share,no trend,0.7522,-0.0244,-0.0001,80
pc_chair,would,per1k,no trend,0.0576,-0.1449,-0.0161,80
pc_chair,would,share,no trend,0.0901,-0.1294,-0.0006,80
