layer,item,kind,freq_in,tokens_in,freq_out,tokens_out,pmw_in,pmw_out,LL,p,log_ratio,pct_diff,sign,q
statement,will,modal,607,41906,37,62833,14484.8,588.9,866.65,0.0,4.602,2359.8,+,0.0
statement,would,modal,49,41906,719,62833,1169.3,11443.0,460.08,0.0,-3.277,-89.8,-,0.0
statement,could,modal,50,41906,83,62833,1193.1,1321.0,0.33,0.5682,-0.141,-9.7,-,0.6176
statement,can,modal,4,41906,3,62833,95.5,47.7,0.83,0.3612,0.947,99.9,+,0.4105
statement,should,modal,33,41906,85,62833,787.5,1352.8,7.47,0.0063,-0.767,-41.8,-,0.0098
statement,may,modal,27,41906,31,62833,644.3,493.4,1.02,0.3128,0.388,30.6,+,0.3724
statement,will/activity,unit,132,41906,11,62833,3149.9,175.1,175.52,0.0,4.111,1699.3,+,0.0
statement,will/aspectual,unit,126,41906,4,62833,3006.7,63.7,199.21,0.0,5.397,4623.0,+,0.0
statement,will/mental,unit,105,41906,2,62833,2505.6,31.8,174.53,0.0,5.984,7771.7,+,0.0
statement,will/policy_action,unit,57,41906,6,62833,1360.2,95.5,70.93,0.0,3.729,1324.4,+,0.0
statement,will/copular_adj,unit,51,41906,8,62833,1217.0,127.3,54.78,0.0,3.183,855.9,+,0.0
statement,could/causative,unit,50,41906,55,62833,1193.1,875.3,2.49,0.1145,0.448,36.3,+,0.1591
statement,will/occurrence,unit,47,41906,2,62833,1121.6,31.8,71.44,0.0,4.832,3423.5,+,0.0
statement,would/copular_adj,unit,46,41906,126,62833,1097.7,2005.3,13.29,0.0003,-0.859,-45.3,-,0.0005
statement,will/causative,unit,38,41906,2,62833,906.8,31.8,55.78,0.0,4.529,2748.8,+,0.0
statement,will/existence,unit,29,41906,0,62833,692.0,0.0,53.13,0.0,6.467,inf,+,0.0
statement,should/activity,unit,21,41906,21,62833,501.1,334.2,1.71,0.1908,0.584,49.9,+,0.2386
statement,may/causative,unit,16,41906,14,62833,381.8,222.8,2.17,0.1411,0.771,71.4,+,0.1857
statement,will/communication,unit,12,41906,0,62833,286.4,0.0,21.99,0.0,5.228,inf,+,0.0
statement,may/copular_adj,unit,10,41906,13,62833,238.6,206.9,0.11,0.7353,0.222,15.3,+,0.766
statement,will/other,unit,10,41906,2,62833,238.6,31.8,9.55,0.002,2.655,649.7,+,0.0033
statement,should/causative,unit,6,41906,1,62833,143.2,15.9,6.27,0.0123,2.7,799.6,+,0.018
statement,should/policy_action,unit,6,41906,0,62833,143.2,0.0,10.99,0.0009,4.285,inf,+,0.0016
statement,can/copular_adj,unit,2,41906,3,62833,47.7,47.7,0.0,0.9996,0.099,-0.0,-,0.9996
statement,would/aspectual,unit,2,41906,116,62833,47.7,1846.2,101.94,0.0,-4.958,-97.4,-,0.0
min_committee,will,modal,37,62833,607,41906,588.9,14484.8,866.65,0.0,-4.602,-95.9,-,0.0
min_committee,would,modal,719,62833,49,41906,11443.0,1169.3,460.08,0.0,3.277,878.6,+,0.0
min_committee,could,modal,83,62833,50,41906,1321.0,1193.1,0.33,0.5682,0.141,10.7,+,0.5909
min_committee,can,modal,3,62833,4,41906,47.7,95.5,0.83,0.3612,-0.947,-50.0,-,0.3913
min_committee,should,modal,85,62833,33,41906,1352.8,787.5,7.47,0.0063,0.767,71.8,+,0.0091
min_committee,may,modal,31,62833,27,41906,493.4,644.3,1.02,0.3128,-0.388,-23.4,-,0.3536
min_committee,would/copular_adj,unit,126,62833,46,41906,2005.3,1097.7,13.29,0.0003,0.859,82.7,+,0.0004
min_committee,would/aspectual,unit,116,62833,2,41906,1846.2,47.7,101.94,0.0,4.958,3768.3,+,0.0
min_committee,would/activity,unit,108,62833,0,41906,1718.8,0.0,110.37,0.0,7.177,inf,+,0.0
min_committee,would/occurrence,unit,89,62833,0,41906,1416.5,0.0,90.96,0.0,6.899,inf,+,0.0
min_committee,would/mental,unit,71,62833,0,41906,1130.0,0.0,72.56,0.0,6.576,inf,+,0.0
min_committee,would/policy_action,unit,56,62833,1,41906,891.3,23.9,48.99,0.0,4.651,3634.9,+,0.0
min_committee,could/causative,unit,55,62833,50,41906,875.3,1193.1,2.49,0.1145,-0.448,-26.6,-,0.1489
min_committee,would/existence,unit,52,62833,0,41906,827.6,0.0,53.14,0.0,6.13,inf,+,0.0
min_committee,would/causative,unit,48,62833,0,41906,763.9,0.0,49.06,0.0,6.016,inf,+,0.0
min_committee,should/communication,unit,38,62833,0,41906,604.8,0.0,38.84,0.0,5.682,inf,+,0.0
min_committee,would/other,unit,26,62833,0,41906,413.8,0.0,26.57,0.0,5.144,inf,+,0.0
min_committee,would/communication,unit,24,62833,0,41906,382.0,0.0,24.53,0.0,5.03,inf,+,0.0
min_committee,should/activity,unit,21,62833,21,41906,334.2,501.1,1.71,0.1908,-0.584,-33.3,-,0.2255
min_committee,may/causative,unit,14,62833,16,41906,222.8,381.8,2.17,0.1411,-0.771,-41.6,-,0.1747
min_committee,may/copular_adj,unit,13,62833,10,41906,206.9,238.6,0.11,0.7353,-0.222,-13.3,-,0.7353
min_committee,should/other,unit,12,62833,0,41906,191.0,0.0,12.26,0.0005,4.059,inf,+,0.0007
min_committee,will/activity,unit,11,62833,132,41906,175.1,3149.9,175.52,0.0,-4.111,-94.4,-,0.0
min_committee,will/copular_adj,unit,8,62833,51,41906,127.3,1217.0,54.78,0.0,-3.183,-89.5,-,0.0
min_committee,will/policy_action,unit,6,62833,57,41906,95.5,1360.2,70.93,0.0,-3.729,-93.0,-,0.0
min_committee,could/other,unit,6,62833,0,41906,95.5,0.0,6.13,0.0133,3.116,inf,+,0.0182
