layer,unit,n,share
min_committee,would,719,0.7505
min_committee,should,85,0.0887
min_committee,could,83,0.0866
min_committee,will,37,0.0386
min_committee,may,31,0.0324
min_committee,can,3,0.0031
statement,will,607,0.7883
statement,could,50,0.0649
statement,would,49,0.0636
statement,should,33,0.0429
statement,may,27,0.0351
statement,can,4,0.0052
