layer,unit,n_tokens,zero_T1,rho_cfnai_T1,p_cfnai_T1,rho_vix_T1,p_vix_T1,hac_b_cfnai_T1,hac_p_cfnai_T1,hac_b_vix_T1,hac_p_vix_T1,zero_T2,rho_cfnai_T2,p_cfnai_T2,rho_vix_T2,p_vix_T2,hac_b_cfnai_T2,hac_p_cfnai_T2,hac_b_vix_T2,hac_p_vix_T2,zero_T3,rho_cfnai_T3,p_cfnai_T3,rho_vix_T3,p_vix_T3
min_committee,ALL,958,0.0,0.009,0.9261,0.122,0.2303,-0.1031,0.1566,0.0495,0.2647,0.0,-0.019,0.8556,0.098,0.3542,-0.333,0.82,0.0478,0.4527,0.0,0.101,0.2492,0.097,0.2695
min_committee,would,719,0.0,0.257,0.0103,0.116,0.2549,-0.3298,0.0921,0.0933,0.2014,0.0,0.304,0.0034,-0.019,0.8554,3.6805,0.0041,-0.0304,0.7383,0.01,0.27,0.0018,0.095,0.2797
min_committee,should,85,0.45,-0.136,0.1794,-0.022,0.8306,0.0663,0.234,-0.0311,0.1706,0.42,-0.187,0.0755,0.087,0.4135,-0.7017,0.3909,0.0037,0.9301,0.5,-0.075,0.3944,-0.079,0.369
min_committee,could,83,0.29,-0.251,0.0122,0.245,0.0144,0.1158,0.0757,0.026,0.3518,0.27,-0.37,0.0003,0.337,0.0011,-1.5871,0.0006,0.0858,0.0,0.28,-0.13,0.1383,0.255,0.0033
min_committee,will,37,0.78,-0.159,0.115,-0.003,0.9734,0.0472,0.4232,-0.0132,0.4788,0.77,-0.232,0.0266,0.02,0.8488,-1.3281,0.0721,0.0064,0.7941,0.72,-0.154,0.0795,-0.011,0.9018
statement,ALL,770,0.0,-0.124,0.2158,0.061,0.5425,-0.2078,0.1953,0.0023,0.9743,0.0,-0.178,0.0909,0.045,0.6729,-2.5642,0.2616,0.0831,0.3078,0.0,-0.096,0.2697,-0.116,0.185
statement,will,607,0.0,-0.049,0.6252,-0.186,0.062,-0.6926,0.0012,-0.0556,0.4005,0.0,-0.07,0.509,-0.339,0.001,-0.1414,0.9184,-0.1839,0.033,0.0,-0.05,0.5647,-0.259,0.0026
statement,could,50,0.5,-0.062,0.535,0.332,0.0007,0.2237,0.0,0.0449,0.3408,0.48,-0.167,0.1127,0.451,0.0,-1.1499,0.2265,0.1657,0.0,0.59,-0.017,0.8452,0.182,0.0357
statement,would,49,0.53,-0.018,0.8561,0.338,0.0005,0.2503,0.0,0.0469,0.325,0.52,-0.106,0.3153,0.455,0.0,-0.5507,0.6531,0.1646,0.0,0.63,-0.01,0.9095,0.221,0.0107
statement,should,33,0.73,-0.012,0.9054,-0.337,0.0006,0.0009,0.9733,-0.0394,0.0222,0.7,-0.028,0.7928,-0.305,0.0032,-0.0724,0.9001,-0.0541,0.071,0.7,-0.061,0.4869,-0.363,0.0
