key,unit,period,macro,p_text_to_macro,p_macro_to_text,n,q_text_to_macro,q_macro_to_text
minutes,ALL,T1,cfnai,0.0096,0.6755,99,0.1536,0.9935
minutes,ALL,T1,vix,0.0473,0.1382,99,0.35136,0.5621333333333333
minutes,ALL,T2,cfnai,0.1583,0.924,91,0.64,0.9935
minutes,ALL,T2,vix,0.2634,0.0991,91,0.7662545454545455,0.5285333333333333
minutes,could,T1,cfnai,0.5785,0.6013,198,0.8122666666666666,0.9935
minutes,could,T1,vix,0.7841,0.9935,198,0.9293037037037037,0.9935
minutes,could,T2,cfnai,0.6524,0.1581,182,0.8151384615384616,0.5621333333333333
minutes,could,T2,vix,0.226,0.0805,182,0.7232000000000001,0.5285333333333333
minutes,should,T1,cfnai,0.9328,0.8681,198,0.9991,0.9935
minutes,should,T1,vix,0.603,0.6586,198,0.8122666666666666,0.9935
minutes,should,T2,cfnai,0.9991,0.9917,182,0.9991,0.9935
minutes,should,T2,vix,0.8942,0.974,182,0.9991,0.9935
minutes,would,T1,cfnai,0.3496,0.2846,198,0.8122666666666666,0.7733333333333333
minutes,would,T1,vix,0.5714,0.5759,198,0.8122666666666666,0.9935
minutes,would,T2,cfnai,0.1536,0.29,182,0.64,0.7733333333333333
minutes,would,T2,vix,0.5938,0.8396,182,0.8122666666666666,0.9935
statement,ALL,T1,cfnai,0.0549,0.1438,101,0.35136,0.5621333333333333
statement,ALL,T1,vix,0.0507,0.0248,101,0.35136,0.3968
statement,ALL,T2,cfnai,0.4075,0.2811,91,0.8122666666666666,0.7733333333333333
statement,ALL,T2,vix,0.16,0.4617,91,0.64,0.9935
statement,could,T1,cfnai,0.4804,0.0019,202,0.8122666666666666,0.0608
statement,could,T1,vix,0.9489,0.6543,202,0.9991,0.9935
statement,could,T2,cfnai,0.6004,0.6939,182,0.8122666666666666,0.9935
statement,could,T2,vix,0.412,0.8603,182,0.8122666666666666,0.9935
statement,will,T1,cfnai,0.0007,0.0847,202,0.0224,0.5285333333333333
statement,will,T1,vix,0.4073,0.3946,202,0.8122666666666666,0.971323076923077
statement,will,T2,cfnai,0.6092,0.574,182,0.8122666666666666,0.9935
statement,will,T2,vix,0.2156,0.6799,182,0.7232000000000001,0.9935
statement,would,T1,cfnai,0.6623,0.0477,202,0.8151384615384616,0.5088
statement,would,T1,vix,0.9842,0.9429,202,0.9991,0.9935
statement,would,T2,cfnai,0.5676,0.8807,182,0.8122666666666666,0.9935
statement,would,T2,vix,0.379,0.9562,182,0.8122666666666666,0.9935
