level,key,unit,period,macro,n_tokens,zero_share,n,r,p_r,rho,p_rho,q_rho,eligible,unit_level
genre,minutes,ALL,T1,cfnai,7072,0.0,99,-0.0203,0.8417,0.0994,0.3278,0.9353,True,modal
genre,minutes,ALL,T1,vix,7072,0.0,99,0.0494,0.6273,-0.0258,0.8,0.8666,True,modal
genre,minutes,ALL,T2,cfnai,6346,0.0,91,0.1362,0.1979,0.1575,0.1359,0.6405,True,modal
genre,minutes,ALL,T2,vix,6346,0.0,91,-0.1358,0.1993,-0.1247,0.2389,0.3654,True,modal
genre,minutes,ALL,T3,cfnai,9097,0.0,132,-0.0163,0.8529,0.0954,0.2764,0.7805,True,modal
genre,minutes,ALL,T3,vix,9097,0.0,132,-0.0133,0.8793,-0.1036,0.2372,0.3628,True,modal
genre,minutes,ALL,H1,cfnai,3736,0.0,48,0.0209,0.8877,0.0798,0.5899,0.8154,True,modal
genre,minutes,ALL,H1,vix,3736,0.0,48,0.066,0.6558,0.132,0.3711,0.5613,True,modal
genre,minutes,ALL,H2,cfnai,2610,0.0,43,0.2661,0.0845,0.1757,0.2597,0.5237,True,modal
genre,minutes,ALL,H2,vix,2610,0.0,43,0.06,0.7025,0.0267,0.8649,0.975,True,modal
genre,press_conf,ALL,T1,cfnai,13221,0.0,80,0.1478,0.1909,0.2331,0.0374,0.4865,True,modal
genre,press_conf,ALL,T1,vix,13221,0.0,80,0.3352,0.0024,0.315,0.0044,0.0144,True,modal
genre,press_conf,ALL,T2,cfnai,11549,0.0,71,0.3486,0.0029,0.2701,0.0227,0.2957,True,modal
genre,press_conf,ALL,T2,vix,11549,0.0,71,0.2435,0.0407,0.2761,0.0198,0.0467,True,modal
genre,press_conf,ALL,T3,cfnai,15200,0.0,92,0.1341,0.2025,0.1536,0.1438,0.7805,True,modal
genre,press_conf,ALL,T3,vix,15200,0.0,92,0.3294,0.0013,0.318,0.002,0.0075,True,modal
genre,press_conf,ALL,H2,cfnai,7555,0.0,43,0.4501,0.0025,0.3916,0.0094,0.0783,True,modal
genre,press_conf,ALL,H2,vix,7555,0.0,43,0.1871,0.2296,0.2439,0.115,0.3195,True,modal
genre,speech,ALL,T1,cfnai,3203,0.0,124,-0.0885,0.3286,-0.0957,0.2906,0.9353,True,modal
genre,speech,ALL,T1,vix,3203,0.0,124,0.0939,0.2997,-0.0171,0.8507,0.8848,True,modal
genre,speech,ALL,T2,cfnai,3075,0.0,118,-0.0931,0.3159,-0.0742,0.4246,0.6623,True,modal
genre,speech,ALL,T2,vix,3075,0.0,118,-0.0617,0.5066,-0.0742,0.4242,0.5487,True,modal
genre,speech,ALL,T3,cfnai,4720,0.0,174,-0.096,0.2076,-0.1314,0.084,0.7805,True,modal
genre,speech,ALL,T3,vix,4720,0.0,174,0.076,0.3189,-0.0076,0.9209,0.9209,True,modal
genre,speech,ALL,H1,cfnai,2348,0.0,73,-0.1166,0.3257,-0.1561,0.1872,0.753,True,modal
genre,speech,ALL,H1,vix,2348,0.0,73,-0.0759,0.5231,-0.1034,0.3841,0.5613,True,modal
genre,speech,ALL,H2,cfnai,727,0.0,45,-0.073,0.6336,-0.0404,0.7922,0.8611,True,modal
genre,speech,ALL,H2,vix,727,0.0,45,-0.0328,0.8307,0.031,0.84,0.975,True,modal
