doc_id,unit,count,density,share,date,period
statement_20140129,will+continue,1,1.2004801920768307,0.058823529411764705,2014-01-29,T1
statement_20140129,will+take,1,1.2004801920768307,0.058823529411764705,2014-01-29,T1
statement_20140129,will+assess,0,0.0,0.0,2014-01-29,T1
statement_20140129,could+impede,0,0.0,0.0,2014-01-29,T1
statement_20140129,would+be+prepared,0,0.0,0.0,2014-01-29,T1
statement_20140129,will+be+appropriate,2,2.4009603841536613,0.11764705882352941,2014-01-29,T1
statement_20140129,will+expand,1,1.2004801920768307,0.058823529411764705,2014-01-29,T1
statement_20140129,will+monitor,1,1.2004801920768307,0.058823529411764705,2014-01-29,T1
statement_20140129,will+depend,0,0.0,0.0,2014-01-29,T1
statement_20140129,should+help,0,0.0,0.0,2014-01-29,T1
statement_20140129,may+warrant,0,0.0,0.0,2014-01-29,T1
statement_20140319,will+continue,2,2.3724792408066433,0.11764705882352941,2014-03-19,T1
statement_20140319,will+take,2,2.3724792408066433,0.11764705882352941,2014-03-19,T1
statement_20140319,will+assess,1,1.1862396204033216,0.058823529411764705,2014-03-19,T1
statement_20140319,could+impede,0,0.0,0.0,2014-03-19,T1
statement_20140319,would+be+prepared,0,0.0,0.0,2014-03-19,T1
statement_20140319,will+be+appropriate,1,1.1862396204033216,0.058823529411764705,2014-03-19,T1
statement_20140319,will+expand,1,1.1862396204033216,0.058823529411764705,2014-03-19,T1
statement_20140319,will+monitor,1,1.1862396204033216,0.058823529411764705,2014-03-19,T1
statement_20140319,will+depend,0,0.0,0.0,2014-03-19,T1
statement_20140319,should+help,0,0.0,0.0,2014-03-19,T1
statement_20140319,may+warrant,1,1.1862396204033216,0.058823529411764705,2014-03-19,T1
statement_20140430,will+continue,2,2.457002457002457,0.11764705882352941,2014-04-30,T1
statement_20140430,will+take,2,2.457002457002457,0.11764705882352941,2014-04-30,T1
statement_20140430,will+assess,1,1.2285012285012284,0.058823529411764705,2014-04-30,T1
statement_20140430,could+impede,0,0.0,0.0,2014-04-30,T1
statement_20140430,would+be+prepared,0,0.0,0.0,2014-04-30,T1
statement_20140430,will+be+appropriate,1,1.2285012285012284,0.058823529411764705,2014-04-30,T1
statement_20140430,will+expand,1,1.2285012285012284,0.058823529411764705,2014-04-30,T1
statement_20140430,will+monitor,1,1.2285012285012284,0.058823529411764705,2014-04-30,T1
statement_20140430,will+depend,0,0.0,0.0,2014-04-30,T1
statement_20140430,should+help,0,0.0,0.0,2014-04-30,T1
statement_20140430,may+warrant,1,1.2285012285012284,0.058823529411764705,2014-04-30,T1
statement_20140618,will+continue,2,2.5031289111389237,0.11764705882352941,2014-06-18,T1
statement_20140618,will+take,2,2.5031289111389237,0.11764705882352941,2014-06-18,T1
statement_20140618,will+assess,1,1.2515644555694618,0.058823529411764705,2014-06-18,T1
statement_20140618,could+impede,0,0.0,0.0,2014-06-18,T1
statement_20140618,would+be+prepared,0,0.0,0.0,2014-06-18,T1
statement_20140618,will+be+appropriate,1,1.2515644555694618,0.058823529411764705,2014-06-18,T1
statement_20140618,will+expand,1,1.2515644555694618,0.058823529411764705,2014-06-18,T1
statement_20140618,will+monitor,1,1.2515644555694618,0.058823529411764705,2014-06-18,T1
statement_20140618,will+depend,0,0.0,0.0,2014-06-18,T1
statement_20140618,should+help,0,0.0,0.0,2014-06-18,T1
statement_20140618,may+warrant,1,1.2515644555694618,0.058823529411764705,2014-06-18,T1
statement_20140730,will+continue,1,1.2578616352201257,0.07142857142857142,2014-07-30,T1
statement_20140730,will+take,2,2.5157232704402515,0.14285714285714285,2014-07-30,T1
statement_20140730,will+assess,1,1.2578616352201257,0.07142857142857142,2014-07-30,T1
statement_20140730,could+impede,0,0.0,0.0,2014-07-30,T1
statement_20140730,would+be+prepared,0,0.0,0.0,2014-07-30,T1
statement_20140730,will+be+appropriate,1,1.2578616352201257,0.07142857142857142,2014-07-30,T1
statement_20140730,will+expand,1,1.2578616352201257,0.07142857142857142,2014-07-30,T1
statement_20140730,will+monitor,1,1.2578616352201257,0.07142857142857142,2014-07-30,T1
statement_20140730,will+depend,0,0.0,0.0,2014-07-30,T1
