key,unit,period,macro,k,n,r,p_r,rho,p_rho
minutes,ALL,T1,cfnai,-9,99,0.2229,0.0266,0.2324,0.0206
minutes,ALL,T1,cfnai,-8,99,0.1755,0.0822,0.229,0.0226
minutes,ALL,T1,cfnai,-7,99,0.086,0.3974,0.2265,0.0242
minutes,ALL,T1,cfnai,-6,99,-0.0677,0.5057,0.1902,0.0593
minutes,ALL,T1,cfnai,-5,99,-0.1516,0.1343,0.1053,0.2995
minutes,ALL,T1,cfnai,-4,99,-0.0599,0.556,0.1416,0.1621
minutes,ALL,T1,cfnai,-3,99,-0.0063,0.9504,0.1601,0.1134
minutes,ALL,T1,cfnai,-2,99,-0.0203,0.8417,0.0994,0.3278
minutes,ALL,T1,cfnai,-1,99,-0.07,0.4909,0.0337,0.7408
minutes,ALL,T1,cfnai,0,99,-0.1633,0.1063,0.0469,0.6448
minutes,ALL,T1,cfnai,1,99,-0.0462,0.6499,0.1072,0.2907
minutes,ALL,T1,cfnai,2,99,-0.0225,0.8251,0.1199,0.2372
minutes,ALL,T1,cfnai,3,99,0.0584,0.566,0.1074,0.2901
minutes,ALL,T1,cfnai,4,98,0.0976,0.3388,0.1766,0.082
minutes,ALL,T1,cfnai,5,97,0.0546,0.5952,0.0552,0.5914
minutes,ALL,T1,cfnai,6,97,-0.0483,0.6383,0.136,0.184
minutes,ALL,T1,cfnai,7,96,-0.0672,0.5154,0.1022,0.3216
minutes,ALL,T1,cfnai,8,95,0.012,0.9081,0.107,0.3019
minutes,ALL,T1,cfnai,9,95,0.219,0.033,0.1368,0.1863
minutes,ALL,T1,vix,-9,99,-0.187,0.0639,-0.1648,0.1032
minutes,ALL,T1,vix,-8,99,-0.104,0.3056,-0.1702,0.0922
minutes,ALL,T1,vix,-7,99,-0.1216,0.2305,-0.1267,0.2113
minutes,ALL,T1,vix,-6,99,0.0132,0.8965,-0.0712,0.484
minutes,ALL,T1,vix,-5,99,-0.032,0.7532,-0.0484,0.634
minutes,ALL,T1,vix,-4,99,-0.0787,0.4388,-0.1288,0.204
minutes,ALL,T1,vix,-3,99,-0.0338,0.7396,-0.178,0.0779
minutes,ALL,T1,vix,-2,99,-0.0195,0.848,-0.0867,0.3936
minutes,ALL,T1,vix,-1,99,0.0508,0.6172,-0.0847,0.4048
minutes,ALL,T1,vix,0,99,0.0812,0.4242,0.0136,0.8936
minutes,ALL,T1,vix,1,99,-0.0302,0.767,-0.0655,0.5192
minutes,ALL,T1,vix,2,99,0.0607,0.5504,-0.0347,0.7329
minutes,ALL,T1,vix,3,99,0.0106,0.9171,0.0067,0.9474
minutes,ALL,T1,vix,4,98,0.0347,0.7345,0.0481,0.6382
minutes,ALL,T1,vix,5,97,0.21,0.0389,0.146,0.1535
minutes,ALL,T1,vix,6,97,0.1431,0.1621,0.1081,0.2919
minutes,ALL,T1,vix,7,96,0.1152,0.2638,0.1001,0.3319
minutes,ALL,T1,vix,8,95,0.0729,0.4828,0.1444,0.1626
minutes,ALL,T1,vix,9,95,0.039,0.7075,0.0504,0.6274
minutes,ALL,T2,cfnai,-9,91,0.2374,0.0235,0.3236,0.0018
minutes,ALL,T2,cfnai,-8,91,0.2048,0.0515,0.3056,0.0032
minutes,ALL,T2,cfnai,-7,91,0.2161,0.0397,0.3223,0.0018
minutes,ALL,T2,cfnai,-6,91,-0.0181,0.8646,0.3082,0.003
minutes,ALL,T2,cfnai,-5,91,-0.0088,0.9339,0.2242,0.0327
minutes,ALL,T2,cfnai,-4,91,0.1277,0.2279,0.265,0.0111
minutes,ALL,T2,cfnai,-3,91,0.1883,0.0739,0.2861,0.006
minutes,ALL,T2,cfnai,-2,91,0.1362,0.1979,0.1575,0.1359
minutes,ALL,T2,cfnai,-1,91,0.0802,0.4496,0.1065,0.3152
minutes,ALL,T2,cfnai,0,91,0.091,0.3911,0.1155,0.2754
minutes,ALL,T2,cfnai,1,91,0.1686,0.1101,0.1347,0.2029
minutes,ALL,T2,cfnai,2,91,0.0873,0.4107,0.1447,0.1713
minutes,ALL,T2,cfnai,3,91,0.0819,0.4402,0.0948,0.3716
minutes,ALL,T2,cfnai,4,90,0.0601,0.5737,0.1236,0.2458
