layer,item,kind,freq_in,tokens_in,freq_out,tokens_out,pmw_in,pmw_out,LL,p,log_ratio,pct_diff,sign,q
statement,will,modal,607,41906,5510,767959,14484.8,7174.9,224.32,0.0,1.015,101.9,+,0.0
statement,would,modal,49,41906,3700,767959,1169.3,4818.0,160.97,0.0,-2.028,-75.7,-,0.0
statement,could,modal,50,41906,981,767959,1193.1,1277.4,0.23,0.6344,-0.085,-6.6,-,0.6344
statement,can,modal,4,41906,2124,767959,95.5,2765.8,191.19,0.0,-4.687,-96.5,-,0.0
statement,should,modal,33,41906,707,767959,787.5,920.6,0.81,0.369,-0.205,-14.5,-,0.4428
statement,may,modal,27,41906,867,767959,644.3,1129.0,9.88,0.0017,-0.784,-42.9,-,0.0025
pc_chair,will,modal,4341,533106,1776,276759,8142.8,6417.1,73.78,0.0,0.343,26.9,+,0.0
pc_chair,would,modal,3127,533106,622,276759,5865.6,2247.4,581.63,0.0,1.383,161.0,+,0.0
pc_chair,could,modal,626,533106,405,276759,1174.3,1463.4,11.71,0.0006,-0.318,-19.8,-,0.0007
pc_chair,can,modal,1610,533106,518,276759,3020.0,1871.7,96.77,0.0,0.689,61.4,+,0.0
pc_chair,should,modal,497,533106,243,276759,932.3,878.0,0.59,0.4422,0.085,6.2,+,0.4422
pc_chair,may,modal,485,533106,409,276759,909.8,1477.8,51.03,0.0,-0.7,-38.4,-,0.0
speech_chair,will,modal,1169,234853,4948,575012,4977.6,8605.0,315.34,0.0,-0.789,-42.2,-,0.0
speech_chair,would,modal,573,234853,3176,575012,2439.8,5523.4,387.87,0.0,-1.178,-55.8,-,0.0
speech_chair,could,modal,355,234853,676,575012,1511.6,1175.6,14.3,0.0002,0.364,28.6,+,0.0002
speech_chair,can,modal,514,234853,1614,575012,2188.6,2806.9,25.15,0.0,-0.358,-22.0,-,0.0
speech_chair,should,modal,210,234853,530,575012,894.2,921.7,0.14,0.7092,-0.042,-3.0,-,0.7092
speech_chair,may,modal,382,234853,512,575012,1626.5,890.4,76.08,0.0,0.87,82.7,+,0.0
