layer,will,would,could,can,should,may
min_committee,-7.4,10.1,-9.9,-1.4,4.3,-2.8
min_participants,-16.7,3.0,7.6,-2.5,-0.5,0.8
min_special,-4.7,-3.0,6.5,6.8,2.1,-2.2
min_staff,-6.1,2.9,-0.0,-0.9,-4.6,5.2
min_staff_desk,-3.9,1.3,0.2,0.7,-0.7,2.1
statement,53.0,-17.5,-10.1,-0.5,-1.6,-2.2
