layer,item,kind,freq_in,tokens_in,freq_out,tokens_out,pmw_in,pmw_out,LL,p,log_ratio,pct_diff,sign,q
statement,will,modal,607,41906,1336,884282,14484.8,1510.8,1468.59,0.0,3.262,858.7,+,0.0
statement,would,modal,49,41906,3807,884282,1169.3,4305.2,130.71,0.0,-1.866,-72.8,-,0.0
statement,could,modal,50,41906,1866,884282,1193.1,2110.2,19.08,0.0,-0.809,-43.5,-,0.0
statement,can,modal,4,41906,553,884282,95.5,625.4,28.51,0.0,-2.543,-84.7,-,0.0
statement,should,modal,33,41906,534,884282,787.5,603.9,2.03,0.1545,0.403,30.4,+,0.1746
statement,may,modal,27,41906,696,884282,644.3,787.1,1.11,0.2924,-0.263,-18.1,-,0.3168
statement,will/activity,unit,132,41906,199,884282,3149.9,225.0,390.47,0.0,3.809,1299.7,+,0.0
statement,will/aspectual,unit,126,41906,131,884282,3006.7,148.1,436.05,0.0,4.343,1929.6,+,0.0
statement,will/mental,unit,105,41906,73,884282,2505.6,82.6,415.87,0.0,4.921,2935.2,+,0.0
statement,will/policy_action,unit,57,41906,102,884282,1360.2,115.3,154.84,0.0,3.565,1079.2,+,0.0
statement,will/copular_adj,unit,51,41906,100,884282,1217.0,113.1,131.88,0.0,3.435,976.2,+,0.0
statement,could/causative,unit,50,41906,443,884282,1193.1,501.0,26.99,0.0,1.265,138.2,+,0.0
statement,will/occurrence,unit,47,41906,135,884282,1121.6,152.7,95.57,0.0,2.887,634.6,+,0.0
statement,would/copular_adj,unit,46,41906,709,884282,1097.7,801.8,3.89,0.0485,0.468,36.9,+,0.063
statement,will/causative,unit,38,41906,61,884282,906.8,69.0,109.07,0.0,3.724,1214.5,+,0.0
statement,will/existence,unit,29,41906,75,884282,692.0,84.8,63.39,0.0,3.044,715.9,+,0.0
statement,should/activity,unit,21,41906,84,884282,501.1,95.0,32.71,0.0,2.425,427.5,+,0.0
statement,may/causative,unit,16,41906,101,884282,381.8,114.2,15.04,0.0001,1.778,234.3,+,0.0002
statement,will/communication,unit,12,41906,120,884282,286.4,135.7,4.98,0.0256,1.13,111.0,+,0.035
statement,may/copular_adj,unit,10,41906,122,884282,238.6,138.0,2.38,0.1226,0.855,73.0,+,0.1449
statement,will/other,unit,10,41906,284,884282,238.6,321.2,0.94,0.3333,-0.361,-25.7,-,0.3466
statement,should/causative,unit,6,41906,20,884282,143.2,22.6,10.91,0.001,2.742,533.0,+,0.0015
statement,should/policy_action,unit,6,41906,50,884282,143.2,56.5,3.64,0.0563,1.442,153.2,+,0.0698
statement,can/copular_adj,unit,2,41906,49,884282,47.7,55.4,0.04,0.8322,0.092,-13.9,-,0.8322
statement,can/other,unit,2,41906,164,884282,47.7,185.5,5.92,0.015,-1.641,-74.3,-,0.0216
statement,would/aspectual,unit,2,41906,324,884282,47.7,366.4,18.02,0.0,-2.621,-87.0,-,0.0
min_staff_desk,will,modal,35,71942,1908,854246,486.5,2233.5,136.89,0.0,-2.179,-78.2,-,0.0
min_staff_desk,would,modal,307,71942,3549,854246,4267.3,4154.5,0.2,0.6537,0.041,2.7,+,0.8094
min_staff_desk,could,modal,138,71942,1778,854246,1918.2,2081.4,0.87,0.35,-0.113,-7.8,-,0.4597
min_staff_desk,can,modal,5,71942,552,854246,69.5,646.2,57.73,0.0,-3.081,-89.2,-,0.0
min_staff_desk,should,modal,27,71942,540,854246,375.3,632.1,8.21,0.0042,-0.727,-40.6,-,0.0241
min_staff_desk,may,modal,41,71942,682,854246,569.9,798.4,4.86,0.0275,-0.47,-28.6,-,0.0649
min_staff_desk,would/other,unit,62,71942,501,854246,861.8,586.5,7.4,0.0065,0.565,46.9,+,0.0283
min_staff_desk,would/policy_action,unit,46,71942,320,854246,639.4,374.6,10.06,0.0015,0.785,70.7,+,0.0131
min_staff_desk,would/copular_adj,unit,39,71942,716,854246,542.1,838.2,8.02,0.0046,-0.611,-35.3,-,0.0241
min_staff_desk,would/aspectual,unit,37,71942,289,854246,514.3,338.3,5.17,0.023,0.621,52.0,+,0.0598
min_staff_desk,would/occurrence,unit,36,71942,432,854246,500.4,505.7,0.0,0.9514,0.003,-1.0,-,0.9895
min_staff_desk,would/activity,unit,31,71942,381,854246,430.9,446.0,0.03,0.8529,-0.029,-3.4,-,0.924
min_staff_desk,could/occurrence,unit,25,71942,243,854246,347.5,284.5,0.86,0.3536,0.314,22.2,+,0.4597
min_staff_desk,could/causative,unit,24,71942,469,854246,333.6,549.0,6.61,0.0102,-0.691,-39.2,-,0.0378
min_staff_desk,could/activity,unit,21,71942,235,854246,291.9,275.1,0.07,0.7962,0.116,6.1,+,0.9001
min_staff_desk,could/other,unit,17,71942,324,854246,236.3,379.3,4.18,0.0409,-0.643,-37.7,-,0.0886
min_staff_desk,could/policy_action,unit,15,71942,134,854246,208.5,156.9,1.01,0.3142,0.452,32.9,+,0.4538
min_staff_desk,would/existence,unit,14,71942,221,854246,194.6,258.7,1.16,0.2811,-0.363,-24.8,-,0.43
min_staff_desk,would/communication,unit,12,71942,90,854246,166.8,105.4,1.99,0.1585,0.714,58.3,+,0.2747
min_staff_desk,could/mental,unit,11,71942,54,854246,152.9,63.2,5.84,0.0157,1.325,141.9,+,0.0483
min_staff_desk,would/mental,unit,10,71942,193,854246,139.0,225.9,2.6,0.1066,-0.634,-38.5,-,0.2132
