key,unit,target,r2_base,r2_with,delta_r2,coef_text,p_text,n,q_text
minutes,ALL,cfnai_ma3_lead3,0.0553,0.0751,0.0198,-0.0981,0.4048,99,0.643
minutes,ALL,d_vix_28,0.0527,0.0536,0.0008,-0.0871,0.6925,99,0.813
minutes,could,cfnai_ma3_lead3,0.0553,0.1247,0.0694,-0.307,0.1697,99,0.5475
minutes,could,d_vix_28,0.0527,0.073,0.0202,-0.7243,0.0542,99,0.5475
minutes,could/causative,cfnai_ma3_lead3,0.0553,0.0555,0.0001,-0.0305,0.8011,99,0.8652
minutes,could/causative,d_vix_28,0.0527,0.0745,0.0218,-1.7385,0.1277,99,0.5475
minutes,could/other,cfnai_ma3_lead3,0.0553,0.1793,0.1239,-1.1494,0.1969,99,0.5475
minutes,could/other,d_vix_28,0.0527,0.0592,0.0065,1.1487,0.3262,99,0.5954
minutes,may,cfnai_ma3_lead3,0.0553,0.0598,0.0045,0.1796,0.5223,99,0.7208
minutes,may,d_vix_28,0.0527,0.0602,0.0075,-1.0159,0.2835,99,0.5954
minutes,should,cfnai_ma3_lead3,0.0553,0.0558,0.0005,-0.0613,0.729,99,0.8376
minutes,should,d_vix_28,0.0527,0.0677,0.015,-1.511,0.0578,99,0.5475
minutes,will,cfnai_ma3_lead3,0.0553,0.0591,0.0037,-0.1729,0.2207,99,0.5475
minutes,will,d_vix_28,0.0527,0.0542,0.0015,-0.4786,0.575,99,0.7221
minutes,would,cfnai_ma3_lead3,0.0553,0.0566,0.0012,0.0331,0.6093,99,0.7371
minutes,would,d_vix_28,0.0527,0.0813,0.0285,0.7021,0.2063,99,0.5475
minutes,would/activity,cfnai_ma3_lead3,0.0553,0.1713,0.116,-1.1401,0.1944,99,0.5475
minutes,would/activity,d_vix_28,0.0527,0.0658,0.013,1.67,0.3486,99,0.5954
minutes,would/copular_adj,cfnai_ma3_lead3,0.0553,0.0576,0.0022,-0.119,0.5237,99,0.7208
minutes,would/copular_adj,d_vix_28,0.0527,0.0532,0.0005,-0.2455,0.7608,99,0.8493
minutes,would/occurrence,cfnai_ma3_lead3,0.0553,0.0554,0.0,-0.0094,0.9392,99,0.9392
minutes,would/occurrence,d_vix_28,0.0527,0.0528,0.0001,-0.092,0.8914,99,0.9256
minutes,would/other,cfnai_ma3_lead3,0.0553,0.0554,0.0,-0.0133,0.9214,99,0.9388
minutes,would/other,d_vix_28,0.0527,0.0698,0.017,1.5219,0.1182,99,0.5475
speech,ALL,cfnai_ma3_lead3,0.451,0.4544,0.0034,0.008,0.2834,123,0.5954
speech,ALL,d_vix_28,0.3007,0.3094,0.0086,-0.0732,0.1747,124,0.5475
speech,can,cfnai_ma3_lead3,0.451,0.459,0.008,0.0339,0.174,123,0.5475
speech,can,d_vix_28,0.3007,0.3066,0.0059,-0.1665,0.295,124,0.5954
speech,could,cfnai_ma3_lead3,0.451,0.4562,0.0052,0.0373,0.1163,123,0.5475
speech,could,d_vix_28,0.3007,0.306,0.0053,-0.2174,0.2669,124,0.5954
speech,could/other,cfnai_ma3_lead3,0.451,0.4569,0.0059,0.116,0.0608,123,0.5475
speech,could/other,d_vix_28,0.3007,0.3115,0.0107,-0.8914,0.1162,124,0.5475
speech,may,cfnai_ma3_lead3,0.451,0.4519,0.0008,-0.0132,0.5339,123,0.7208
speech,may,d_vix_28,0.3007,0.3184,0.0177,-0.346,0.0324,124,0.5475
speech,should,cfnai_ma3_lead3,0.451,0.4555,0.0045,0.0448,0.4036,123,0.643
speech,should,d_vix_28,0.3007,0.3295,0.0288,-0.65,0.0094,124,0.5051
speech,will,cfnai_ma3_lead3,0.451,0.4513,0.0003,-0.0035,0.7707,123,0.8493
speech,will,d_vix_28,0.3007,0.3146,0.0139,0.1488,0.2038,124,0.5475
speech,would,cfnai_ma3_lead3,0.451,0.4524,0.0014,0.0152,0.4852,123,0.7208
speech,would,d_vix_28,0.3007,0.3185,0.0178,-0.3155,0.0812,124,0.5475
speech,would/other,cfnai_ma3_lead3,0.451,0.4571,0.0061,0.0741,0.1637,123,0.5475
speech,would/other,d_vix_28,0.3007,0.3008,0.0001,0.0535,0.8845,124,0.9256
statement,ALL,cfnai_ma3_lead3,0.0105,0.1086,0.0981,0.0797,0.1482,101,0.5475
statement,ALL,d_vix_28,0.0182,0.0512,0.0329,-0.2612,0.2231,101,0.5475
statement,could,cfnai_ma3_lead3,0.0105,0.0157,0.0052,0.0485,0.5624,101,0.7221
statement,could,d_vix_28,0.0182,0.0313,0.013,-0.4341,0.3322,101,0.5954
statement,could/causative,cfnai_ma3_lead3,0.0105,0.0157,0.0052,0.0485,0.5624,101,0.7221
statement,could/causative,d_vix_28,0.0182,0.0313,0.013,-0.4341,0.3322,101,0.5954
statement,will,cfnai_ma3_lead3,0.0105,0.1353,0.1248,0.1185,0.0661,101,0.5475
statement,will,d_vix_28,0.0182,0.025,0.0068,-0.156,0.4172,101,0.6437
statement,would,cfnai_ma3_lead3,0.0105,0.0166,0.006,0.0501,0.5237,101,0.7208
statement,would,d_vix_28,0.0182,0.0297,0.0115,-0.3903,0.3513,101,0.5954
statement,would/copular_adj,cfnai_ma3_lead3,0.0105,0.0142,0.0037,0.0404,0.6143,101,0.7371
statement,would/copular_adj,d_vix_28,0.0182,0.0298,0.0116,-0.4037,0.3528,101,0.5954
