layer,will,would,could,can,should,may
min_committee,-11.3,16.93,-7.86,-7.07,3.74,-4.87
min_participants,-22.4,12.77,13.73,-12.04,-1.13,-3.56
min_special,-8.73,1.59,10.07,-3.64,1.7,-4.06
min_staff,-8.94,7.44,2.31,-5.25,-4.77,2.54
min_staff_desk,-7.3,5.62,2.58,-4.79,-1.01,-0.13
speech_chair,20.31,-20.0,-11.32,23.97,1.46,8.98
statement,36.02,-14.84,-8.4,-6.1,-1.87,-4.09
