layer,year,tokens,six_modal,pmw,will_pmw,would_pmw,could_pmw,can_pmw,should_pmw,may_pmw
min_committee,2014,6186,101,16327.2,646.6,12770.8,323.3,161.7,1616.6,808.3
min_committee,2015,7955,121,15210.6,1759.9,8673.8,1005.7,251.4,2388.4,1131.4
min_committee,2016,7665,109,14220.5,0.0,10958.9,1696.0,0.0,1435.1,130.5
min_committee,2017,5820,96,16494.8,0.0,14948.5,343.6,0.0,1030.9,171.8
min_committee,2018,4373,56,12805.9,0.0,12119.8,457.4,0.0,228.7,0.0
min_committee,2019,4894,51,10420.9,408.7,7151.6,1634.7,0.0,408.7,817.3
min_committee,2020,4682,72,15378.0,427.2,13883.0,854.3,0.0,213.6,0.0
min_committee,2021,6072,103,16963.1,0.0,12845.8,1482.2,0.0,2305.7,329.4
min_committee,2022,3926,61,15537.4,509.4,12735.6,2037.7,0.0,254.7,0.0
min_committee,2023,3393,61,17978.2,3242.0,9431.2,2357.8,0.0,589.4,2357.8
min_committee,2024,3633,58,15964.8,550.5,11285.4,2202.0,0.0,1651.5,275.3
min_committee,2025,3151,50,15868.0,0.0,10472.9,2538.9,0.0,2856.2,0.0
min_committee,2026,1083,19,17543.9,0.0,12003.7,2770.1,0.0,2770.1,0.0
pc_chair,2014,23422,473,20194.7,8795.1,6062.7,1494.3,1878.6,853.9,1110.1
pc_chair,2015,23909,495,20703.5,9076.1,6399.3,1045.6,2049.4,1380.2,752.9
pc_chair,2016,23087,418,18105.4,5371.0,6237.3,1905.8,1775.9,1689.3,1126.2
pc_chair,2017,25182,460,18267.0,6274.3,6433.2,2104.7,1588.4,953.1,913.4
pc_chair,2018,25940,476,18350.0,6091.0,5744.0,1542.0,2505.8,1426.4,1040.9
pc_chair,2019,47684,874,18329.0,7088.3,6123.6,755.0,2873.1,692.1,796.9
pc_chair,2020,61803,1393,22539.4,9967.2,5323.4,1165.0,4109.8,987.0,987.0
pc_chair,2021,62547,1390,22223.3,9608.8,6475.1,1007.2,3277.5,959.3,895.3
pc_chair,2022,55180,1192,21602.0,9369.3,6560.3,942.4,3262.1,743.0,724.9
pc_chair,2023,53500,1115,20841.1,8990.7,6000.0,990.7,3327.1,429.9,1102.8
pc_chair,2024,54312,1011,18614.7,7328.0,6020.8,1141.6,3001.2,644.4,478.7
pc_chair,2025,56238,1002,17817.1,6757.0,4267.6,1280.3,3165.1,1226.9,1120.2
pc_chair,2026,20302,387,19062.2,7240.7,4974.9,935.9,3743.5,1083.6,1083.6
