layer,will,would,could,can,should,may
min_committee,-15.1,21.4,-3.4,-9.8,4.9,-3.5
min_participants,-28.2,19.0,28.4,-16.7,0.3,-0.6
min_special,-12.4,4.5,18.6,-6.9,2.6,-2.7
min_staff,-11.7,10.4,7.8,-7.3,-4.4,4.4
min_staff_desk,-10.4,8.4,8.2,-7.0,-0.4,1.4
pc_chair,17.8,-9.2,-19.5,13.8,-2.7,-6.0
speech_chair,5.5,-16.0,-2.3,9.2,3.2,13.8
statement,23.8,-13.3,-4.7,-8.6,-1.2,-2.8
