layer,modal,sem_type,n,share
statement,will,epistemic_predictive,326,0.537
statement,will,dynamic_volitional,281,0.463
statement,would,conditional_hypothetical,47,0.959
statement,would,reported_backshift,2,0.041
statement,could,epistemic_possibility,50,1.0
statement,should,epistemic_expectation,33,1.0
statement,may,epistemic_possibility,27,1.0
min_committee,will,epistemic_predictive,27,0.73
min_committee,will,dynamic_volitional,10,0.27
min_committee,would,reported_backshift,565,0.786
min_committee,would,conditional_hypothetical,123,0.171
min_committee,would,dynamic_volitional_conditional,31,0.043
min_committee,could,epistemic_possibility,83,1.0
min_committee,should,deontic_advisability,61,0.718
min_committee,should,epistemic_expectation,24,0.282
min_committee,may,epistemic_possibility,31,1.0
