layer,item,kind,freq_in,tokens_in,freq_out,tokens_out,pmw_in,pmw_out,LL,p,log_ratio,pct_diff,sign,q
statement,will,modal,607,41906,37,62833,14484.8,588.9,866.65,0.0,4.602,2359.8,+,0.0
statement,would,modal,49,41906,719,62833,1169.3,11443.0,460.08,0.0,-3.277,-89.8,-,0.0
statement,could,modal,50,41906,83,62833,1193.1,1321.0,0.33,0.5682,-0.141,-9.7,-,0.5682
statement,can,modal,4,41906,3,62833,95.5,47.7,0.83,0.3612,0.947,99.9,+,0.4335
statement,should,modal,33,41906,85,62833,787.5,1352.8,7.47,0.0063,-0.767,-41.8,-,0.0126
statement,may,modal,27,41906,31,62833,644.3,493.4,1.02,0.3128,0.388,30.6,+,0.4335
min_committee,will,modal,37,62833,607,41906,588.9,14484.8,866.65,0.0,-4.602,-95.9,-,0.0
min_committee,would,modal,719,62833,49,41906,11443.0,1169.3,460.08,0.0,3.277,878.6,+,0.0
min_committee,could,modal,83,62833,50,41906,1321.0,1193.1,0.33,0.5682,0.141,10.7,+,0.5682
min_committee,can,modal,3,62833,4,41906,47.7,95.5,0.83,0.3612,-0.947,-50.0,-,0.4335
min_committee,should,modal,85,62833,33,41906,1352.8,787.5,7.47,0.0063,0.767,71.8,+,0.0126
min_committee,may,modal,31,62833,27,41906,493.4,644.3,1.02,0.3128,-0.388,-23.4,-,0.4335
