group,k,retention
all,1,0.965
all,2,0.9385521885521885
all,3,0.9192176870748299
all,4,0.9037800687285222
all,5,0.8914930555555555
all,6,0.8789473684210526
all,7,0.8670212765957447
all,8,0.8575268817204301
all,9,0.852355072463768
all,10,0.8415750915750915
all,11,0.8305555555555556
all,12,0.8211610486891385
all,13,0.8087121212121211
all,14,0.7998084291187739
all,15,0.7936046511627907
all,16,0.7872549019607842
all,17,0.7807539682539681
all,18,0.7740963855421686
all,19,0.7652439024390244
all,20,0.7623456790123457
all,21,0.7645833333333333
all,22,0.760548523206751
all,23,0.7564102564102564
all,24,0.751082251082251
will,1,1.0
will,2,1.0
will,3,1.0
will,4,1.0
will,5,1.0
will,6,1.0
will,7,1.0
will,8,1.0
will,9,1.0
will,10,1.0
will,11,1.0
will,12,1.0
will,13,1.0
will,14,1.0
will,15,1.0
will,16,1.0
will,17,1.0
will,18,1.0
will,19,1.0
will,20,1.0
will,21,1.0
will,22,1.0
will,23,1.0
will,24,1.0
would,1,0.9782608695652174
would,2,0.9777777777777777
would,3,0.9772727272727273
would,4,0.9767441860465116
would,5,0.9761904761904762
would,6,0.975609756097561
would,7,0.975
would,8,0.9743589743589743
would,9,0.9736842105263158
would,10,0.972972972972973
would,11,0.9722222222222222
would,12,0.9714285714285714
would,13,0.9705882352941176
would,14,0.9696969696969697
would,15,0.96875
would,16,0.967741935483871
would,17,0.9666666666666667
would,18,0.9655172413793104
would,19,0.9642857142857143
would,20,0.9629629629629629
would,21,0.9615384615384616
would,22,0.96
would,23,0.9583333333333334
would,24,0.9565217391304348
could,1,0.9795918367346939
could,2,0.9583333333333334
could,3,0.9361702127659575
could,4,0.9130434782608695
could,5,0.9111111111111111
could,6,0.9090909090909091
could,7,0.9069767441860465
could,8,0.9047619047619048
could,9,0.9024390243902439
could,10,0.9
could,11,0.8974358974358975
could,12,0.8947368421052632
could,13,0.8918918918918919
could,14,0.8888888888888888
could,15,0.8857142857142857
could,16,0.8823529411764706
could,17,0.8787878787878788
could,18,0.875
could,19,0.8709677419354839
could,20,0.8666666666666667
could,21,0.8620689655172413
could,22,0.8571428571428571
could,23,0.8518518518518519
could,24,0.8461538461538461
can,1,0.5
can,2,0.0
can,3,0.0
can,4,0.0
can,5,0.0
can,6,0.0
can,7,0.0
can,8,0.0
can,9,0.0
can,10,0.0
can,11,0.0
can,12,0.0
can,13,0.0
can,14,0.0
can,15,0.0
can,16,0.0
can,17,0.0
can,18,0.0
can,19,0.0
can,20,0.0
can,21,0.0
can,22,0.0
can,23,0.0
can,24,0.0
should,1,0.9629629629629629
should,2,0.9259259259259259
should,3,0.8888888888888888
should,4,0.8518518518518519
should,5,0.8148148148148148
should,6,0.7777777777777778
should,7,0.7407407407407407
should,8,0.7037037037037037
should,9,0.6666666666666666
should,10,0.6296296296296297
should,11,0.5925925925925926
should,12,0.5555555555555556
should,13,0.5185185185185185
should,14,0.48148148148148145
should,15,0.4444444444444444
should,16,0.4074074074074074
should,17,0.37037037037037035
should,18,0.3333333333333333
should,19,0.2962962962962963
should,20,0.25925925925925924
should,21,0.2222222222222222
should,22,0.18518518518518517
should,23,0.14814814814814814
should,24,0.1111111111111111
may,1,0.8076923076923077
may,2,0.6923076923076923
may,3,0.5769230769230769
may,4,0.5
may,5,0.4230769230769231
may,6,0.34615384615384615
may,7,0.2692307692307692
may,8,0.23076923076923078
may,9,0.23076923076923078
may,10,0.19230769230769232
may,11,0.15384615384615385
may,12,0.15384615384615385
may,13,0.07692307692307693
may,14,0.038461538461538464
may,15,0.038461538461538464
may,16,0.038461538461538464
may,17,0.038461538461538464
may,18,0.038461538461538464
may,19,0.0
may,20,0.0
may,21,0.041666666666666664
may,22,0.043478260869565216
may,23,0.045454545454545456
may,24,0.047619047619047616
modal_sentences,1,0.7714253246753247
modal_sentences,2,0.6611537452446543
modal_sentences,3,0.5810028123803633
modal_sentences,4,0.522100980348403
modal_sentences,5,0.47600183381433375
modal_sentences,6,0.4428544846965898
modal_sentences,7,0.4104963003899173
modal_sentences,8,0.3808728607115703
modal_sentences,9,0.3482244808331765
modal_sentences,10,0.32262856191427625
modal_sentences,11,0.30174603174603176
modal_sentences,12,0.2817014446227929
modal_sentences,13,0.26137716450216447
modal_sentences,14,0.24154351395730703
modal_sentences,15,0.22898671096345516
modal_sentences,16,0.21613445378151255
modal_sentences,17,0.2056689342403628
modal_sentences,18,0.19143717728055076
modal_sentences,19,0.1771486643437863
modal_sentences,20,0.16480991573584167
modal_sentences,21,0.15657738095238094
modal_sentences,22,0.1508237894313844
modal_sentences,23,0.14349816849816852
modal_sentences,24,0.13571428571428573
