key,unit,target,r2_base,r2_with,delta_r2,coef_text,p_text,n,q_text
minutes,ALL,cfnai_ma3_lead3,0.0553,0.1222,0.0669,0.0846,0.1529,99,0.5099
minutes,ALL,d_vix_28,0.0527,0.0561,0.0033,-0.0823,0.2095,99,0.5099
minutes,could,cfnai_ma3_lead3,0.0553,0.0652,0.0099,-0.0903,0.2201,99,0.5099
minutes,could,d_vix_28,0.0527,0.0529,0.0002,0.0513,0.8,99,0.8533
minutes,should,cfnai_ma3_lead3,0.0553,0.0623,0.007,0.0563,0.3899,99,0.5563
minutes,should,d_vix_28,0.0527,0.0551,0.0024,-0.1439,0.3999,99,0.5563
minutes,would,cfnai_ma3_lead3,0.0553,0.1169,0.0615,0.0776,0.0239,99,0.3819
minutes,would,d_vix_28,0.0527,0.0529,0.0001,0.015,0.8548,99,0.8548
statement,ALL,cfnai_ma3_lead3,0.0105,0.1086,0.0981,0.0797,0.1482,101,0.5099
statement,ALL,d_vix_28,0.0182,0.0512,0.0329,-0.2612,0.2231,101,0.5099
statement,could,cfnai_ma3_lead3,0.0105,0.0157,0.0052,0.0485,0.5624,101,0.6427
statement,could,d_vix_28,0.0182,0.0313,0.013,-0.4341,0.3322,101,0.5563
statement,will,cfnai_ma3_lead3,0.0105,0.1353,0.1248,0.1185,0.0661,101,0.5099
statement,will,d_vix_28,0.0182,0.025,0.0068,-0.156,0.4172,101,0.5563
statement,would,cfnai_ma3_lead3,0.0105,0.0166,0.006,0.0501,0.5237,101,0.6427
statement,would,d_vix_28,0.0182,0.0297,0.0115,-0.3903,0.3513,101,0.5563
