layer,item,kind,freq_in,tokens_in,freq_out,tokens_out,pmw_in,pmw_out,LL,p,log_ratio,pct_diff,sign,q
statement,will,modal,607,41906,167,649429,14484.8,257.1,2616.7,0.0,5.813,5532.8,+,0.0
statement,would,modal,49,41906,3234,649429,1169.3,4979.8,169.84,0.0,-2.076,-76.5,-,0.0
statement,could,modal,50,41906,1511,649429,1193.1,2326.7,26.8,0.0,-0.95,-48.7,-,0.0
statement,can,modal,4,41906,39,649429,95.5,60.1,0.69,0.4069,0.82,58.9,+,0.4069
statement,should,modal,33,41906,324,649429,787.5,498.9,5.52,0.0188,0.678,57.8,+,0.0254
statement,may,modal,27,41906,314,649429,644.3,483.5,1.89,0.169,0.438,33.3,+,0.183
statement,will/activity,unit,132,41906,20,649429,3149.9,30.8,624.17,0.0,6.646,10128.2,+,0.0
statement,will/aspectual,unit,126,41906,17,649429,3006.7,26.2,604.23,0.0,6.808,11386.2,+,0.0
statement,will/mental,unit,105,41906,5,649429,2505.6,7.7,548.62,0.0,8.216,32444.3,+,0.0
statement,will/policy_action,unit,57,41906,25,649429,1360.2,38.5,221.84,0.0,5.127,3433.4,+,0.0
statement,will/copular_adj,unit,51,41906,16,649429,1217.0,24.6,214.27,0.0,5.596,4839.8,+,0.0
statement,could/causative,unit,50,41906,385,649429,1193.1,592.8,18.12,0.0,1.022,101.3,+,0.0
statement,will/occurrence,unit,47,41906,16,649429,1121.6,24.6,194.1,0.0,5.479,4452.3,+,0.0
statement,would/copular_adj,unit,46,41906,617,649429,1097.7,950.1,0.86,0.3546,0.223,15.5,+,0.3688
statement,will/causative,unit,38,41906,11,649429,906.8,16.9,162.23,0.0,5.697,5253.6,+,0.0
statement,will/existence,unit,29,41906,17,649429,692.0,26.2,104.11,0.0,4.707,2543.7,+,0.0
statement,should/activity,unit,21,41906,44,649429,501.1,67.8,41.45,0.0,2.904,639.6,+,0.0
statement,may/causative,unit,16,41906,58,649429,381.8,89.3,19.69,0.0,2.128,327.5,+,0.0
statement,will/communication,unit,12,41906,3,649429,286.4,4.6,52.64,0.0,5.79,6098.9,+,0.0
statement,may/copular_adj,unit,10,41906,77,649429,238.6,118.6,3.62,0.057,1.07,101.3,+,0.0705
statement,will/other,unit,10,41906,31,649429,238.6,47.7,14.39,0.0001,2.369,399.9,+,0.0002
statement,should/causative,unit,6,41906,10,649429,143.2,15.4,13.72,0.0002,3.262,829.8,+,0.0003
statement,should/policy_action,unit,6,41906,28,649429,143.2,43.1,5.45,0.0195,1.821,232.1,+,0.0254
statement,can/copular_adj,unit,2,41906,8,649429,47.7,12.3,2.21,0.1375,2.188,287.4,+,0.1626
statement,can/other,unit,2,41906,9,649429,47.7,13.9,1.91,0.1673,2.028,244.4,+,0.183
statement,would/aspectual,unit,2,41906,306,649429,47.7,471.2,25.35,0.0,-2.984,-89.9,-,0.0
