variable,outcome_vs_will,coef,rrr,p
const,would,1.946,6.998,6.72295667637137e-14
const,could,-0.479,0.62,0.11862176263539098
const,can,-9.003,0.0,0.22147771246627856
const,should,0.572,1.773,0.061289749430237905
const,may,-2.863,0.057,1.5134238041887921e-05
period_late,would,0.605,1.831,1.2271031961935624e-05
period_late,could,0.769,2.157,9.578828842734213e-08
period_late,can,0.508,1.662,0.13582644604578376
period_late,should,0.139,1.149,0.4078909234537339
period_late,may,0.55,1.733,0.0012928431274051324
subj_type_econ,would,0.904,2.47,2.9821624884207744e-05
subj_type_econ,could,1.49,4.435,2.203748028250099e-09
subj_type_econ,can,6.392,597.023,0.3839144172241352
subj_type_econ,should,0.018,1.018,0.9423860097055148
subj_type_econ,may,3.52,33.799,1.3865444727533666e-08
subj_type_fed,would,-1.23,0.292,0.012793664973094351
subj_type_fed,could,-0.642,0.526,0.2537830642873896
subj_type_fed,can,-2.934,0.053,0.9586301552361859
subj_type_fed,should,-0.703,0.495,0.22711492918595744
subj_type_fed,may,-4.637,0.01,0.7217376800609729
subj_type_it_there_rel,would,0.833,2.301,0.00025189433900099585
subj_type_it_there_rel,could,1.692,5.432,2.3538601749264697e-11
subj_type_it_there_rel,can,6.792,890.563,0.35477650904106117
subj_type_it_there_rel,should,-0.869,0.419,0.005364748895635874
subj_type_it_there_rel,may,2.77,15.957,1.1515410855538341e-05
subj_type_none,would,0.177,1.193,0.8640414684194324
subj_type_none,could,-0.009,0.991,0.9932502712827722
subj_type_none,can,7.965,2878.906,0.2835879564574444
subj_type_none,should,0.971,2.64,0.36450218791920674
subj_type_none,may,2.307,10.048,0.09066854502060123
subj_type_other,would,0.226,1.254,0.2769010298347233
subj_type_other,could,0.957,2.605,6.81639655634551e-05
subj_type_other,can,5.482,240.262,0.45525011621416633
subj_type_other,should,-0.222,0.801,0.3601795566822612
subj_type_other,may,2.737,15.448,1.0131859575885464e-05
subj_type_person,would,0.721,2.056,0.05636366741573114
subj_type_person,could,0.223,1.25,0.6066531736245877
subj_type_person,can,-3.224,0.04,0.9599764113930437
subj_type_person,should,-0.496,0.609,0.27811872398008874
subj_type_person,may,1.102,3.01,0.22160692510247904
subj_type_risks,would,2.895,18.076,0.6892931348131726
subj_type_risks,could,4.429,83.84,0.5407730715383525
subj_type_risks,can,-0.836,0.433,0.9981803617738073
subj_type_risks,should,3.928,50.805,0.5877437158915115
subj_type_risks,may,7.055,1158.549,0.33199608631353417
layer_min_participants,would,0.923,2.516,0.00028249803586668804
layer_min_participants,could,2.357,10.562,2.2046227564572148e-17
layer_min_participants,can,0.959,2.609,0.19524126287572863
layer_min_participants,should,0.738,2.091,0.009893792864533374
layer_min_participants,may,1.503,4.497,2.6439230581915427e-06
layer_min_special,would,-0.874,0.417,0.00021729389908046513
layer_min_special,could,0.85,2.339,0.0012493246832276466
layer_min_special,can,1.722,5.593,0.011398090024603187
layer_min_special,should,-0.592,0.553,0.03796391158002455
layer_min_special,may,-0.523,0.592,0.1332982597426983
layer_min_staff,would,0.134,1.143,0.6746811474339778
layer_min_staff,could,0.979,2.661,0.00464017167091971
layer_min_staff,can,0.461,1.586,0.637296912668176
layer_min_staff,should,-1.881,0.152,0.0007189742996497651
layer_min_staff,may,0.871,2.39,0.024629844438790544
layer_min_staff_desk,would,-0.701,0.496,0.006035615788735418
layer_min_staff_desk,could,0.334,1.397,0.2444971335206989
layer_min_staff_desk,can,0.661,1.937,0.40296804635749717
layer_min_staff_desk,should,-0.981,0.375,0.003102421100939289
layer_min_staff_desk,may,0.13,1.139,0.7079628611721485
layer_statement,would,-5.579,0.004,5.9074253479904895e-108
layer_statement,could,-4.019,0.018,4.816658497026778e-44
layer_statement,can,-2.467,0.085,0.0027060767596227163
layer_statement,should,-3.681,0.025,1.0839552236247708e-34
layer_statement,may,-3.142,0.043,1.9521104652055267e-20
cond,would,1.739,5.691,5.186421664669349e-16
cond,could,2.427,11.328,3.1112722587729325e-29
cond,can,1.819,6.166,1.444200079540314e-05
cond,should,1.227,3.41,1.1963441145249902e-06
cond,may,1.763,5.828,1.1926948552968163e-12
reported,would,0.098,1.103,0.49889456307323543
reported,could,-0.673,0.51,8.347522473216118e-06
reported,can,0.354,1.425,0.32178844795486994
reported,should,0.426,1.531,0.019876735562056127
reported,may,-0.535,0.585,0.0027651406569288643
