layer,modal,date,kwic
statement,will,2021-12-15,"…ith inflation having exceeded 2 percent for some time, the Committee expects it [will] be appropriate to maintain this target range until labor market conditions have…"
statement,will,2015-03-18,…The Committee anticipates that it [will] be appropriate to raise the target range for the federal funds rate when it has…
statement,may,2023-05-03,"…In determining the extent to which additional policy firming [may] be appropriate to return inflation to 2 percent over time, the Committee will t…"
statement,may,2019-03-20,…termines what future adjustments to the target range for the federal funds rate [may] be appropriate to support these outcomes.…
speech_chair,will,2015-03-27,"…t couple of years, and as the equilibrium real funds rate continues to rise, it [will] accordingly be appropriate to raise the actual level of the real federal funds …"
speech_chair,will,2022-11-30,"… our November meeting, we noted that we anticipated that ongoing rate increases [will] be appropriate in order to attain a policy stance that is sufficiently restrict…"
speech_chair,would,2015-12-02,"…hat they anticipated, in light of their economic forecasts at the time, that it [would] be appropriate to raise the target range for the federal funds rate by the end …"
speech_chair,would,2019-03-08,…Each participant's dots reflect that participant's view of the policy that [would] be appropriate in the scenario that he or she sees as most likely.…
speech_chair,may,2015-05-22,"…If conditions improve more rapidly than expected, it [may] be appropriate to raise interest rates more quickly; conversely, the pace of no…"
speech_chair,may,2023-11-09,"… the balance of risks, determining the extent of additional policy firming that [may] be appropriate to return inflation to 2 percent over time.…"
