key,unit,target,r2_base,r2_with,delta_r2,coef_text,p_text,n,q_text
minutes,ALL,cfnai_ma3_lead3,0.0553,0.0751,0.0198,-0.0981,0.4048,99,0.7474
minutes,ALL,d_vix_28,0.0527,0.0536,0.0008,-0.0871,0.6925,99,0.7915
minutes,could,cfnai_ma3_lead3,0.0553,0.1247,0.0694,-0.307,0.1697,99,0.5702
minutes,could,d_vix_28,0.0527,0.073,0.0202,-0.7243,0.0542,99,0.3471
minutes,may,cfnai_ma3_lead3,0.0553,0.0598,0.0045,0.1796,0.5223,99,0.7544
minutes,may,d_vix_28,0.0527,0.0602,0.0075,-1.0159,0.2835,99,0.6185
minutes,should,cfnai_ma3_lead3,0.0553,0.0558,0.0005,-0.0613,0.729,99,0.7953
minutes,should,d_vix_28,0.0527,0.0677,0.015,-1.511,0.0578,99,0.3471
minutes,will,cfnai_ma3_lead3,0.0553,0.0591,0.0037,-0.1729,0.2207,99,0.5702
minutes,will,d_vix_28,0.0527,0.0542,0.0015,-0.4786,0.575,99,0.7544
minutes,would,cfnai_ma3_lead3,0.0553,0.0566,0.0012,0.0331,0.6093,99,0.7544
minutes,would,d_vix_28,0.0527,0.0813,0.0285,0.7021,0.2063,99,0.5702
minutes,would+be+appropriate,cfnai_ma3_lead3,0.0553,0.0554,0.0001,0.039,0.8561,99,0.8933
minutes,would+be+appropriate,d_vix_28,0.0527,0.0565,0.0038,1.0782,0.3768,99,0.7474
minutes,would+continue,cfnai_ma3_lead3,0.0553,0.0726,0.0172,0.4897,0.1688,99,0.5702
minutes,would+continue,d_vix_28,0.0527,0.0529,0.0002,0.2045,0.9144,99,0.9144
minutes,would+depend,cfnai_ma3_lead3,0.0553,0.1017,0.0464,1.082,0.0048,99,0.1153
minutes,would+depend,d_vix_28,0.0527,0.0536,0.0009,-0.6571,0.6287,99,0.7544
minutes,would+need,cfnai_ma3_lead3,0.0553,0.0671,0.0118,-0.7387,0.0513,99,0.3471
minutes,would+need,d_vix_28,0.0527,0.054,0.0013,1.0693,0.6076,99,0.7544
minutes,would+remain,cfnai_ma3_lead3,0.0553,0.0639,0.0086,-0.4969,0.4962,99,0.7544
minutes,would+remain,d_vix_28,0.0527,0.0595,0.0068,1.9279,0.2376,99,0.5702
minutes,would+take,cfnai_ma3_lead3,0.0553,0.0653,0.0099,-0.8234,0.0847,99,0.4067
minutes,would+take,d_vix_28,0.0527,0.0593,0.0066,2.935,0.443,99,0.7544
