layer,modal,sem_type,n,share
min_staff_desk,will,epistemic_predictive,28,0.8
min_staff_desk,will,dynamic_volitional,7,0.2
min_staff_desk,would,conditional_hypothetical,151,0.492
min_staff_desk,would,reported_backshift,141,0.459
min_staff_desk,would,dynamic_volitional_conditional,15,0.049
min_staff_desk,could,epistemic_possibility,127,0.92
min_staff_desk,could,dynamic_ability,11,0.08
min_staff_desk,should,deontic_advisability,24,0.889
min_staff_desk,should,epistemic_expectation,3,0.111
min_staff_desk,may,epistemic_possibility,41,1.0
min_staff,would,conditional_hypothetical,215,0.657
min_staff,would,reported_backshift,107,0.327
min_staff,would,dynamic_volitional_conditional,5,0.015
min_staff,could,epistemic_possibility,132,1.0
min_staff,may,epistemic_possibility,57,1.0
min_participants,will,epistemic_predictive,27,0.9
min_participants,will,dynamic_volitional,3,0.1
min_participants,would,reported_backshift,1097,0.714
min_participants,would,conditional_hypothetical,420,0.273
min_participants,would,dynamic_volitional_conditional,20,0.013
min_participants,could,epistemic_possibility,827,0.945
min_participants,could,dynamic_ability,48,0.055
min_participants,should,deontic_advisability,125,0.839
min_participants,should,epistemic_expectation,24,0.161
min_participants,may,epistemic_possibility,157,1.0
min_committee,will,epistemic_predictive,27,0.73
min_committee,will,dynamic_volitional,10,0.27
min_committee,would,reported_backshift,565,0.786
min_committee,would,conditional_hypothetical,123,0.171
min_committee,would,dynamic_volitional_conditional,31,0.043
min_committee,could,epistemic_possibility,83,1.0
min_committee,should,deontic_advisability,61,0.718
min_committee,should,epistemic_expectation,24,0.282
min_committee,may,epistemic_possibility,31,1.0
min_special,will,epistemic_predictive,37,0.755
min_special,will,dynamic_volitional,12,0.245
min_special,would,reported_backshift,198,0.576
min_special,would,conditional_hypothetical,134,0.39
min_special,would,dynamic_volitional_conditional,12,0.035
min_special,could,epistemic_possibility,257,0.908
min_special,could,dynamic_ability,26,0.092
min_special,can,dynamic_circumstantial,18,0.857
min_special,can,epistemic_possibility,3,0.143
min_special,should,deontic_advisability,45,0.776
min_special,should,epistemic_expectation,13,0.224
min_special,may,epistemic_possibility,28,1.0
