variable,outcome_vs_will,coef,rrr,p
const,would,1.762,5.825,1.127577854562673e-07
const,could,-0.143,0.867,0.698414590555543
const,can,-9.326,0.0,0.39689934758123746
const,should,0.698,2.01,0.06393737167557763
const,may,-2.193,0.112,0.0013112510877935784
period_late,would,0.464,1.591,0.006588775709390308
period_late,could,0.624,1.866,0.00038236066331806664
period_late,can,0.438,1.549,0.2408291835141132
period_late,should,0.234,1.264,0.2482644483593054
period_late,may,0.49,1.633,0.01591036626474861
subj_type_econ,would,0.822,2.274,0.009813915569656337
subj_type_econ,could,0.913,2.491,0.007574223575864944
subj_type_econ,can,6.597,732.689,0.5485188970077165
subj_type_econ,should,-0.819,0.441,0.021570648626389955
subj_type_econ,may,2.443,11.502,0.00021027012832496153
subj_type_fed,would,-1.032,0.356,0.06027978746255526
subj_type_fed,could,-0.922,0.398,0.12935539248141523
subj_type_fed,can,-3.809,0.022,0.9712089192679999
subj_type_fed,should,-0.979,0.376,0.1301761192064412
subj_type_fed,may,-6.167,0.002,0.7593577574010625
subj_type_it_there_rel,would,0.64,1.897,0.05178996612345301
subj_type_it_there_rel,could,0.914,2.493,0.009361990927996812
subj_type_it_there_rel,can,6.762,864.563,0.5385495968326919
subj_type_it_there_rel,should,-1.763,0.171,2.4131769562168845e-05
subj_type_it_there_rel,may,1.67,5.311,0.01339785755365515
subj_type_none,would,0.816,2.261,0.440827466643681
subj_type_none,could,0.142,1.152,0.897526526806313
subj_type_none,can,8.659,5760.951,0.43336793325818557
subj_type_none,should,1.055,2.872,0.33848442968728487
subj_type_none,may,1.941,6.967,0.15980652108406423
subj_type_other,would,0.504,1.655,0.09348428533232293
subj_type_other,could,0.75,2.116,0.020714314695558518
subj_type_other,can,5.788,326.208,0.598618326130333
subj_type_other,should,-0.446,0.64,0.1757211331500419
subj_type_other,may,2.062,7.861,0.0015227352927380687
subj_type_person,would,0.926,2.525,0.0292811636832626
subj_type_person,could,-0.065,0.937,0.8912573624898783
subj_type_person,can,-4.379,0.013,0.9741422770993867
subj_type_person,should,-0.865,0.421,0.08249089968882413
subj_type_person,may,0.316,1.371,0.7303913473538348
subj_type_risks,would,3.424,30.689,0.6950087536261909
subj_type_risks,could,4.473,87.631,0.6084874398933727
subj_type_risks,can,-1.01,0.364,0.9985892170975507
subj_type_risks,should,3.895,49.18,0.6558120967550993
subj_type_risks,may,6.54,692.401,0.4552335303607602
layer_min_participants,would,0.959,2.608,0.00017453192267422664
layer_min_participants,could,2.4,11.019,4.906282943641054e-18
layer_min_participants,can,0.922,2.515,0.2048861445587995
layer_min_participants,should,0.827,2.287,0.00430447602780328
layer_min_participants,may,1.54,4.663,1.5852698368937103e-06
layer_min_special,would,-0.786,0.456,0.0009325677633925935
layer_min_special,could,0.928,2.529,0.00038717928335615405
layer_min_special,can,1.737,5.681,0.009084105487441286
layer_min_special,should,-0.504,0.604,0.08202741177890757
layer_min_special,may,-0.446,0.64,0.20165064157055523
layer_min_staff,would,0.27,1.309,0.40291468047754786
layer_min_staff,could,1.112,3.04,0.0013380803806845667
layer_min_staff,can,0.456,1.578,0.6422177734556318
layer_min_staff,should,-1.613,0.199,0.004129867825877133
layer_min_staff,may,1.057,2.878,0.006833480402526854
layer_min_staff_desk,would,-0.577,0.561,0.024707591114799247
layer_min_staff_desk,could,0.458,1.58,0.10907370010394252
layer_min_staff_desk,can,0.709,2.031,0.36282572960661197
layer_min_staff_desk,should,-0.886,0.412,0.008483769036131681
layer_min_staff_desk,may,0.24,1.271,0.4903282692049764
cond,would,-0.02,0.98,0.9229805271483053
cond,could,0.669,1.953,0.0013850881945900893
cond,can,0.356,1.428,0.4002178749052606
cond,should,-0.288,0.749,0.2619244956909451
cond,may,0.208,1.232,0.3978523888303601
reported,would,0.561,1.752,0.000871543087422351
reported,could,-0.242,0.785,0.1642369388656415
reported,can,0.716,2.045,0.06304058452917906
reported,should,0.96,2.612,7.389963113597362e-06
reported,may,-0.033,0.968,0.8714840678030478
