layer,will,would,could,can,should,may
min_committee,1.57,6.99,-10.94,-1.43,3.95,-3.11
min_participants,-5.77,-1.45,4.76,-2.56,-0.85,0.17
min_special,5.29,-5.12,4.9,6.65,1.87,-2.41
min_staff,-0.03,0.86,-1.14,-0.91,-4.7,4.86
min_staff_desk,4.55,-0.73,-0.94,0.58,-0.89,1.78
