key,unit,target,r2_base,r2_with,delta_r2,coef_text,p_text,n,q_text
minutes,ALL,cfnai_ma3_lead3,0.0553,0.0751,0.0198,-0.0981,0.4048,99,0.6419
minutes,ALL,d_vix_28,0.0527,0.0536,0.0008,-0.0871,0.6925,99,0.729
minutes,could,cfnai_ma3_lead3,0.0553,0.1247,0.0694,-0.307,0.1697,99,0.5577
minutes,could,d_vix_28,0.0527,0.073,0.0202,-0.7243,0.0542,99,0.4409
minutes,may,cfnai_ma3_lead3,0.0553,0.0598,0.0045,0.1796,0.5223,99,0.6765
minutes,may,d_vix_28,0.0527,0.0602,0.0075,-1.0159,0.2835,99,0.6299
minutes,should,cfnai_ma3_lead3,0.0553,0.0558,0.0005,-0.0613,0.729,99,0.729
minutes,should,d_vix_28,0.0527,0.0677,0.015,-1.511,0.0578,99,0.4409
minutes,will,cfnai_ma3_lead3,0.0553,0.0591,0.0037,-0.1729,0.2207,99,0.5577
minutes,will,d_vix_28,0.0527,0.0542,0.0015,-0.4786,0.575,99,0.6765
minutes,would,cfnai_ma3_lead3,0.0553,0.0566,0.0012,0.0331,0.6093,99,0.677
minutes,would,d_vix_28,0.0527,0.0813,0.0285,0.7021,0.2063,99,0.5577
statement,ALL,cfnai_ma3_lead3,0.0105,0.1086,0.0981,0.0797,0.1482,101,0.5577
statement,ALL,d_vix_28,0.0182,0.0512,0.0329,-0.2612,0.2231,101,0.5577
statement,could,cfnai_ma3_lead3,0.0105,0.0157,0.0052,0.0485,0.5624,101,0.6765
statement,could,d_vix_28,0.0182,0.0313,0.013,-0.4341,0.3322,101,0.6386
statement,will,cfnai_ma3_lead3,0.0105,0.1353,0.1248,0.1185,0.0661,101,0.4409
statement,will,d_vix_28,0.0182,0.025,0.0068,-0.156,0.4172,101,0.6419
statement,would,cfnai_ma3_lead3,0.0105,0.0166,0.006,0.0501,0.5237,101,0.6765
statement,would,d_vix_28,0.0182,0.0297,0.0115,-0.3903,0.3513,101,0.6386
