variable,outcome_vs_will,coef,rrr,p
const,would,1.948,7.016,6.580734230057293e-14
const,could,-0.476,0.621,0.12052878107583104
const,can,-8.739,0.0,0.18240865537290396
const,should,0.577,1.781,0.05924974685451367
const,may,-2.844,0.058,1.5603104217142938e-05
period_late,would,0.606,1.833,1.197040996168565e-05
period_late,could,0.77,2.159,9.184269108393947e-08
period_late,can,0.505,1.657,0.1385346207870553
period_late,should,0.14,1.15,0.4037195430839827
period_late,may,0.551,1.735,0.0012656711682232755
subj_type_econ,would,0.907,2.476,2.8432924930395567e-05
subj_type_econ,could,1.493,4.448,2.056391171180298e-09
subj_type_econ,can,6.157,472.226,0.34564133551755827
subj_type_econ,should,0.022,1.022,0.9313028274438877
subj_type_econ,may,3.509,33.429,1.2755641591085236e-08
subj_type_fed,would,-1.219,0.295,0.013707423555158162
subj_type_fed,could,-0.628,0.533,0.2641314849710057
subj_type_fed,can,-2.948,0.052,0.9538060743030372
subj_type_fed,should,-0.686,0.504,0.2383408195944937
subj_type_fed,may,-4.326,0.013,0.6979880436629553
subj_type_it_there_rel,would,0.837,2.31,0.00023642996870554047
subj_type_it_there_rel,could,1.696,5.453,2.1462774572845646e-11
subj_type_it_there_rel,can,6.559,705.67,0.31496762814641577
subj_type_it_there_rel,should,-0.865,0.421,0.005602998622342332
subj_type_it_there_rel,may,2.761,15.816,1.0998990628744246e-05
subj_type_none,would,0.157,1.17,0.8778376762971425
subj_type_none,could,-0.027,0.974,0.980109616223221
subj_type_none,can,7.706,2222.361,0.24477862401086758
subj_type_none,should,0.957,2.603,0.3678318049905642
subj_type_none,may,2.286,9.84,0.09120901855035245
subj_type_other,would,0.229,1.258,0.26968114638816143
subj_type_other,could,0.96,2.613,6.452479884624242e-05
subj_type_other,can,5.249,190.439,0.4214229325179567
subj_type_other,should,-0.217,0.805,0.37258100966910224
subj_type_other,may,2.728,15.302,9.686926758354247e-06
subj_type_person,would,0.721,2.057,0.056187667266078184
subj_type_person,could,0.224,1.251,0.6056154090045851
subj_type_person,can,-3.252,0.039,0.9551281259524541
subj_type_person,should,-0.494,0.61,0.2798918551029277
subj_type_person,may,1.083,2.952,0.22914460827649896
subj_type_risks,would,2.414,11.18,0.6707690215118425
subj_type_risks,could,3.941,51.474,0.4878299345213877
subj_type_risks,can,-0.851,0.427,0.9973652985154664
subj_type_risks,should,3.439,31.156,0.5453642647713332
subj_type_risks,may,6.549,698.49,0.2522757691765335
layer_min_participants,would,0.915,2.497,0.00032011927963599996
layer_min_participants,could,2.35,10.489,2.8600350649917266e-17
layer_min_participants,can,0.933,2.543,0.20464766086848696
layer_min_participants,should,0.729,2.074,0.010791802151913417
layer_min_participants,may,1.493,4.449,3.1110541205339795e-06
layer_min_special,would,-0.881,0.414,0.0001955278133927839
layer_min_special,could,0.843,2.324,0.0013745031028494488
layer_min_special,can,1.694,5.439,0.01217214504060291
layer_min_special,should,-0.604,0.547,0.03451370918461639
layer_min_special,may,-0.535,0.585,0.12480670353340624
layer_min_staff,would,0.126,1.134,0.6928917511256296
layer_min_staff,could,0.971,2.64,0.004992646506975448
layer_min_staff,can,0.417,1.518,0.6696817595202987
layer_min_staff,should,-1.898,0.15,0.0006600402897581753
layer_min_staff,may,0.86,2.363,0.026554874882013673
layer_min_staff_desk,would,-0.709,0.492,0.0054687458738771726
layer_min_staff_desk,could,0.326,1.385,0.25652928570372435
layer_min_staff_desk,can,0.628,1.874,0.4246463730449337
layer_min_staff_desk,should,-0.987,0.373,0.0028899517086756416
layer_min_staff_desk,may,0.114,1.121,0.7413406984655345
layer_statement,would,-5.585,0.004,6.295303969265439e-108
layer_statement,could,-4.026,0.018,4.212541888283072e-44
layer_statement,can,-2.497,0.082,0.0022950584410850773
layer_statement,should,-3.691,0.025,8.478765365141785e-35
layer_statement,may,-3.152,0.043,1.507629415799786e-20
cond,would,1.74,5.699,4.994509358589459e-16
cond,could,2.429,11.352,2.902022036264536e-29
cond,can,1.819,6.164,1.4690018513744054e-05
cond,should,1.227,3.412,1.196874775233214e-06
cond,may,1.767,5.856,1.029634609719414e-12
reported,would,0.098,1.103,0.49792591788550067
reported,could,-0.673,0.51,8.475981928788526e-06
reported,can,0.35,1.419,0.3279189797148535
reported,should,0.424,1.528,0.0205277635279985
reported,may,-0.535,0.586,0.002784964603990328
