key,unit,period,macro,p_text_to_macro,p_macro_to_text,n,q_text_to_macro,q_macro_to_text
minutes,ALL,T1,cfnai,0.2448,0.8072,99,0.7460571428571429,0.8907034482758621
minutes,ALL,T1,vix,0.2224,0.5284,99,0.7460571428571429,0.8627649122807017
minutes,ALL,T2,cfnai,0.6547,0.0632,91,0.8481185185185185,0.2664
minutes,ALL,T2,vix,0.2956,0.6522,91,0.7630628571428572,0.8627649122807017
minutes,could,T1,cfnai,0.0067,0.4843,99,0.2144,0.8627649122807017
minutes,could,T1,vix,0.1034,0.5603,99,0.66176,0.8627649122807017
minutes,could,T2,cfnai,0.4421,0.9646,91,0.7859555555555555,0.9814349206349205
minutes,could,T2,vix,0.2996,0.3919,91,0.7630628571428572,0.8627649122807017
minutes,may,T1,cfnai,0.7803,0.7247,99,0.8761263157894736,0.8627649122807017
minutes,may,T1,vix,0.7156,0.0924,99,0.8481185185185185,0.32853333333333334
minutes,may,T2,cfnai,0.7965,0.5748,91,0.8788965517241379,0.8627649122807017
minutes,may,T2,vix,0.7489,0.7684,91,0.8643428571428571,0.8627649122807017
minutes,should,T1,cfnai,0.8144,0.7519,99,0.8834169491525424,0.8627649122807017
minutes,should,T1,vix,0.7076,0.2944,99,0.8481185185185185,0.7246769230769231
minutes,should,T2,cfnai,0.7056,0.2375,91,0.8481185185185185,0.6333333333333333
minutes,should,T2,vix,0.4173,0.4871,91,0.7630628571428572,0.8627649122807017
minutes,will,T1,cfnai,0.4156,0.8685,99,0.7630628571428572,0.9264
minutes,will,T1,vix,0.6656,0.6998,99,0.8481185185185185,0.8627649122807017
minutes,will,T2,cfnai,0.7563,0.9661,91,0.8643428571428571,0.9814349206349205
minutes,will,T2,vix,0.2386,0.8478,91,0.7460571428571429,0.9196474576271186
minutes,would,T1,cfnai,0.1731,0.5506,99,0.6924,0.8627649122807017
minutes,would,T1,vix,0.4743,0.5392,99,0.8204108108108108,0.8627649122807017
minutes,would,T2,cfnai,0.6494,0.0159,91,0.8481185185185185,0.11306666666666668
minutes,would,T2,vix,0.6939,0.7642,91,0.8481185185185185,0.8627649122807017
minutes,would+be+appropriate,T1,cfnai,0.3416,0.0035,99,0.7630628571428572,0.056
minutes,would+be+appropriate,T1,vix,0.5739,0.1396,99,0.8481185185185185,0.4382476190476191
minutes,would+be+appropriate,T2,cfnai,0.2379,0.0054,91,0.7460571428571429,0.06912
minutes,would+be+appropriate,T2,vix,0.148,0.3492,91,0.6924,0.7981714285714286
minutes,would+continue,T1,cfnai,0.3041,0.9316,99,0.7630628571428572,0.977416393442623
minutes,would+continue,T1,vix,0.606,0.0033,99,0.8481185185185185,0.056
minutes,would+continue,T2,cfnai,0.8541,0.6568,91,0.9103483870967742,0.8627649122807017
minutes,would+continue,T2,vix,0.9045,0.0485,91,0.9188571428571428,0.25866666666666666
minutes,would+depend,T1,cfnai,0.0059,0.0,99,0.2144,0.0
minutes,would+depend,T1,vix,0.7133,0.6537,99,0.8481185185185185,0.8627649122807017
minutes,would+depend,T2,cfnai,0.0754,0.0138,91,0.5496888888888889,0.1104
minutes,would+depend,T2,vix,0.5616,0.0662,91,0.8481185185185185,0.2664
minutes,would+remain,T1,cfnai,0.4027,0.1796,99,0.7630628571428572,0.5224727272727273
minutes,would+remain,T1,vix,0.1973,0.065,99,0.7427764705882353,0.2664
minutes,would+remain,T2,cfnai,0.6119,0.5567,91,0.8481185185185185,0.8627649122807017
minutes,would+remain,T2,vix,0.3522,0.0666,91,0.7630628571428572,0.2664
statement,ALL,T1,cfnai,0.0549,0.1438,101,0.5019428571428571,0.4382476190476191
statement,ALL,T1,vix,0.0507,0.0248,101,0.5019428571428571,0.14429090909090908
statement,ALL,T2,cfnai,0.4075,0.2811,91,0.7630628571428572,0.719616
statement,ALL,T2,vix,0.16,0.4617,91,0.6924,0.8627649122807017
statement,could,T1,cfnai,0.3848,0.0002,101,0.7630628571428572,0.0064
statement,could,T1,vix,0.6591,0.4159,101,0.8481185185185185,0.8627649122807017
statement,could,T2,cfnai,0.3731,0.6842,91,0.7630628571428572,0.8627649122807017
statement,could,T2,vix,0.1523,0.7311,91,0.6924,0.8627649122807017
statement,will,T1,cfnai,0.0107,0.0078,101,0.22826666666666665,0.0832
statement,will,T1,vix,0.1528,0.3141,101,0.6924,0.7445333333333333
statement,will,T2,cfnai,0.4875,0.5271,91,0.8210526315789474,0.8627649122807017
statement,will,T2,vix,0.0342,0.744,91,0.48384,0.8627649122807017
statement,will+continue,T1,cfnai,0.3336,0.9889,101,0.7630628571428572,0.9889
statement,will+continue,T1,vix,0.5446,0.0111,101,0.8481185185185185,0.10148571428571429
statement,will+continue,T2,cfnai,0.3087,0.6191,91,0.7630628571428572,0.8627649122807017
statement,will+continue,T2,vix,0.1671,0.1167,91,0.6924,0.3930947368421053
statement,will+take,T1,cfnai,0.0378,0.7242,101,0.48384,0.8627649122807017
statement,will+take,T1,vix,0.9256,0.2307,101,0.9256,0.6333333333333333
statement,will+take,T2,cfnai,0.0773,0.6282,91,0.5496888888888889,0.8627649122807017
statement,will+take,T2,vix,0.8706,0.0861,91,0.9103483870967742,0.3241411764705882
statement,would,T1,cfnai,0.6316,0.0221,101,0.8481185185185185,0.14144
statement,would,T1,vix,0.8819,0.661,101,0.9103483870967742,0.8627649122807017
statement,would,T2,cfnai,0.5038,0.4927,91,0.826748717948718,0.8627649122807017
statement,would,T2,vix,0.3624,0.7637,91,0.7630628571428572,0.8627649122807017
