level,key,unit,period,macro,n_tokens,zero_share,n,r,p_r,rho,p_rho,q_rho,eligible,unit_level
genre,minutes,should,H2,vix,116,0.116,43,-0.1871,0.2295,-0.1783,0.2526,0.3969,True,modal
genre,minutes,will,T1,cfnai,167,0.374,99,0.0357,0.7259,-0.0908,0.3715,0.8757,True,modal
genre,minutes,will,T1,vix,167,0.374,99,-0.1815,0.0721,-0.172,0.0887,0.1521,True,modal
genre,minutes,will,T2,cfnai,156,0.363,91,-0.0595,0.5756,-0.1303,0.2182,0.5236,True,modal
genre,minutes,will,T2,vix,156,0.363,91,-0.1615,0.1261,-0.1566,0.1383,0.2242,True,modal
genre,minutes,will,T3,cfnai,217,0.374,131,0.0287,0.7452,-0.0739,0.4014,0.8435,True,modal
genre,minutes,will,T3,vix,217,0.374,131,-0.1829,0.0365,-0.1836,0.0358,0.0716,True,modal
genre,minutes,will,H1,cfnai,108,0.271,48,0.0536,0.7175,0.0289,0.8456,0.9225,True,modal
genre,minutes,will,H1,vix,108,0.271,48,-0.0361,0.8074,0.0777,0.5995,0.7194,True,modal
genre,minutes,will,H2,cfnai,48,0.465,43,-0.218,0.1602,-0.2271,0.143,0.3277,True,modal
genre,minutes,will,H2,vix,48,0.465,43,-0.1808,0.246,-0.2883,0.0609,0.1377,True,modal
genre,minutes,would,T1,cfnai,3234,0.0,99,-0.0577,0.5705,0.2092,0.0377,0.452,True,modal
genre,minutes,would,T1,vix,3234,0.0,99,0.1989,0.0484,0.1451,0.1518,0.222,True,modal
genre,minutes,would,T2,cfnai,2879,0.0,91,0.2404,0.0217,0.2923,0.0049,0.0591,True,modal
genre,minutes,would,T2,vix,2879,0.0,91,0.0176,0.8681,0.0307,0.7724,0.8426,True,modal
genre,minutes,would,T3,cfnai,4084,0.0,131,-0.0465,0.5978,0.1745,0.0462,0.554,True,modal
genre,minutes,would,T3,vix,4084,0.0,131,0.0874,0.3207,0.0427,0.6281,0.6281,True,modal
genre,minutes,would,H1,cfnai,1646,0.0,48,0.2846,0.0499,0.2553,0.08,0.5642,True,modal
genre,minutes,would,H1,vix,1646,0.0,48,-0.0642,0.6647,-0.025,0.8662,0.8662,True,modal
genre,minutes,would,H2,cfnai,1233,0.0,43,0.2409,0.1197,0.2097,0.1771,0.3277,True,modal
genre,minutes,would,H2,vix,1233,0.0,43,0.246,0.1118,0.2714,0.0784,0.1437,True,modal
genre,statement,ALL,T1,cfnai,770,0.0,101,-0.0573,0.569,-0.1242,0.2158,0.8757,True,modal
genre,statement,ALL,T1,vix,770,0.0,101,0.0086,0.9323,0.0613,0.5425,0.5425,True,modal
genre,statement,ALL,T2,cfnai,697,0.0,91,-0.1355,0.2004,-0.1783,0.0909,0.4417,True,modal
genre,statement,ALL,T2,vix,697,0.0,91,0.0699,0.5105,0.0449,0.6729,0.8074,True,modal
genre,statement,ALL,T3,cfnai,1007,0.0,133,-0.0555,0.5259,-0.0964,0.2697,0.8435,True,modal
genre,statement,ALL,T3,vix,1007,0.0,133,-0.1174,0.1785,-0.1156,0.185,0.2775,True,modal
genre,statement,ALL,H1,cfnai,397,0.0,48,0.1574,0.2852,0.1747,0.2351,0.5642,True,modal
genre,statement,ALL,H1,vix,397,0.0,48,-0.2815,0.0526,-0.4048,0.0043,0.0259,True,modal
genre,statement,ALL,H2,cfnai,300,0.0,43,-0.5054,0.0005,-0.5183,0.0004,0.0041,True,modal
genre,statement,ALL,H2,vix,300,0.0,43,-0.4212,0.0049,-0.4722,0.0014,0.0076,True,modal
genre,statement,could,T1,cfnai,50,0.505,101,0.1416,0.1578,-0.0624,0.535,0.9054,True,modal
genre,statement,could,T1,vix,50,0.505,101,0.1793,0.0727,0.3319,0.0007,0.0028,True,modal
genre,statement,could,T2,cfnai,47,0.484,91,-0.079,0.4567,-0.1674,0.1127,0.4417,True,modal
genre,statement,could,T2,vix,47,0.484,91,0.4576,0.0,0.451,0.0,0.0,True,modal
genre,statement,could,T3,cfnai,55,0.594,133,0.1259,0.1488,-0.0171,0.8452,0.9095,True,modal
genre,statement,could,T3,vix,55,0.594,133,0.093,0.2871,0.1823,0.0357,0.0716,True,modal
genre,statement,could,H1,cfnai,4,0.917,48,0.1142,0.4395,0.0935,0.5272,0.8435,False,modal
genre,statement,could,H1,vix,4,0.917,48,-0.1163,0.4312,-0.0829,0.5755,0.7194,False,modal
genre,statement,could,H2,cfnai,43,0.0,43,-0.6024,0.0,-0.4384,0.0033,0.018,True,modal
genre,statement,could,H2,vix,43,0.0,43,0.0006,0.9969,-0.0119,0.9398,0.9398,True,modal
genre,statement,should,T1,cfnai,33,0.733,101,0.0254,0.8009,-0.012,0.9054,0.9054,False,modal
genre,statement,should,T1,vix,33,0.733,101,-0.2908,0.0032,-0.3372,0.0006,0.0028,False,modal
genre,statement,should,T2,cfnai,33,0.703,91,-0.0694,0.5132,-0.0279,0.7928,0.7928,False,modal
genre,statement,should,T2,vix,33,0.703,91,-0.2741,0.0086,-0.3054,0.0032,0.0097,False,modal
genre,statement,should,T3,cfnai,49,0.699,133,0.0124,0.887,-0.0608,0.4869,0.8435,False,modal
genre,statement,should,T3,vix,49,0.699,133,-0.2949,0.0006,-0.3634,0.0,0.0002,False,modal
genre,statement,should,H1,cfnai,33,0.438,48,-0.1058,0.4741,-0.0857,0.5624,0.8435,False,modal
genre,statement,should,H1,vix,33,0.438,48,0.053,0.7205,-0.0589,0.6911,0.7539,False,modal
genre,statement,should,H2,cfnai,0,1.0,43,,,,,,False,modal
genre,statement,should,H2,vix,0,1.0,43,,,,,,False,modal
genre,statement,will,T1,cfnai,607,0.0,101,-0.2325,0.0193,-0.0492,0.6252,0.9054,True,modal
genre,statement,will,T1,vix,607,0.0,101,-0.0981,0.3289,-0.1864,0.062,0.124,True,modal
genre,statement,will,T2,cfnai,543,0.0,91,-0.0669,0.5284,-0.0701,0.509,0.6574,True,modal
genre,statement,will,T2,vix,543,0.0,91,-0.296,0.0044,-0.3391,0.001,0.004,True,modal
genre,statement,will,T3,cfnai,820,0.0,133,-0.2045,0.0182,-0.0504,0.5647,0.8435,True,modal
genre,statement,will,T3,vix,820,0.0,133,-0.1674,0.0541,-0.2593,0.0026,0.0103,True,modal
