block,layer,series,N,mean,sd,min,max,zero_share,AR1
macro,statement,CFNAI-MA3 (m−2),101,-0.09,1.101,-7.55,4.58,,0.25
macro,statement,VIX pre-28d,101,18.347,6.694,10.19,50.277,,0.756
macro,statement,Unemployment gap (m−1),101,0.175,1.43,-1.034,8.741,,0.766
macro,statement,Core PCE gap (m−2),101,0.448,1.297,-1.005,3.606,,0.983
text,pc_chair,ALL,80,20.043,2.968,14.058,28.589,0.0,0.186
text,pc_chair,can,80,2.958,1.161,0.431,6.539,0.0,0.416
text,pc_chair,could,80,1.168,0.621,0.0,3.185,0.013,0.204
text,pc_chair,may,80,0.903,0.472,0.0,2.362,0.013,0.169
text,pc_chair,should,80,0.938,0.551,0.0,3.069,0.013,0.254
text,pc_chair,will,80,8.2,2.545,3.33,17.139,0.0,0.348
text,pc_chair,would,80,5.875,1.663,3.005,9.585,0.0,-0.091
text,statement,ALL,101,18.476,4.012,10.169,26.385,0.0,0.814
text,statement,could,101,1.446,1.562,0.0,4.237,0.505,0.973
text,statement,should,101,0.539,0.908,0.0,2.538,0.733,0.968
text,statement,will,101,14.365,3.146,7.353,21.951,0.0,0.625
text,statement,would,101,1.46,1.631,0.0,4.435,0.535,0.942
