level,key,series,spec,var,coef,se,t,p,stars,n,r2
genre,minutes,ALL,levels: CFNAI,CFNAI-MA3,-0.0865,0.0912,-0.95,0.3424,,99,0.003
genre,minutes,ALL,levels: CFNAI + VIX,CFNAI-MA3,-0.0871,0.0856,-1.02,0.3091,,99,0.003
genre,minutes,ALL,levels: CFNAI + VIX,VIX,-0.0011,0.0266,-0.04,0.9657,,99,0.003
genre,minutes,ALL,Δ: ΔCFNAI + ΔVIX,ΔCFNAI,0.0426,0.0409,1.04,0.2969,,98,0.002
genre,minutes,ALL,Δ: ΔCFNAI + ΔVIX,ΔVIX,-0.0149,0.0356,-0.42,0.6758,,98,0.002
genre,minutes,ALL,levels excl-2020: CFNAI + VIX,CFNAI-MA3,1.4417,0.7328,1.97,0.0491,**,91,0.061
genre,minutes,ALL,levels excl-2020: CFNAI + VIX,VIX,-0.0603,0.0243,-2.48,0.013,**,91,0.061
genre,minutes,ALL,Δ excl-2020,ΔCFNAI,1.1301,1.1526,0.98,0.3269,,90,0.014
genre,minutes,ALL,Δ excl-2020,ΔVIX,0.009,0.0369,0.24,0.808,,90,0.014
genre,minutes,commit,levels: CFNAI,CFNAI-MA3,0.0112,0.0094,1.19,0.2345,,99,0.001
genre,minutes,commit,levels: CFNAI + VIX,CFNAI-MA3,0.0059,0.0098,0.6,0.5457,,99,0.033
genre,minutes,commit,levels: CFNAI + VIX,VIX,-0.0106,0.0046,-2.31,0.0207,**,99,0.033
genre,minutes,commit,Δ: ΔCFNAI + ΔVIX,ΔCFNAI,0.0148,0.0085,1.73,0.0836,*,98,0.041
genre,minutes,commit,Δ: ΔCFNAI + ΔVIX,ΔVIX,-0.02,0.0098,-2.03,0.0425,**,98,0.041
genre,minutes,commit,levels excl-2020: CFNAI + VIX,CFNAI-MA3,-0.0456,0.1458,-0.31,0.7547,,91,0.027
genre,minutes,commit,levels excl-2020: CFNAI + VIX,VIX,-0.0119,0.0071,-1.69,0.0914,*,91,0.027
genre,minutes,commit,Δ excl-2020,ΔCFNAI,0.2833,0.1358,2.09,0.037,**,90,0.06
genre,minutes,commit,Δ excl-2020,ΔVIX,-0.0279,0.0149,-1.88,0.0608,*,90,0.06
genre,minutes,hedge,levels: CFNAI,CFNAI-MA3,-0.0939,0.0914,-1.03,0.3043,,99,0.006
genre,minutes,hedge,levels: CFNAI + VIX,CFNAI-MA3,-0.0845,0.0778,-1.09,0.2777,,99,0.013
