key,unit,target,r2_base,r2_with,delta_r2,coef_text,p_text,n,q_text
minutes,ALL,cfnai_ma3_lead3,0.0553,0.0751,0.0198,-0.0981,0.4048,99,0.7417
minutes,ALL,d_vix_28,0.0527,0.0536,0.0008,-0.0871,0.6925,99,0.7915
minutes,could,cfnai_ma3_lead3,0.0553,0.1247,0.0694,-0.307,0.1697,99,0.6335
minutes,could,d_vix_28,0.0527,0.073,0.0202,-0.7243,0.0542,99,0.5291
minutes,may,cfnai_ma3_lead3,0.0553,0.0598,0.0045,0.1796,0.5223,99,0.7451
minutes,may,d_vix_28,0.0527,0.0602,0.0075,-1.0159,0.2835,99,0.6978
minutes,should,cfnai_ma3_lead3,0.0553,0.0558,0.0005,-0.0613,0.729,99,0.8044
minutes,should,d_vix_28,0.0527,0.0677,0.015,-1.511,0.0578,99,0.5291
minutes,will,cfnai_ma3_lead3,0.0553,0.0591,0.0037,-0.1729,0.2207,99,0.6335
minutes,will,d_vix_28,0.0527,0.0542,0.0015,-0.4786,0.575,99,0.7451
minutes,would,cfnai_ma3_lead3,0.0553,0.0566,0.0012,0.0331,0.6093,99,0.7451
minutes,would,d_vix_28,0.0527,0.0813,0.0285,0.7021,0.2063,99,0.6335
minutes,would+be+appropriate,cfnai_ma3_lead3,0.0553,0.0554,0.0001,0.039,0.8561,99,0.9132
minutes,would+be+appropriate,d_vix_28,0.0527,0.0565,0.0038,1.0782,0.3768,99,0.7417
minutes,would+continue,cfnai_ma3_lead3,0.0553,0.0726,0.0172,0.4897,0.1688,99,0.6335
minutes,would+continue,d_vix_28,0.0527,0.0529,0.0002,0.2045,0.9144,99,0.9372
minutes,would+depend,cfnai_ma3_lead3,0.0553,0.1017,0.0464,1.082,0.0048,99,0.1537
minutes,would+depend,d_vix_28,0.0527,0.0536,0.0009,-0.6571,0.6287,99,0.7451
minutes,would+remain,cfnai_ma3_lead3,0.0553,0.0639,0.0086,-0.4969,0.4962,99,0.7451
minutes,would+remain,d_vix_28,0.0527,0.0595,0.0068,1.9279,0.2376,99,0.6335
statement,ALL,cfnai_ma3_lead3,0.0105,0.1086,0.0981,0.0797,0.1482,101,0.6335
statement,ALL,d_vix_28,0.0182,0.0512,0.0329,-0.2612,0.2231,101,0.6335
statement,could,cfnai_ma3_lead3,0.0105,0.0157,0.0052,0.0485,0.5624,101,0.7451
statement,could,d_vix_28,0.0182,0.0313,0.013,-0.4341,0.3322,101,0.7417
statement,will,cfnai_ma3_lead3,0.0105,0.1353,0.1248,0.1185,0.0661,101,0.5291
statement,will,d_vix_28,0.0182,0.025,0.0068,-0.156,0.4172,101,0.7417
statement,will+continue,cfnai_ma3_lead3,0.0105,0.0123,0.0017,0.0152,0.6018,101,0.7451
statement,will+continue,d_vix_28,0.0182,0.0276,0.0094,-0.1997,0.4859,101,0.7451
statement,will+take,cfnai_ma3_lead3,0.0105,0.0106,0.0001,-0.0063,0.9372,101,0.9372
statement,will+take,d_vix_28,0.0182,0.0872,0.0689,-1.1655,0.1763,101,0.6335
statement,would,cfnai_ma3_lead3,0.0105,0.0166,0.006,0.0501,0.5237,101,0.7451
statement,would,d_vix_28,0.0182,0.0297,0.0115,-0.3903,0.3513,101,0.7417
