layer,will,would,could,can,should,may
min_committee,-7.37,10.09,-9.92,-1.37,4.26,-2.84
min_participants,-16.68,3.03,7.63,-2.46,-0.46,0.76
min_special,-4.74,-3.0,6.55,6.83,2.12,-2.16
min_staff,-6.12,2.92,-0.03,-0.86,-4.59,5.23
min_staff_desk,-3.94,1.27,0.19,0.65,-0.73,2.08
statement,53.02,-17.48,-10.11,-0.53,-1.56,-2.22
