layer,modal,sem_type,n,share
speech_chair,will,epistemic_predictive,678,0.58
speech_chair,will,dynamic_volitional,491,0.42
speech_chair,would,conditional_hypothetical,379,0.661
speech_chair,would,reported_backshift,90,0.157
speech_chair,would,dynamic_tentative,56,0.098
speech_chair,would,dynamic_volitional_conditional,48,0.084
speech_chair,could,epistemic_possibility,300,0.845
speech_chair,could,dynamic_ability,55,0.155
speech_chair,can,dynamic_circumstantial,290,0.564
speech_chair,can,dynamic_ability,176,0.342
speech_chair,can,epistemic_possibility,48,0.093
speech_chair,should,deontic_advisability,182,0.867
speech_chair,should,epistemic_expectation,28,0.133
speech_chair,may,epistemic_possibility,379,0.992
speech_chair,may,deontic_permission,3,0.008
