level,key,series,spec,var,coef,se,t,p,stars,n,r2
genre,minutes,ALL,levels: CFNAI,CFNAI-MA3,-0.0204,0.0928,-0.22,0.8256,,99,0.0
genre,minutes,ALL,levels: CFNAI + VIX,CFNAI-MA3,-0.0269,0.0898,-0.3,0.7641,,99,0.002
genre,minutes,ALL,levels: CFNAI + VIX,VIX,-0.0131,0.0297,-0.44,0.6602,,99,0.002
genre,minutes,ALL,Δ: ΔCFNAI + ΔVIX,ΔCFNAI,0.0943,0.0321,2.94,0.0033,***,98,0.006
genre,minutes,ALL,Δ: ΔCFNAI + ΔVIX,ΔVIX,-0.0105,0.0296,-0.35,0.724,,98,0.006
genre,minutes,ALL,levels excl-2020: CFNAI + VIX,CFNAI-MA3,1.9779,0.7436,2.66,0.0078,***,91,0.112
genre,minutes,ALL,levels excl-2020: CFNAI + VIX,VIX,-0.0798,0.0316,-2.53,0.0116,**,91,0.112
genre,minutes,ALL,Δ excl-2020,ΔCFNAI,1.2956,0.8466,1.53,0.1259,,90,0.026
genre,minutes,ALL,Δ excl-2020,ΔVIX,0.0068,0.0299,0.23,0.8198,,90,0.026
genre,minutes,commit,levels: CFNAI,CFNAI-MA3,0.0203,0.0214,0.95,0.3421,,99,0.002
genre,minutes,commit,levels: CFNAI + VIX,CFNAI-MA3,0.0122,0.0255,0.48,0.6332,,99,0.041
genre,minutes,commit,levels: CFNAI + VIX,VIX,-0.0163,0.0135,-1.21,0.2266,,99,0.041
genre,minutes,commit,Δ: ΔCFNAI + ΔVIX,ΔCFNAI,0.0629,0.0095,6.63,0.0,***,98,0.056
genre,minutes,commit,Δ: ΔCFNAI + ΔVIX,ΔVIX,-0.0174,0.014,-1.24,0.216,,98,0.056
genre,minutes,commit,levels excl-2020: CFNAI + VIX,CFNAI-MA3,0.2385,0.2848,0.84,0.4024,,91,0.145
genre,minutes,commit,levels excl-2020: CFNAI + VIX,VIX,-0.0414,0.0137,-3.03,0.0025,***,91,0.145
genre,minutes,commit,Δ excl-2020,ΔCFNAI,-0.0347,0.1664,-0.21,0.8346,,90,0.079
genre,minutes,commit,Δ excl-2020,ΔVIX,-0.0341,0.0162,-2.1,0.0359,**,90,0.079
genre,minutes,hedge,levels: CFNAI,CFNAI-MA3,-0.069,0.0636,-1.08,0.2783,,99,0.004
genre,minutes,hedge,levels: CFNAI + VIX,CFNAI-MA3,-0.0646,0.0562,-1.15,0.2505,,99,0.007
genre,minutes,hedge,levels: CFNAI + VIX,VIX,0.0089,0.0178,0.5,0.6184,,99,0.007
genre,minutes,hedge,Δ: ΔCFNAI + ΔVIX,ΔCFNAI,0.0062,0.0313,0.2,0.8425,,98,0.003
genre,minutes,hedge,Δ: ΔCFNAI + ΔVIX,ΔVIX,0.0148,0.0209,0.71,0.4789,,98,0.003
genre,minutes,hedge,levels excl-2020: CFNAI + VIX,CFNAI-MA3,0.8021,0.5272,1.52,0.1281,,91,0.034
genre,minutes,hedge,levels excl-2020: CFNAI + VIX,VIX,-0.0296,0.0229,-1.29,0.1957,,91,0.034
genre,minutes,hedge,Δ excl-2020,ΔCFNAI,0.4378,0.7802,0.56,0.5747,,90,0.011
genre,minutes,hedge,Δ excl-2020,ΔVIX,0.03,0.0273,1.1,0.2725,,90,0.011
genre,press_conf,ALL,levels: CFNAI,CFNAI-MA3,0.2747,0.2162,1.27,0.2038,,80,0.014
genre,press_conf,ALL,levels: CFNAI + VIX,CFNAI-MA3,0.3402,0.1394,2.44,0.0147,**,80,0.128
genre,press_conf,ALL,levels: CFNAI + VIX,VIX,0.157,0.0375,4.19,0.0,***,80,0.128
genre,press_conf,ALL,Δ: ΔCFNAI + ΔVIX,ΔCFNAI,0.6974,0.0767,9.1,0.0,***,79,0.091
