layer,item,kind,freq_in,tokens_in,freq_out,tokens_out,pmw_in,pmw_out,LL,p,log_ratio,pct_diff,sign,q
statement,will,modal,607,41906,5547,830792,14484.8,6676.8,267.76,0.0,1.118,116.9,+,0.0
statement,would,modal,49,41906,4419,830792,1169.3,5319.0,192.74,0.0,-2.171,-78.0,-,0.0
statement,could,modal,50,41906,1064,830792,1193.1,1280.7,0.24,0.6208,-0.088,-6.8,-,0.6208
statement,can,modal,4,41906,2127,830792,95.5,2560.2,175.41,0.0,-4.576,-96.3,-,0.0
statement,should,modal,33,41906,792,830792,787.5,953.3,1.23,0.2679,-0.255,-17.4,-,0.3215
statement,may,modal,27,41906,898,830792,644.3,1080.9,8.3,0.004,-0.721,-40.4,-,0.006
min_committee,will,modal,37,62833,6117,809865,588.9,7553.1,656.64,0.0,-3.662,-92.2,-,0.0
min_committee,would,modal,719,62833,3749,809865,11443.0,4629.2,401.27,0.0,1.306,147.2,+,0.0
min_committee,could,modal,83,62833,1031,809865,1321.0,1273.1,0.1,0.7474,0.061,3.8,+,0.7474
min_committee,can,modal,3,62833,2128,809865,47.7,2627.6,288.41,0.0,-5.56,-98.2,-,0.0
min_committee,should,modal,85,62833,740,809865,1352.8,913.7,10.59,0.0011,0.574,48.1,+,0.0014
min_committee,may,modal,31,62833,894,809865,493.4,1103.9,25.24,0.0,-1.14,-55.3,-,0.0
pc_chair,will,modal,4341,533106,1813,339592,8142.8,5338.8,240.07,0.0,0.609,52.5,+,0.0
pc_chair,would,modal,3127,533106,1341,339592,5865.6,3948.9,154.1,0.0,0.571,48.5,+,0.0
pc_chair,could,modal,626,533106,488,339592,1174.3,1437.0,11.07,0.0009,-0.292,-18.3,-,0.0011
pc_chair,can,modal,1610,533106,521,339592,3020.0,1534.2,200.02,0.0,0.976,96.8,+,0.0
pc_chair,should,modal,497,533106,328,339592,932.3,965.9,0.25,0.6192,-0.052,-3.5,-,0.6192
pc_chair,may,modal,485,533106,440,339592,909.8,1295.7,28.53,0.0,-0.51,-29.8,-,0.0
speech_chair,will,modal,1169,234853,4985,637845,4977.6,7815.4,210.79,0.0,-0.65,-36.3,-,0.0
speech_chair,would,modal,573,234853,3895,637845,2439.8,6106.5,523.57,0.0,-1.322,-60.0,-,0.0
speech_chair,could,modal,355,234853,759,637845,1511.6,1189.9,13.43,0.0002,0.346,27.0,+,0.0004
speech_chair,can,modal,514,234853,1617,637845,2188.6,2535.1,8.64,0.0033,-0.211,-13.7,-,0.004
speech_chair,should,modal,210,234853,615,637845,894.2,964.2,0.9,0.3427,-0.106,-7.3,-,0.3427
speech_chair,may,modal,382,234853,543,637845,1626.5,851.3,89.15,0.0,0.935,91.1,+,0.0
