key,unit,period,macro,p_text_to_macro,p_macro_to_text,n,q_text_to_macro,q_macro_to_text
minutes,ALL,T1,cfnai,0.2448,0.8072,99,0.78336,0.9450146341463416
minutes,ALL,T1,vix,0.2224,0.5284,99,0.78336,0.8900129032258064
minutes,ALL,T2,cfnai,0.6547,0.0632,91,0.8743304347826086,0.34892307692307695
minutes,ALL,T2,vix,0.2956,0.6522,91,0.7989333333333333,0.9207529411764706
minutes,could,T1,cfnai,0.0067,0.4843,99,0.2832,0.8900129032258064
minutes,could,T1,vix,0.1034,0.5603,99,0.6204000000000001,0.8900129032258064
minutes,could,T2,cfnai,0.4421,0.9646,91,0.8432,0.9661
minutes,could,T2,vix,0.2996,0.3919,91,0.7989333333333333,0.8900129032258064
minutes,could/causative,T1,cfnai,0.297,0.5452,99,0.7989333333333333,0.8900129032258064
minutes,could/causative,T1,vix,0.8338,0.8378,99,0.8743304347826086,0.9463813953488371
minutes,could/causative,T2,cfnai,0.2117,0.4889,91,0.78336,0.8900129032258064
minutes,could/causative,T2,vix,0.1816,0.2814,91,0.78336,0.7850666666666667
minutes,may,T1,cfnai,0.7803,0.7247,99,0.8743304347826086,0.9220799999999999
minutes,may,T1,vix,0.7156,0.0924,99,0.8743304347826086,0.34892307692307695
minutes,may,T2,cfnai,0.7965,0.5748,91,0.8743304347826086,0.8900129032258064
minutes,may,T2,vix,0.7489,0.7684,91,0.8743304347826086,0.9220799999999999
minutes,should,T1,cfnai,0.8144,0.7519,99,0.8743304347826086,0.9220799999999999
minutes,should,T1,vix,0.7076,0.2944,99,0.8743304347826086,0.7850666666666667
minutes,should,T2,cfnai,0.7056,0.2375,91,0.8743304347826086,0.7413
minutes,should,T2,vix,0.4173,0.4871,91,0.8346,0.8900129032258064
minutes,will,T1,cfnai,0.4156,0.8685,99,0.8346,0.9474545454545455
minutes,will,T1,vix,0.6656,0.6998,99,0.8743304347826086,0.9220799999999999
minutes,will,T2,cfnai,0.7563,0.9661,91,0.8743304347826086,0.9661
minutes,will,T2,vix,0.2386,0.8478,91,0.78336,0.9463813953488371
minutes,would,T1,cfnai,0.1731,0.5506,99,0.78336,0.8900129032258064
minutes,would,T1,vix,0.4743,0.5392,99,0.8432,0.8900129032258064
minutes,would,T2,cfnai,0.6494,0.0159,91,0.8743304347826086,0.2544
minutes,would,T2,vix,0.6939,0.7642,91,0.8743304347826086,0.9220799999999999
minutes,would/activity,T1,cfnai,0.0461,0.0721,99,0.3688,0.34892307692307695
minutes,would/activity,T1,vix,0.0118,0.0017,99,0.2832,0.0408
minutes,would/activity,T2,cfnai,0.3744,0.6162,91,0.8168727272727273,0.8992
minutes,would/activity,T2,vix,0.2401,0.0017,91,0.78336,0.0408
minutes,would/copular_adj,T1,cfnai,0.467,0.0683,99,0.8432,0.34892307692307695
minutes,would/copular_adj,T1,vix,0.7061,0.0834,99,0.8743304347826086,0.34892307692307695
minutes,would/copular_adj,T2,cfnai,0.5656,0.0598,91,0.8743304347826086,0.34892307692307695
minutes,would/copular_adj,T2,vix,0.0547,0.0738,91,0.37508571428571424,0.34892307692307695
minutes,would/occurrence,T1,cfnai,0.8379,0.4247,99,0.8743304347826086,0.8900129032258064
minutes,would/occurrence,T1,vix,0.3348,0.2471,99,0.8089142857142857,0.7413
minutes,would/occurrence,T2,cfnai,0.9167,0.9567,91,0.9167,0.9661
minutes,would/occurrence,T2,vix,0.024,0.7518,91,0.28416,0.9220799999999999
minutes,would/other,T1,cfnai,0.5974,0.9378,99,0.8743304347826086,0.9661
minutes,would/other,T1,vix,0.9113,0.0945,99,0.9167,0.34892307692307695
minutes,would/other,T2,cfnai,0.3381,0.3784,91,0.8089142857142857,0.8900129032258064
minutes,would/other,T2,vix,0.0233,0.1968,91,0.28416,0.6747428571428571
minutes,would/policy_action,T1,cfnai,0.7355,0.4088,99,0.8743304347826086,0.8900129032258064
minutes,would/policy_action,T1,vix,0.7639,0.0642,99,0.8743304347826086,0.34892307692307695
minutes,would/policy_action,T2,cfnai,0.0296,0.6182,91,0.28416,0.8992
minutes,would/policy_action,T2,vix,0.3539,0.0447,91,0.8089142857142857,0.34892307692307695
