layer,will,would,could,can,should,may
min_committee,1.6,7.0,-10.9,-1.4,4.0,-3.1
min_participants,-5.8,-1.4,4.8,-2.6,-0.9,0.2
min_special,5.3,-5.1,4.9,6.6,1.9,-2.4
min_staff,-0.0,0.9,-1.1,-0.9,-4.7,4.9
min_staff_desk,4.5,-0.7,-0.9,0.6,-0.9,1.8
