genre,feature,target,k_months,n,r,p
statement,could_per1k,CFNAI_MA3,4,100,-0.041,0.6823
statement,could_per1k,CFNAI_MA3,5,99,-0.053,0.6016
statement,could_per1k,CFNAI_MA3,6,99,-0.011,0.9103
statement,could_per1k,CFNAI_MA3,7,98,-0.003,0.9768
statement,could_per1k,CFNAI_MA3,8,97,0.01,0.9233
statement,could_per1k,CFNAI_MA3,9,97,-0.01,0.9191
statement,could_per1k,VIX_M,-9,101,0.412,0.0
statement,could_per1k,VIX_M,-8,101,0.427,0.0
statement,could_per1k,VIX_M,-7,101,0.415,0.0
statement,could_per1k,VIX_M,-6,101,0.365,0.0002
statement,could_per1k,VIX_M,-5,101,0.437,0.0
statement,could_per1k,VIX_M,-4,101,0.309,0.0017
statement,could_per1k,VIX_M,-3,101,0.255,0.01
statement,could_per1k,VIX_M,-2,101,0.381,0.0001
statement,could_per1k,VIX_M,-1,101,0.213,0.0324
statement,could_per1k,VIX_M,0,101,0.028,0.7783
statement,could_per1k,VIX_M,1,101,0.134,0.1813
statement,could_per1k,VIX_M,2,101,0.089,0.3765
statement,could_per1k,VIX_M,3,101,0.065,0.5199
statement,could_per1k,VIX_M,4,100,0.155,0.123
statement,could_per1k,VIX_M,5,99,0.088,0.386
statement,could_per1k,VIX_M,6,99,0.009,0.9256
statement,could_per1k,VIX_M,7,98,0.043,0.6715
statement,could_per1k,VIX_M,8,97,0.033,0.7496
statement,could_per1k,VIX_M,9,97,0.01,0.9234
statement,can_per1k,CFNAI_MA3,-9,101,0.022,0.8299
statement,can_per1k,CFNAI_MA3,-8,101,0.027,0.7866
statement,can_per1k,CFNAI_MA3,-7,101,0.033,0.7403
statement,can_per1k,CFNAI_MA3,-6,101,0.004,0.9676
statement,can_per1k,CFNAI_MA3,-5,101,-0.014,0.8862
statement,can_per1k,CFNAI_MA3,-4,101,-0.031,0.7552
statement,can_per1k,CFNAI_MA3,-3,101,-0.018,0.861
statement,can_per1k,CFNAI_MA3,-2,101,0.008,0.9369
statement,can_per1k,CFNAI_MA3,-1,101,0.011,0.9133
statement,can_per1k,CFNAI_MA3,0,101,-0.129,0.1996
statement,can_per1k,CFNAI_MA3,1,101,-0.472,0.0
statement,can_per1k,CFNAI_MA3,2,101,-0.517,0.0
statement,can_per1k,CFNAI_MA3,3,101,-0.237,0.0172
statement,can_per1k,CFNAI_MA3,4,100,0.338,0.0006
statement,can_per1k,CFNAI_MA3,5,99,0.358,0.0003
statement,can_per1k,CFNAI_MA3,6,99,0.149,0.1399
statement,can_per1k,CFNAI_MA3,7,98,0.091,0.3751
statement,can_per1k,CFNAI_MA3,8,97,0.089,0.3842
statement,can_per1k,CFNAI_MA3,9,97,0.066,0.5179
statement,can_per1k,VIX_M,-9,101,-0.092,0.3602
statement,can_per1k,VIX_M,-8,101,-0.137,0.171
statement,can_per1k,VIX_M,-7,101,-0.082,0.4148
statement,can_per1k,VIX_M,-6,101,-0.125,0.2113
statement,can_per1k,VIX_M,-5,101,-0.126,0.2098
statement,can_per1k,VIX_M,-4,101,-0.15,0.1355
statement,can_per1k,VIX_M,-3,101,-0.094,0.3516
statement,can_per1k,VIX_M,-2,101,-0.111,0.2677
statement,can_per1k,VIX_M,-1,101,-0.027,0.788
statement,can_per1k,VIX_M,0,101,0.443,0.0
statement,can_per1k,VIX_M,1,101,0.354,0.0003
statement,can_per1k,VIX_M,2,101,0.151,0.1311
statement,can_per1k,VIX_M,3,101,0.111,0.2696
statement,can_per1k,VIX_M,4,100,0.072,0.477
statement,can_per1k,VIX_M,5,99,0.001,0.9911
statement,can_per1k,VIX_M,6,99,0.078,0.441
statement,can_per1k,VIX_M,7,98,0.189,0.0624
statement,can_per1k,VIX_M,8,97,0.174,0.0892
statement,can_per1k,VIX_M,9,97,0.071,0.4874
statement,should_per1k,CFNAI_MA3,-9,101,0.011,0.9125
statement,should_per1k,CFNAI_MA3,-8,101,0.019,0.8494
statement,should_per1k,CFNAI_MA3,-7,101,0.047,0.6409
statement,should_per1k,CFNAI_MA3,-6,101,0.012,0.904
statement,should_per1k,CFNAI_MA3,-5,101,0.014,0.8888
statement,should_per1k,CFNAI_MA3,-4,101,-0.017,0.8699
statement,should_per1k,CFNAI_MA3,-3,101,0.038,0.7049
statement,should_per1k,CFNAI_MA3,-2,101,0.025,0.8009
statement,should_per1k,CFNAI_MA3,-1,101,0.03,0.7676
statement,should_per1k,CFNAI_MA3,0,101,0.042,0.68
statement,should_per1k,CFNAI_MA3,1,101,0.071,0.4834
statement,should_per1k,CFNAI_MA3,2,101,0.075,0.4547
statement,should_per1k,CFNAI_MA3,3,101,0.043,0.6696
statement,should_per1k,CFNAI_MA3,4,100,-0.035,0.7325
statement,should_per1k,CFNAI_MA3,5,99,-0.026,0.7982
statement,should_per1k,CFNAI_MA3,6,99,-0.004,0.968
statement,should_per1k,CFNAI_MA3,7,98,0.011,0.9159
statement,should_per1k,CFNAI_MA3,8,97,0.011,0.9139
statement,should_per1k,CFNAI_MA3,9,97,0.011,0.9118
statement,should_per1k,VIX_M,-9,101,-0.223,0.0248
statement,should_per1k,VIX_M,-8,101,-0.226,0.0229
statement,should_per1k,VIX_M,-7,101,-0.27,0.0063
statement,should_per1k,VIX_M,-6,101,-0.216,0.0298
statement,should_per1k,VIX_M,-5,101,-0.258,0.0092
statement,should_per1k,VIX_M,-4,101,-0.244,0.0141
statement,should_per1k,VIX_M,-3,101,-0.241,0.015
statement,should_per1k,VIX_M,-2,101,-0.262,0.0082
statement,should_per1k,VIX_M,-1,101,-0.283,0.0042
statement,should_per1k,VIX_M,0,101,-0.221,0.0261
statement,should_per1k,VIX_M,1,101,-0.28,0.0046
statement,should_per1k,VIX_M,2,101,-0.29,0.0033
statement,should_per1k,VIX_M,3,101,-0.292,0.0031
statement,should_per1k,VIX_M,4,100,-0.341,0.0005
statement,should_per1k,VIX_M,5,99,-0.332,0.0008
statement,should_per1k,VIX_M,6,99,-0.294,0.0031
statement,should_per1k,VIX_M,7,98,-0.357,0.0003
statement,should_per1k,VIX_M,8,97,-0.313,0.0018
statement,should_per1k,VIX_M,9,97,-0.265,0.0086
statement,may_per1k,CFNAI_MA3,-9,101,0.065,0.518
statement,may_per1k,CFNAI_MA3,-8,101,0.038,0.7036
statement,may_per1k,CFNAI_MA3,-7,101,0.043,0.6706
statement,may_per1k,CFNAI_MA3,-6,101,0.005,0.9617
statement,may_per1k,CFNAI_MA3,-5,101,-0.01,0.9226
statement,may_per1k,CFNAI_MA3,-4,101,-0.022,0.8298
statement,may_per1k,CFNAI_MA3,-3,101,-0.003,0.9727
statement,may_per1k,CFNAI_MA3,-2,101,0.005,0.9603
statement,may_per1k,CFNAI_MA3,-1,101,-0.026,0.796
statement,may_per1k,CFNAI_MA3,0,101,-0.017,0.8692
statement,may_per1k,CFNAI_MA3,1,101,-0.049,0.6261
statement,may_per1k,CFNAI_MA3,2,101,-0.047,0.6428
statement,may_per1k,CFNAI_MA3,3,101,-0.039,0.6993
statement,may_per1k,CFNAI_MA3,4,100,-0.005,0.9623
statement,may_per1k,CFNAI_MA3,5,99,-0.012,0.9088
statement,may_per1k,CFNAI_MA3,6,99,-0.03,0.7687
statement,may_per1k,CFNAI_MA3,7,98,-0.033,0.7503
statement,may_per1k,CFNAI_MA3,8,97,-0.067,0.5151
statement,may_per1k,CFNAI_MA3,9,97,-0.061,0.5519
statement,may_per1k,VIX_M,-9,101,0.034,0.7323
statement,may_per1k,VIX_M,-8,101,0.025,0.8025
statement,may_per1k,VIX_M,-7,101,0.003,0.9768
statement,may_per1k,VIX_M,-6,101,-0.04,0.6897
statement,may_per1k,VIX_M,-5,101,-0.038,0.7062
statement,may_per1k,VIX_M,-4,101,-0.094,0.3481
statement,may_per1k,VIX_M,-3,101,-0.096,0.3419
statement,may_per1k,VIX_M,-2,101,-0.117,0.2434
statement,may_per1k,VIX_M,-1,101,-0.128,0.2017
statement,may_per1k,VIX_M,0,101,-0.073,0.4679
statement,may_per1k,VIX_M,1,101,-0.186,0.0628
statement,may_per1k,VIX_M,2,101,-0.2,0.0445
statement,may_per1k,VIX_M,3,101,-0.165,0.099
statement,may_per1k,VIX_M,4,100,-0.14,0.1658
statement,may_per1k,VIX_M,5,99,-0.13,0.1996
statement,may_per1k,VIX_M,6,99,-0.194,0.0542
statement,may_per1k,VIX_M,7,98,-0.15,0.1398
statement,may_per1k,VIX_M,8,97,-0.174,0.0879
statement,may_per1k,VIX_M,9,97,-0.172,0.0929
statement,six_per1k,CFNAI_MA3,-9,101,-0.033,0.7442
statement,six_per1k,CFNAI_MA3,-8,101,-0.069,0.4925
statement,six_per1k,CFNAI_MA3,-7,101,-0.122,0.2256
statement,six_per1k,CFNAI_MA3,-6,101,-0.103,0.3041
statement,six_per1k,CFNAI_MA3,-5,101,-0.045,0.6562
statement,six_per1k,CFNAI_MA3,-4,101,0.006,0.9529
statement,six_per1k,CFNAI_MA3,-3,101,-0.068,0.499
statement,six_per1k,CFNAI_MA3,-2,101,-0.069,0.4933
statement,six_per1k,CFNAI_MA3,-1,101,-0.04,0.6935
statement,six_per1k,CFNAI_MA3,0,101,0.074,0.4606
statement,six_per1k,CFNAI_MA3,1,101,0.261,0.0083
statement,six_per1k,CFNAI_MA3,2,101,0.305,0.0019
statement,six_per1k,CFNAI_MA3,3,101,0.355,0.0003
statement,six_per1k,CFNAI_MA3,4,100,0.084,0.4063
statement,six_per1k,CFNAI_MA3,5,99,0.09,0.3735
statement,six_per1k,CFNAI_MA3,6,99,0.13,0.2008
statement,six_per1k,CFNAI_MA3,7,98,0.089,0.3845
statement,six_per1k,CFNAI_MA3,8,97,0.106,0.3023
statement,six_per1k,CFNAI_MA3,9,97,0.001,0.9951
statement,six_per1k,VIX_M,-9,101,0.212,0.0336
statement,six_per1k,VIX_M,-8,101,0.255,0.0101
statement,six_per1k,VIX_M,-7,101,0.174,0.0818
statement,six_per1k,VIX_M,-6,101,0.123,0.22
statement,six_per1k,VIX_M,-5,101,0.147,0.143
statement,six_per1k,VIX_M,-4,101,0.183,0.0671
statement,six_per1k,VIX_M,-3,101,0.182,0.0681
statement,six_per1k,VIX_M,-2,101,0.177,0.0771
statement,six_per1k,VIX_M,-1,101,0.094,0.3475
statement,six_per1k,VIX_M,0,101,-0.191,0.0562
statement,six_per1k,VIX_M,1,101,-0.132,0.1886
statement,six_per1k,VIX_M,2,101,-0.233,0.019
statement,six_per1k,VIX_M,3,101,-0.249,0.0119
statement,six_per1k,VIX_M,4,100,-0.27,0.0065
statement,six_per1k,VIX_M,5,99,-0.304,0.0022
statement,six_per1k,VIX_M,6,99,-0.363,0.0002
statement,six_per1k,VIX_M,7,98,-0.307,0.0021
statement,six_per1k,VIX_M,8,97,-0.285,0.0047
statement,six_per1k,VIX_M,9,97,-0.284,0.0049
minutes,will_per1k,CFNAI_MA3,-9,99,0.001,0.9938
minutes,will_per1k,CFNAI_MA3,-8,99,-0.018,0.8617
minutes,will_per1k,CFNAI_MA3,-7,99,-0.037,0.7165
minutes,will_per1k,CFNAI_MA3,-6,99,-0.09,0.3781
minutes,will_per1k,CFNAI_MA3,-5,99,-0.14,0.1668
minutes,will_per1k,CFNAI_MA3,-4,99,-0.1,0.3252
minutes,will_per1k,CFNAI_MA3,-3,99,-0.033,0.7481
minutes,will_per1k,CFNAI_MA3,-2,99,0.049,0.6277
minutes,will_per1k,CFNAI_MA3,-1,99,0.048,0.6392
minutes,will_per1k,CFNAI_MA3,0,99,-0.03,0.7682
minutes,will_per1k,CFNAI_MA3,1,99,-0.02,0.8423
minutes,will_per1k,CFNAI_MA3,2,99,0.013,0.8947
minutes,will_per1k,CFNAI_MA3,3,99,0.107,0.2937
minutes,will_per1k,CFNAI_MA3,4,98,0.09,0.3773
minutes,will_per1k,CFNAI_MA3,5,97,0.07,0.4976
minutes,will_per1k,CFNAI_MA3,6,97,0.045,0.6589
minutes,will_per1k,CFNAI_MA3,7,96,0.066,0.5256
minutes,will_per1k,CFNAI_MA3,8,95,0.086,0.4099
minutes,will_per1k,CFNAI_MA3,9,95,0.018,0.8592
minutes,will_per1k,VIX_M,-9,99,-0.216,0.0318
minutes,will_per1k,VIX_M,-8,99,-0.18,0.0746
minutes,will_per1k,VIX_M,-7,99,-0.209,0.0375
minutes,will_per1k,VIX_M,-6,99,-0.135,0.1813
minutes,will_per1k,VIX_M,-5,99,-0.196,0.0524
minutes,will_per1k,VIX_M,-4,99,-0.209,0.0375
minutes,will_per1k,VIX_M,-3,99,-0.182,0.0714
minutes,will_per1k,VIX_M,-2,99,-0.205,0.0419
minutes,will_per1k,VIX_M,-1,99,-0.17,0.0916
minutes,will_per1k,VIX_M,0,99,-0.141,0.1639
minutes,will_per1k,VIX_M,1,99,-0.16,0.1127
minutes,will_per1k,VIX_M,2,99,-0.178,0.0786
minutes,will_per1k,VIX_M,3,99,-0.152,0.1337
minutes,will_per1k,VIX_M,4,98,-0.163,0.1082
minutes,will_per1k,VIX_M,5,97,-0.16,0.1166
minutes,will_per1k,VIX_M,6,97,-0.136,0.1831
minutes,will_per1k,VIX_M,7,96,-0.169,0.1001
minutes,will_per1k,VIX_M,8,95,-0.132,0.2012
minutes,will_per1k,VIX_M,9,95,-0.179,0.0828
minutes,would_per1k,CFNAI_MA3,-9,99,0.15,0.1386
minutes,would_per1k,CFNAI_MA3,-8,99,0.082,0.421
minutes,would_per1k,CFNAI_MA3,-7,99,0.066,0.5169
minutes,would_per1k,CFNAI_MA3,-6,99,-0.02,0.8465
minutes,would_per1k,CFNAI_MA3,-5,99,-0.097,0.3385
minutes,would_per1k,CFNAI_MA3,-4,99,-0.074,0.4659
minutes,would_per1k,CFNAI_MA3,-3,99,-0.113,0.2639
minutes,would_per1k,CFNAI_MA3,-2,99,-0.065,0.5248
minutes,would_per1k,CFNAI_MA3,-1,99,-0.06,0.5581
minutes,would_per1k,CFNAI_MA3,0,99,-0.005,0.9599
minutes,would_per1k,CFNAI_MA3,1,99,-0.01,0.9234
minutes,would_per1k,CFNAI_MA3,2,99,-0.002,0.9816
minutes,would_per1k,CFNAI_MA3,3,99,0.159,0.1163
minutes,would_per1k,CFNAI_MA3,4,98,0.301,0.0026
minutes,would_per1k,CFNAI_MA3,5,97,0.321,0.0014
minutes,would_per1k,CFNAI_MA3,6,97,0.098,0.3379
minutes,would_per1k,CFNAI_MA3,7,96,-0.05,0.6289
minutes,would_per1k,CFNAI_MA3,8,95,-0.008,0.9371
minutes,would_per1k,CFNAI_MA3,9,95,0.05,0.6308
minutes,would_per1k,VIX_M,-9,99,-0.049,0.6303
minutes,would_per1k,VIX_M,-8,99,-0.004,0.9721
minutes,would_per1k,VIX_M,-7,99,0.016,0.8747
minutes,would_per1k,VIX_M,-6,99,0.179,0.0765
minutes,would_per1k,VIX_M,-5,99,0.149,0.1416
minutes,would_per1k,VIX_M,-4,99,0.162,0.1091
minutes,would_per1k,VIX_M,-3,99,0.178,0.0773
minutes,would_per1k,VIX_M,-2,99,0.178,0.0779
minutes,would_per1k,VIX_M,-1,99,0.149,0.1399
minutes,would_per1k,VIX_M,0,99,0.242,0.016
minutes,would_per1k,VIX_M,1,99,0.136,0.1804
minutes,would_per1k,VIX_M,2,99,0.088,0.3878
minutes,would_per1k,VIX_M,3,99,0.027,0.7904
minutes,would_per1k,VIX_M,4,98,0.043,0.6716
minutes,would_per1k,VIX_M,5,97,0.045,0.6623
minutes,would_per1k,VIX_M,6,97,0.081,0.4328
minutes,would_per1k,VIX_M,7,96,0.135,0.191
minutes,would_per1k,VIX_M,8,95,0.055,0.5974
minutes,would_per1k,VIX_M,9,95,-0.036,0.7327
minutes,could_per1k,CFNAI_MA3,-9,99,0.171,0.0911
minutes,could_per1k,CFNAI_MA3,-8,99,0.135,0.1827
minutes,could_per1k,CFNAI_MA3,-7,99,-0.014,0.8932
minutes,could_per1k,CFNAI_MA3,-6,99,-0.154,0.1278
minutes,could_per1k,CFNAI_MA3,-5,99,-0.107,0.2937
minutes,could_per1k,CFNAI_MA3,-4,99,0.028,0.7833
minutes,could_per1k,CFNAI_MA3,-3,99,0.097,0.3406
minutes,could_per1k,CFNAI_MA3,-2,99,0.034,0.7419
minutes,could_per1k,CFNAI_MA3,-1,99,-0.027,0.789
minutes,could_per1k,CFNAI_MA3,0,99,-0.144,0.155
minutes,could_per1k,CFNAI_MA3,1,99,-0.043,0.6753
minutes,could_per1k,CFNAI_MA3,2,99,-0.063,0.5387
minutes,could_per1k,CFNAI_MA3,3,99,-0.144,0.1558
minutes,could_per1k,CFNAI_MA3,4,98,-0.182,0.0736
minutes,could_per1k,CFNAI_MA3,5,97,-0.254,0.012
minutes,could_per1k,CFNAI_MA3,6,97,-0.246,0.0151
minutes,could_per1k,CFNAI_MA3,7,96,-0.133,0.1948
minutes,could_per1k,CFNAI_MA3,8,95,-0.058,0.5737
minutes,could_per1k,CFNAI_MA3,9,95,0.205,0.0468
minutes,could_per1k,VIX_M,-9,99,0.031,0.7618
minutes,could_per1k,VIX_M,-8,99,0.091,0.3695
minutes,could_per1k,VIX_M,-7,99,0.084,0.4075
minutes,could_per1k,VIX_M,-6,99,0.101,0.3212
minutes,could_per1k,VIX_M,-5,99,0.116,0.2547
minutes,could_per1k,VIX_M,-4,99,-0.027,0.7933
minutes,could_per1k,VIX_M,-3,99,-0.029,0.7745
minutes,could_per1k,VIX_M,-2,99,0.044,0.6643
minutes,could_per1k,VIX_M,-1,99,0.131,0.1978
minutes,could_per1k,VIX_M,0,99,0.083,0.4154
minutes,could_per1k,VIX_M,1,99,0.031,0.7596
minutes,could_per1k,VIX_M,2,99,0.127,0.2099
minutes,could_per1k,VIX_M,3,99,0.162,0.1101
minutes,could_per1k,VIX_M,4,98,0.193,0.0575
minutes,could_per1k,VIX_M,5,97,0.413,0.0
minutes,could_per1k,VIX_M,6,97,0.293,0.0036
minutes,could_per1k,VIX_M,7,96,0.236,0.0205
minutes,could_per1k,VIX_M,8,95,0.198,0.054
minutes,could_per1k,VIX_M,9,95,0.319,0.0016
minutes,can_per1k,CFNAI_MA3,-9,99,0.104,0.3068
minutes,can_per1k,CFNAI_MA3,-8,99,0.135,0.1827
minutes,can_per1k,CFNAI_MA3,-7,99,0.1,0.3232
minutes,can_per1k,CFNAI_MA3,-6,99,0.086,0.3997
minutes,can_per1k,CFNAI_MA3,-5,99,0.016,0.8757
minutes,can_per1k,CFNAI_MA3,-4,99,0.05,0.62
minutes,can_per1k,CFNAI_MA3,-3,99,0.001,0.9919
minutes,can_per1k,CFNAI_MA3,-2,99,-0.125,0.218
minutes,can_per1k,CFNAI_MA3,-1,99,-0.17,0.0934
minutes,can_per1k,CFNAI_MA3,0,99,-0.138,0.172
minutes,can_per1k,CFNAI_MA3,1,99,0.127,0.2092
minutes,can_per1k,CFNAI_MA3,2,99,0.182,0.0709
minutes,can_per1k,CFNAI_MA3,3,99,0.156,0.1223
minutes,can_per1k,CFNAI_MA3,4,98,-0.048,0.6362
minutes,can_per1k,CFNAI_MA3,5,97,-0.097,0.3452
minutes,can_per1k,CFNAI_MA3,6,97,0.031,0.7596
minutes,can_per1k,CFNAI_MA3,7,96,0.143,0.1642
minutes,can_per1k,CFNAI_MA3,8,95,0.157,0.1296
minutes,can_per1k,CFNAI_MA3,9,95,0.068,0.5135
minutes,can_per1k,VIX_M,-9,99,0.144,0.1541
minutes,can_per1k,VIX_M,-8,99,0.166,0.0997
minutes,can_per1k,VIX_M,-7,99,0.17,0.092
minutes,can_per1k,VIX_M,-6,99,0.249,0.013
minutes,can_per1k,VIX_M,-5,99,0.254,0.0113
minutes,can_per1k,VIX_M,-4,99,0.312,0.0017
minutes,can_per1k,VIX_M,-3,99,0.429,0.0
minutes,can_per1k,VIX_M,-2,99,0.569,0.0
minutes,can_per1k,VIX_M,-1,99,0.465,0.0
minutes,can_per1k,VIX_M,0,99,0.369,0.0002
minutes,can_per1k,VIX_M,1,99,0.381,0.0001
minutes,can_per1k,VIX_M,2,99,0.309,0.0018
minutes,can_per1k,VIX_M,3,99,0.379,0.0001
minutes,can_per1k,VIX_M,4,98,0.453,0.0
minutes,can_per1k,VIX_M,5,97,0.255,0.0115
minutes,can_per1k,VIX_M,6,97,0.286,0.0046
minutes,can_per1k,VIX_M,7,96,0.248,0.015
minutes,can_per1k,VIX_M,8,95,0.259,0.0113
minutes,can_per1k,VIX_M,9,95,0.301,0.003
minutes,should_per1k,CFNAI_MA3,-9,99,0.169,0.0951
minutes,should_per1k,CFNAI_MA3,-8,99,0.183,0.0691
minutes,should_per1k,CFNAI_MA3,-7,99,0.094,0.3527
minutes,should_per1k,CFNAI_MA3,-6,99,-0.021,0.84
minutes,should_per1k,CFNAI_MA3,-5,99,-0.043,0.6749
minutes,should_per1k,CFNAI_MA3,-4,99,0.026,0.8006
minutes,should_per1k,CFNAI_MA3,-3,99,0.064,0.5271
minutes,should_per1k,CFNAI_MA3,-2,99,-0.0,0.9986
