doc_type,year,n_docs,n_tokens,will,would,could,can,should,may,will_per1k,will_share,would_per1k,would_share,could_per1k,could_share,can_per1k,can_share,should_per1k,should_share,may_per1k,may_share
minutes,2014,8,69620,140,290,100,4,65,46,2.010916403332376,0.21705426356589147,4.165469692617064,0.4496124031007752,1.4363688595231254,0.15503875968992248,0.057454754380925024,0.006201550387596899,0.9336397586900316,0.10077519379844961,0.6607296753806378,0.07131782945736434
minutes,2015,8,71094,102,313,120,6,59,60,1.4347202295552368,0.15454545454545454,4.402621880890089,0.47424242424242424,1.6879061524179255,0.18181818181818182,0.08439530762089628,0.00909090909090909,0.8298871916054801,0.0893939393939394,0.8439530762089628,0.09090909090909091
minutes,2016,8,78666,75,308,124,3,51,49,0.953397910151781,0.12295081967213115,3.9152874176899806,0.5049180327868853,1.576284544784278,0.20327868852459016,0.03813591640607124,0.004918032786885246,0.6483105789032111,0.08360655737704918,0.6228866346324969,0.08032786885245902
minutes,2017,8,71192,90,320,97,2,33,40,1.264186987301944,0.15463917525773196,4.494887065962468,0.5498281786941581,1.362512641869873,0.16666666666666666,0.028093044162265424,0.003436426116838488,0.4635352286773795,0.05670103092783505,0.5618608832453085,0.06872852233676977
minutes,2018,8,68202,49,266,138,4,12,51,0.7184540042813994,0.09423076923076923,3.9001788803847393,0.5115384615384615,2.0234010732823084,0.2653846153846154,0.05864930647195097,0.007692307692307693,0.17594791941585292,0.023076923076923078,0.7477786575173748,0.09807692307692308
minutes,2019,8,85454,66,343,227,7,28,53,0.7723453553958856,0.09116022099447514,4.013855407587708,0.47375690607734805,2.6563999344676668,0.31353591160220995,0.0819154164813818,0.009668508287292817,0.3276616659255272,0.03867403314917127,0.620216724787605,0.07320441988950276
minutes,2020,8,80465,91,378,183,14,28,33,1.1309264897781643,0.12517193947730398,4.69769464984776,0.5199449793672627,2.2742807431802645,0.2517193947730399,0.17398869073510223,0.01925722145804677,0.34797738147020446,0.03851444291609354,0.4101161995898838,0.0453920220082531
minutes,2021,8,77930,59,335,163,16,39,36,0.7570896958809188,0.09104938271604938,4.298729629154369,0.5169753086419753,2.091620685230335,0.2515432098765432,0.20531245989991018,0.024691358024691357,0.500449121006031,0.06018518518518518,0.4619530347747979,0.05555555555555555
minutes,2022,8,71301,54,328,111,20,14,32,0.7573526318003955,0.09660107334525939,4.600215985750551,0.5867620751341681,1.556780409811924,0.19856887298747763,0.2805009747408872,0.03577817531305903,0.19635068231862104,0.025044722719141325,0.44880155958541956,0.057245080500894455
minutes,2023,8,59933,61,226,109,3,16,48,1.0178032135885071,0.13174946004319654,3.7708774798525018,0.48812095032397407,1.8186975455925785,0.23542116630669546,0.05005589575025445,0.0064794816414686825,0.26696477733469043,0.03455723542116631,0.8008943320040712,0.10367170626349892
minutes,2024,8,57360,50,178,125,1,21,17,0.8716875871687587,0.12755102040816327,3.103207810320781,0.45408163265306123,2.179218967921897,0.31887755102040816,0.017433751743375175,0.002551020408163265,0.36610878661087864,0.05357142857142857,0.296373779637378,0.04336734693877551
minutes,2025,8,60631,38,209,122,4,22,30,0.6267420956276493,0.08941176470588236,3.4470815259520706,0.49176470588235294,2.012171991225611,0.28705882352941176,0.0659728521713315,0.009411764705882352,0.36285068694232325,0.05176470588235294,0.4947963912849862,0.07058823529411765
minutes,2026,3,19910,12,62,40,0,5,7,0.6027122049221497,0.09523809523809523,3.11401305876444,0.49206349206349204,2.0090406830738323,0.31746031746031744,0.0,0.0,0.25113008538422904,0.03968253968253968,0.3515821195379206,0.05555555555555555
press_conf,2014,4,30044,223,175,55,62,29,32,7.422447077619491,0.3871527777777778,5.824790307548929,0.3038194444444444,1.8306483823725204,0.0954861111111111,2.0636399946744772,0.1076388888888889,0.9652509652509652,0.050347222222222224,1.0651045133803754,0.05555555555555555
press_conf,2015,4,31256,240,195,61,68,42,24,7.678525723061172,0.38095238095238093,6.238802149987203,0.30952380952380953,1.9516252879447147,0.09682539682539683,2.1755822882006655,0.10793650793650794,1.343742001535705,0.06666666666666667,0.7678525723061173,0.0380952380952381
press_conf,2016,4,29702,136,181,77,50,48,28,4.57881624133055,0.26153846153846155,6.093865732947276,0.34807692307692306,2.5924180189886203,0.14807692307692308,1.6833883240185845,0.09615384615384616,1.6160527910578413,0.09230769230769231,0.9426974614504073,0.05384615384615385
press_conf,2017,4,32454,177,203,71,48,40,30,5.453873174339065,0.3110720562390158,6.255007086953842,0.35676625659050965,2.187711838294201,0.12478031634446397,1.4790164540580515,0.0843585237258348,1.2325137117150429,0.070298769771529,0.9243852837862822,0.05272407732864675
press_conf,2018,4,34389,178,181,67,80,53,30,5.176073744511326,0.30220713073005095,5.263310942452528,0.3073005093378608,1.9482974206868475,0.11375212224108659,2.3263252784320567,0.13582342954159593,1.5411904969612376,0.0899830220713073,0.8723719794120213,0.050933786078098474
press_conf,2019,8,64453,378,368,101,171,49,43,5.86473864676586,0.34054054054054056,5.709586830713853,0.33153153153153153,1.5670333421252696,0.09099099099099099,2.6530960544893176,0.15405405405405406,0.7602438986548338,0.044144144144144144,0.6671528090236296,0.03873873873873874
press_conf,2020,9,78550,661,408,136,315,82,70,8.41502227880331,0.3953349282296651,5.194143857415659,0.24401913875598086,1.7313812858052195,0.08133971291866028,4.0101845957988544,0.18839712918660287,1.043921069382559,0.04904306220095694,0.8911521323997453,0.041866028708133975
press_conf,2021,8,81217,712,501,135,250,78,68,8.7666375266262,0.40825688073394495,6.168659270842311,0.28727064220183485,1.662213575975473,0.07740825688073394,3.0781732888434687,0.143348623853211,0.9603900661191622,0.04472477064220184,0.8372631345654235,0.0389908256880734
press_conf,2022,8,70550,579,425,95,213,59,47,8.206945428773919,0.4083215796897038,6.024096385542169,0.2997179125528914,1.3465627214741318,0.06699576868829338,3.0191353649893693,0.15021156558533144,0.8362863217576187,0.04160789844851904,0.666194188518781,0.03314527503526093
press_conf,2023,8,71163,522,405,115,219,39,71,7.335272543316049,0.38074398249452956,5.6911597318831415,0.29540481400437635,1.616008318929781,0.08388037928519329,3.0774419290923656,0.15973741794310722,0.5480376038109692,0.028446389496717725,0.9977094838609952,0.051787016776075855
press_conf,2024,8,72132,437,430,134,209,54,35,6.05833749237509,0.3364126250962279,5.961293184716908,0.33102386451116245,1.8577053180280596,0.1031562740569669,2.8974657572228693,0.1608929946112394,0.7486275162202628,0.04157043879907621,0.4852215382909111,0.026943802925327175
press_conf,2025,8,74197,425,303,129,215,89,75,5.727994393304312,0.34385113268608414,4.083723061579309,0.24514563106796117,1.738614768791191,0.10436893203883495,2.8976912813186515,0.1739482200647249,1.1995094141272558,0.07200647249190939,1.0108225399948785,0.06067961165048544
press_conf,2026,3,27233,164,136,36,92,30,29,6.022105533727463,0.33675564681724846,4.993941174310579,0.2792607802874743,1.3219256049645651,0.07392197125256673,3.378254323798333,0.188911704312115,1.1016046708038043,0.061601642710472276,1.064884515110344,0.059548254620123205
speech,2014,15,45146,149,96,50,63,35,85,3.3004031364904973,0.3117154811715481,2.126434235591193,0.200836820083682,1.1075178310370797,0.10460251046025104,1.3954724671067205,0.13179916317991633,0.7752624817259558,0.07322175732217573,1.8827803127630356,0.17782426778242677
speech,2015,11,42361,152,112,46,83,44,88,3.588206132999693,0.2895238095238095,2.6439413611576685,0.21333333333333335,1.0859044876183281,0.08761904761904762,1.9593494015722008,0.1580952380952381,1.038691249026227,0.0838095238095238,2.077382498052454,0.1676190476190476
speech,2016,6,26877,116,85,64,40,16,41,4.315957882204115,0.32044198895027626,3.1625553447185326,0.23480662983425415,2.381218141905719,0.17679558011049723,1.4882613386910741,0.11049723756906077,0.5953045354764297,0.04419889502762431,1.525467872158351,0.1132596685082873
speech,2017,13,51998,145,112,73,90,44,64,2.7885687911073505,0.2746212121212121,2.1539289972691256,0.21212121212121213,1.4039001500057695,0.13825757575757575,1.730835801376976,0.17045454545454544,0.8461863917842994,0.08333333333333333,1.2308165698680718,0.12121212121212122
speech,2018,11,28371,101,41,31,56,24,29,3.5599732120827605,0.35815602836879434,1.4451376405484473,0.1453900709219858,1.0926650452927285,0.1099290780141844,1.9738465334320257,0.19858156028368795,0.8459342286137252,0.0851063829787234,1.0221705262415848,0.10283687943262411
