phase,will,would,could,can,should,may,n
ZLB/taper,73.6,0.0,2.2,1.1,14.6,8.4,178
Hiking I / normalization,92.5,0.5,0.0,0.0,5.6,1.4,213
Mid-cycle cuts,100.0,0.0,0.0,0.0,0.0,0.0,18
Pandemic ZLB,79.6,9.5,8.2,1.4,0.0,1.4,147
Hiking II,65.0,15.0,15.0,0.0,0.0,5.0,80
Hold at peak,69.4,12.9,12.9,0.0,0.0,4.8,62
Cuts / post-peak,65.9,17.1,17.1,0.0,0.0,0.0,82
