sample,genre,macro,modal,metric,n,r,p,rho,p_rho
2010_2026,minutes,cfnai_ma3_lag2,will,per1k,99,0.049,0.6277,0.027,0.7898
2010_2026,minutes,cfnai_ma3_lag2,would,per1k,99,-0.065,0.5248,0.112,0.2683
2010_2026,minutes,cfnai_ma3_lag2,could,per1k,99,0.034,0.7419,-0.086,0.397
2010_2026,minutes,cfnai_ma3_lag2,can,per1k,99,-0.125,0.218,0.267,0.0075
2010_2026,minutes,cfnai_ma3_lag2,should,per1k,99,-0.0,0.9986,-0.042,0.678
2010_2026,minutes,cfnai_ma3_lag2,may,per1k,99,0.019,0.8509,-0.013,0.8981
2010_2026,minutes,vix_pre28,will,per1k,99,-0.197,0.0501,-0.285,0.0043
2010_2026,minutes,vix_pre28,would,per1k,99,0.17,0.0924,0.104,0.3055
2010_2026,minutes,vix_pre28,could,per1k,99,0.152,0.1326,0.215,0.0328
2010_2026,minutes,vix_pre28,can,per1k,99,0.443,0.0,0.464,0.0
2010_2026,minutes,vix_pre28,should,per1k,99,-0.192,0.0564,-0.165,0.103
2010_2026,minutes,vix_pre28,may,per1k,99,-0.178,0.078,-0.245,0.0147
2010_2026,press_conf,cfnai_ma3_lag2,will,per1k,80,0.145,0.1992,0.154,0.1727
2010_2026,press_conf,cfnai_ma3_lag2,would,per1k,80,0.163,0.1497,0.163,0.148
2010_2026,press_conf,cfnai_ma3_lag2,could,per1k,80,-0.085,0.4538,0.073,0.5211
2010_2026,press_conf,cfnai_ma3_lag2,can,per1k,80,-0.199,0.0763,0.094,0.4068
2010_2026,press_conf,cfnai_ma3_lag2,should,per1k,80,0.145,0.1988,0.179,0.112
2010_2026,press_conf,cfnai_ma3_lag2,may,per1k,80,0.059,0.6022,0.028,0.8069
2010_2026,press_conf,vix_pre28,will,per1k,80,0.389,0.0004,0.354,0.0013
2010_2026,press_conf,vix_pre28,would,per1k,80,-0.176,0.1191,-0.144,0.2014
2010_2026,press_conf,vix_pre28,could,per1k,80,-0.241,0.0315,-0.276,0.0133
2010_2026,press_conf,vix_pre28,can,per1k,80,0.454,0.0,0.408,0.0002
2010_2026,press_conf,vix_pre28,should,per1k,80,-0.021,0.856,0.032,0.7791
2010_2026,press_conf,vix_pre28,may,per1k,80,-0.003,0.9804,-0.01,0.9322
2010_2026,speech,cfnai_ma3_lag2,will,per1k,124,-0.078,0.3892,-0.095,0.292
2010_2026,speech,cfnai_ma3_lag2,would,per1k,124,0.125,0.1668,-0.069,0.4443
2010_2026,speech,cfnai_ma3_lag2,could,per1k,124,0.127,0.1586,-0.037,0.6837
2010_2026,speech,cfnai_ma3_lag2,can,per1k,124,-0.341,0.0001,-0.043,0.635
2010_2026,speech,cfnai_ma3_lag2,should,per1k,124,0.06,0.5053,-0.012,0.895
2010_2026,speech,cfnai_ma3_lag2,may,per1k,124,0.049,0.5896,-0.053,0.5599
2010_2026,speech,vix_pre28,will,per1k,124,0.168,0.0625,0.083,0.3596
2010_2026,speech,vix_pre28,would,per1k,124,-0.113,0.2119,-0.201,0.0249
2010_2026,speech,vix_pre28,could,per1k,124,-0.133,0.1405,-0.116,0.1983
2010_2026,speech,vix_pre28,can,per1k,124,0.251,0.0049,0.133,0.1419
2010_2026,speech,vix_pre28,should,per1k,124,0.058,0.5198,-0.176,0.0505
2010_2026,speech,vix_pre28,may,per1k,124,-0.13,0.1493,-0.127,0.1582
