event,event_date,k_months,cfnai_ma3,vix_m
would/could sentence in,2020-09-16,-3,-2.42,31.119545454545456
would/could sentence in,2020-09-16,-2,4.58,26.840454545454545
would/could sentence in,2020-09-16,-1,3.41,22.88952380952381
would/could sentence in,2020-09-16,0,1.47,27.64761904761905
would/could sentence in,2020-09-16,1,0.93,29.438636363636363
would/could sentence in,2020-09-16,2,0.6,24.9955
would/could sentence in,2020-09-16,3,0.66,22.37409090909091
would/could sentence in,2020-09-16,4,0.61,24.91
would/could sentence in,2020-09-16,5,-0.1,23.140526315789476
would/could sentence in,2020-09-16,6,0.47,21.84304347826087
would/could sentence in,2020-09-16,7,0.23,17.416190476190476
would/could sentence in,2020-09-16,8,0.92,19.7605
would/could sentence in,2020-09-16,9,0.23,16.956818181818182
would/could sentence in,2020-09-16,10,0.44,17.603333333333335
would/could sentence in,2020-09-16,11,0.35,17.472727272727273
would/could sentence in,2020-09-16,12,0.19,19.824761904761903
may firming episode in,2023-03-22,-12,0.26,26.968695652173913
may firming episode in,2023-03-22,-11,0.28,24.3735
may firming episode in,2023-03-22,-10,0.01,29.313636363636363
may firming episode in,2023-03-22,-9,-0.22,28.23318181818182
may firming episode in,2023-03-22,-8,-0.15,24.995238095238093
may firming episode in,2023-03-22,-7,0.0,22.169565217391305
may firming episode in,2023-03-22,-6,0.08,27.34181818181818
may firming episode in,2023-03-22,-5,0.03,30.005714285714287
may firming episode in,2023-03-22,-4,-0.19,23.29909090909091
may firming episode in,2023-03-22,-3,-0.34,21.784285714285716
may firming episode in,2023-03-22,-2,-0.17,20.16904761904762
may firming episode in,2023-03-22,-1,-0.11,20.1205
may firming episode in,2023-03-22,0,-0.09,21.644347826086957
may firming episode in,2023-03-22,1,-0.27,17.817894736842106
may firming episode in,2023-03-22,2,-0.18,17.63608695652174
may firming episode in,2023-03-22,3,-0.19,14.003181818181815
may firming episode in,2023-03-22,4,-0.15,13.932380952380951
may firming episode in,2023-03-22,5,-0.15,15.85391304347826
may firming episode in,2023-03-22,6,-0.02,15.173333333333332
may firming episode in,2023-03-22,7,-0.24,18.887727272727272
may firming episode in,2023-03-22,8,-0.14,14.01909090909091
may firming episode in,2023-03-22,9,-0.16,12.7185
may firming episode in,2023-03-22,10,-0.32,13.388636363636364
may firming episode in,2023-03-22,11,-0.28,13.980476190476187
may firming episode in,2023-03-22,12,-0.28,13.7875
may firming episode out,2024-01-31,-12,-0.17,20.16904761904762
may firming episode out,2024-01-31,-11,-0.11,20.1205
may firming episode out,2024-01-31,-10,-0.09,21.644347826086957
may firming episode out,2024-01-31,-9,-0.27,17.817894736842106
may firming episode out,2024-01-31,-8,-0.18,17.63608695652174
may firming episode out,2024-01-31,-7,-0.19,14.003181818181815
may firming episode out,2024-01-31,-6,-0.15,13.932380952380951
may firming episode out,2024-01-31,-5,-0.15,15.85391304347826
may firming episode out,2024-01-31,-4,-0.02,15.173333333333332
may firming episode out,2024-01-31,-3,-0.24,18.887727272727272
may firming episode out,2024-01-31,-2,-0.14,14.01909090909091
may firming episode out,2024-01-31,-1,-0.16,12.7185
may firming episode out,2024-01-31,0,-0.32,13.388636363636364
may firming episode out,2024-01-31,1,-0.28,13.980476190476187
may firming episode out,2024-01-31,2,-0.28,13.7875
may firming episode out,2024-01-31,3,-0.08,16.137727272727275
may firming episode out,2024-01-31,4,-0.12,13.058695652173911
may firming episode out,2024-01-31,5,-0.15,12.667
may firming episode out,2024-01-31,6,-0.15,14.373913043478264
may firming episode out,2024-01-31,7,-0.23,19.312272727272727
may firming episode out,2024-01-31,8,-0.25,17.663333333333334
may firming episode out,2024-01-31,9,-0.31,19.960869565217394
may firming episode out,2024-01-31,10,-0.3,16.015238095238097
may firming episode out,2024-01-31,11,-0.09,15.866190476190477
may firming episode out,2024-01-31,12,-0.07,16.763636363636365
