genre,modal,pclass,total_n,macro,n,r,p,rho,p_rho,q_bh
minutes,will,copular_adj,73,cfnai_ma3_lag2,99,0.143,0.1569,0.312,0.0017,0.5057
minutes,will,copular_adj,73,vix_pre28,99,0.074,0.4696,0.121,0.2328,0.7888
minutes,will,existence,50,cfnai_ma3_lag2,99,0.094,0.3565,0.21,0.0374,0.6931
minutes,will,existence,50,vix_pre28,99,-0.025,0.8044,-0.129,0.2036,0.9203
minutes,will,mental,109,cfnai_ma3_lag2,99,-0.241,0.0164,-0.193,0.056,0.1572
minutes,will,mental,109,vix_pre28,99,-0.388,0.0001,-0.467,0.0,0.0056
minutes,will,occurrence,67,cfnai_ma3_lag2,99,0.006,0.9536,0.154,0.1276,0.9824
minutes,will,occurrence,67,vix_pre28,99,-0.253,0.0116,-0.338,0.0006,0.124
minutes,will,other,75,cfnai_ma3_lag2,99,0.374,0.0001,0.274,0.0061,0.0056
minutes,will,other,75,vix_pre28,99,-0.011,0.916,-0.061,0.5467,0.9775
minutes,will,policy_action,88,cfnai_ma3_lag2,99,0.029,0.7743,-0.023,0.8212,0.9044
minutes,will,policy_action,88,vix_pre28,99,-0.304,0.0022,-0.41,0.0,0.036
minutes,would,activity,380,cfnai_ma3_lag2,99,-0.243,0.0153,-0.094,0.3566,0.1519
minutes,would,activity,380,vix_pre28,99,0.426,0.0,0.372,0.0002,0.0
minutes,would,aspectual,314,cfnai_ma3_lag2,99,0.043,0.6761,-0.009,0.9294,0.8785
minutes,would,aspectual,314,vix_pre28,99,0.191,0.0581,0.146,0.1495,0.3365
minutes,would,causative,301,cfnai_ma3_lag2,99,-0.124,0.2202,0.039,0.6985,0.5898
minutes,would,causative,301,vix_pre28,99,-0.047,0.6424,-0.002,0.9853,0.8785
minutes,would,communication,82,cfnai_ma3_lag2,99,-0.015,0.8802,0.075,0.4616,0.9758
minutes,would,communication,82,vix_pre28,99,-0.106,0.2962,-0.206,0.0409,0.6383
minutes,would,copular_adj,701,cfnai_ma3_lag2,99,0.005,0.9577,0.154,0.1284,0.9824
minutes,would,copular_adj,701,vix_pre28,99,0.354,0.0003,0.378,0.0001,0.0104
minutes,would,copular_nom,64,cfnai_ma3_lag2,99,-0.051,0.619,-0.016,0.873,0.878
minutes,would,copular_nom,64,vix_pre28,99,-0.049,0.6279,-0.038,0.7119,0.8785
minutes,would,existence,193,cfnai_ma3_lag2,99,0.088,0.3838,0.33,0.0009,0.7258
minutes,would,existence,193,vix_pre28,99,0.062,0.5395,0.001,0.9901,0.8379
minutes,would,mental,169,cfnai_ma3_lag2,99,-0.148,0.1445,-0.27,0.0068,0.5057
minutes,would,mental,169,vix_pre28,99,-0.12,0.236,-0.252,0.0119,0.5905
minutes,would,occurrence,435,cfnai_ma3_lag2,99,0.117,0.2508,0.019,0.8518,0.5905
minutes,would,occurrence,435,vix_pre28,99,-0.169,0.0943,-0.206,0.0404,0.4096
minutes,would,other,437,cfnai_ma3_lag2,99,-0.06,0.5524,0.017,0.866,0.8484
minutes,would,other,437,vix_pre28,99,0.105,0.3026,0.107,0.2905,0.6422
minutes,would,policy_action,455,cfnai_ma3_lag2,99,0.042,0.681,-0.056,0.5797,0.8785
minutes,would,policy_action,455,vix_pre28,99,-0.267,0.0076,-0.398,0.0,0.0919
press_conf,can,activity,531,cfnai_ma3_lag2,80,-0.181,0.1087,0.244,0.029,0.4317
press_conf,can,activity,531,vix_pre28,80,0.484,0.0,0.396,0.0003,0.0
press_conf,can,aspectual,42,cfnai_ma3_lag2,80,-0.019,0.867,-0.022,0.8479,0.9694
press_conf,can,aspectual,42,vix_pre28,80,0.091,0.4233,0.033,0.7721,0.7409
press_conf,can,causative,62,cfnai_ma3_lag2,80,-0.093,0.4111,-0.025,0.8277,0.7382
press_conf,can,causative,62,vix_pre28,80,0.095,0.4005,0.008,0.9465,0.7326
press_conf,can,communication,259,cfnai_ma3_lag2,80,-0.009,0.9336,-0.121,0.2867,0.9824
press_conf,can,communication,259,vix_pre28,80,0.048,0.6698,0.023,0.8415,0.8785
press_conf,can,copular_adj,54,cfnai_ma3_lag2,80,0.129,0.2532,0.069,0.5412,0.5905
press_conf,can,copular_adj,54,vix_pre28,80,-0.047,0.6775,-0.07,0.5361,0.8785
press_conf,can,copular_nom,49,cfnai_ma3_lag2,80,-0.2,0.0756,-0.13,0.2502,0.3753
press_conf,can,copular_nom,49,vix_pre28,80,-0.103,0.3626,-0.152,0.1795,0.7
press_conf,can,existence,66,cfnai_ma3_lag2,80,-0.043,0.7052,0.157,0.1649,0.8861
press_conf,can,existence,66,vix_pre28,80,0.243,0.0296,0.198,0.0783,0.242
press_conf,can,mental,255,cfnai_ma3_lag2,80,-0.107,0.344,-0.079,0.4842,0.6782
press_conf,can,mental,255,vix_pre28,80,0.134,0.2362,0.13,0.2495,0.5905
press_conf,can,occurrence,69,cfnai_ma3_lag2,80,-0.088,0.4388,-0.051,0.6557,0.7535
press_conf,can,occurrence,69,vix_pre28,80,0.088,0.4391,0.079,0.4853,0.7535
press_conf,can,other,458,cfnai_ma3_lag2,80,-0.185,0.1001,-0.016,0.8909,0.419
press_conf,can,other,458,vix_pre28,80,0.365,0.0009,0.365,0.0009,0.0192
press_conf,can,policy_action,122,cfnai_ma3_lag2,80,-0.008,0.9443,0.009,0.9354,0.9824
press_conf,can,policy_action,122,vix_pre28,80,0.24,0.0322,0.146,0.1978,0.2558
press_conf,could,activity,213,cfnai_ma3_lag2,80,0.062,0.5851,0.112,0.3213,0.8606
press_conf,could,activity,213,vix_pre28,80,-0.147,0.1919,-0.134,0.2352,0.55
press_conf,could,causative,124,cfnai_ma3_lag2,80,0.125,0.271,-0.007,0.9483,0.6136
press_conf,could,causative,124,vix_pre28,80,-0.323,0.0035,-0.393,0.0003,0.0512
press_conf,could,communication,161,cfnai_ma3_lag2,80,0.048,0.6717,0.009,0.9362,0.8785
press_conf,could,communication,161,vix_pre28,80,-0.044,0.697,-0.063,0.5762,0.8861
press_conf,could,copular_adj,61,cfnai_ma3_lag2,80,-0.123,0.2775,-0.086,0.4463,0.6136
press_conf,could,copular_adj,61,vix_pre28,80,0.072,0.5277,0.051,0.6514,0.8327
press_conf,could,copular_nom,83,cfnai_ma3_lag2,80,-0.256,0.0217,-0.137,0.2262,0.1946
press_conf,could,copular_nom,83,vix_pre28,80,0.082,0.471,0.07,0.5352,0.7888
press_conf,could,existence,62,cfnai_ma3_lag2,80,-0.223,0.0466,-0.234,0.0371,0.3015
press_conf,could,existence,62,vix_pre28,80,-0.237,0.0341,-0.296,0.0077,0.2562
press_conf,could,mental,64,cfnai_ma3_lag2,80,-0.07,0.5365,0.071,0.5337,0.8379
press_conf,could,mental,64,vix_pre28,80,0.016,0.8877,0.018,0.8767,0.9775
press_conf,could,occurrence,71,cfnai_ma3_lag2,80,-0.005,0.9646,0.096,0.3964,0.9843
press_conf,could,occurrence,71,vix_pre28,80,-0.209,0.0624,-0.22,0.0496,0.3469
press_conf,could,other,257,cfnai_ma3_lag2,80,0.028,0.8082,-0.03,0.7928,0.9208
press_conf,could,other,257,vix_pre28,80,-0.128,0.2574,-0.188,0.095,0.5914
press_conf,could,policy_action,47,cfnai_ma3_lag2,80,0.04,0.726,0.163,0.1488,0.893
press_conf,could,policy_action,47,vix_pre28,80,-0.042,0.714,-0.053,0.6384,0.8861
press_conf,may,activity,78,cfnai_ma3_lag2,80,0.194,0.084,0.171,0.1298,0.3956
press_conf,may,activity,78,vix_pre28,80,0.232,0.0388,0.216,0.0544,0.2839
press_conf,may,copular_adj,72,cfnai_ma3_lag2,80,-0.059,0.602,-0.283,0.011,0.8657
press_conf,may,copular_adj,72,vix_pre28,80,-0.003,0.9768,0.004,0.9739,0.9865
press_conf,may,copular_bare,40,cfnai_ma3_lag2,80,0.139,0.2192,-0.068,0.5479,0.5898
press_conf,may,copular_bare,40,vix_pre28,80,-0.155,0.1695,-0.114,0.3145,0.514
press_conf,may,copular_nom,77,cfnai_ma3_lag2,80,-0.038,0.7388,-0.092,0.418,0.893
press_conf,may,copular_nom,77,vix_pre28,80,0.015,0.8939,-0.03,0.7935,0.9775
press_conf,may,occurrence,46,cfnai_ma3_lag2,80,0.03,0.7931,-0.0,0.9985,0.9149
press_conf,may,occurrence,46,vix_pre28,80,-0.049,0.669,-0.007,0.9499,0.8785
press_conf,may,other,98,cfnai_ma3_lag2,80,-0.049,0.6642,-0.012,0.9186,0.8785
press_conf,may,other,98,vix_pre28,80,0.202,0.0728,0.099,0.381,0.368
press_conf,should,activity,142,cfnai_ma3_lag2,80,0.036,0.7517,-0.072,0.5247,0.8969
press_conf,should,activity,142,vix_pre28,80,-0.064,0.5751,-0.066,0.5633,0.8554
press_conf,should,copular_adj,45,cfnai_ma3_lag2,80,0.047,0.6775,-0.072,0.5264,0.8785
press_conf,should,copular_adj,45,vix_pre28,80,-0.123,0.2766,-0.055,0.6289,0.6136
press_conf,should,copular_nom,55,cfnai_ma3_lag2,80,0.101,0.3749,0.12,0.2903,0.7139
