genre,feature,target,peak_k,n,peak_r,peak_p,absr
minutes,will_per1k,VIX_M,-9,99,-0.216,0.0318,0.216
minutes,would+continue,CFNAI_MA3,3,99,0.215,0.0327,0.215
press_conf,neg_would_per1k,CFNAI_MA3,9,76,-0.214,0.0632,0.214
press_conf,would_per1k,CFNAI_MA3,-9,80,0.212,0.0595,0.212
minutes,will+assess,CFNAI_MA3,-1,99,-0.211,0.0361,0.211
minutes,six_per1k,VIX_M,5,97,0.207,0.0421,0.207
minutes,would+take,CFNAI_MA3,-1,99,-0.206,0.0407,0.206
minutes,could+impede,CFNAI_MA3,-1,99,0.206,0.0404,0.206
statement,may_per1k,VIX_M,2,101,-0.2,0.0445,0.2
minutes,will+continue,CFNAI_MA3,2,99,-0.198,0.0491,0.198
press_conf,should_per1k,CFNAI_MA3,-1,80,0.194,0.0845,0.194
minutes,should_per1k,CFNAI_MA3,-8,99,0.183,0.0691,0.183
press_conf,would+say,CFNAI_MA3,-5,80,-0.182,0.1063,0.182
minutes,can_per1k,CFNAI_MA3,2,99,0.182,0.0709,0.182
minutes,may_per1k,CFNAI_MA3,-6,99,0.167,0.0984,0.167
press_conf,will+see,CFNAI_MA3,5,78,0.166,0.1455,0.166
press_conf,should_per1k,VIX_M,-9,80,-0.161,0.1532,0.161
statement,would_per1k,CFNAI_MA3,-2,101,0.155,0.1212,0.155
minutes,neg_would_per1k,VIX_M,-5,99,0.145,0.1526,0.145
statement,could_per1k,CFNAI_MA3,-2,101,0.144,0.1507,0.144
minutes,will_per1k,CFNAI_MA3,-5,99,-0.14,0.1668,0.14
minutes,would+expand,CFNAI_MA3,5,97,0.13,0.2029,0.13
statement,will+continue,CFNAI_MA3,-7,101,-0.115,0.252,0.115
statement,will+expand,CFNAI_MA3,2,101,0.114,0.256,0.114
minutes,will+take,CFNAI_MA3,-1,99,-0.101,0.3195,0.101
statement,will+warrant,CFNAI_MA3,2,101,0.096,0.3393,0.096
statement,will+evolve,CFNAI_MA3,2,101,0.093,0.3571,0.093
minutes,neg_will_per1k,VIX_M,-1,99,-0.079,0.4347,0.079
statement,should_per1k,CFNAI_MA3,2,101,0.075,0.4547,0.075
statement,may_per1k,CFNAI_MA3,8,97,-0.067,0.5151,0.067
minutes,neg_will_per1k,CFNAI_MA3,-4,99,-0.032,0.7562,0.032
