feature,genre,sample,macro,zero_share,total_n,n,r,p,rho,p_rho,q_bh
will+be+appropriate,press_conf,excl2020,vix_pre28,0.41,105,71,0.064,0.5987,0.014,0.91,0.8089
would+be+appropriate,press_conf,full,cfnai_ma3_lag2,0.64,44,80,0.022,0.8494,-0.072,0.5258,0.9597
would+be+appropriate,press_conf,full,vix_pre28,0.64,44,80,-0.088,0.4353,-0.138,0.2235,0.7454
would+be+appropriate,press_conf,excl2020,cfnai_ma3_lag2,0.64,44,71,-0.087,0.4694,-0.054,0.653,0.7467
would+be+appropriate,press_conf,excl2020,vix_pre28,0.64,44,71,-0.054,0.6574,-0.115,0.3383,0.8242
may+be+appropriate,press_conf,full,cfnai_ma3_lag2,0.89,22,80,-0.005,0.9665,-0.122,0.2799,0.9781
may+be+appropriate,press_conf,full,vix_pre28,0.89,22,80,-0.11,0.3326,-0.09,0.4249,0.6546
may+be+appropriate,press_conf,excl2020,cfnai_ma3_lag2,0.89,22,71,-0.144,0.23,-0.15,0.2129,0.5462
may+be+appropriate,press_conf,excl2020,vix_pre28,0.89,22,71,-0.072,0.5527,-0.044,0.7154,0.7865
ANY+be+appropriate,press_conf,full,cfnai_ma3_lag2,0.23,178,80,0.128,0.2586,0.01,0.9312,0.557
ANY+be+appropriate,press_conf,full,vix_pre28,0.23,178,80,-0.148,0.1908,-0.153,0.1757,0.4714
ANY+be+appropriate,press_conf,excl2020,cfnai_ma3_lag2,0.23,178,71,-0.102,0.3971,-0.051,0.6733,0.7192
ANY+be+appropriate,press_conf,excl2020,vix_pre28,0.23,178,71,-0.003,0.9819,-0.072,0.5516,0.9819
would+be+prepared,press_conf,full,cfnai_ma3_lag2,0.86,14,80,0.096,0.3953,0.103,0.3624,0.7192
would+be+prepared,press_conf,full,vix_pre28,0.86,14,80,-0.109,0.3351,-0.07,0.537,0.6546
would+be+prepared,press_conf,excl2020,cfnai_ma3_lag2,0.86,14,71,0.313,0.008,0.117,0.3314,0.056
would+be+prepared,press_conf,excl2020,vix_pre28,0.86,14,71,-0.06,0.62,-0.012,0.9214,0.8089
