genre,feature,target,n,b_feat,p_feat,adjR2_base,adjR2_with,d_adjR2,q_bh
press_conf,neg_would_per1k,dVIX(+28d),80,-2.3303,0.3261,-0.008,-0.003,0.005,0.678
press_conf,can_per1k,CFNAI_MA3(+3m),80,0.1037,0.314,0.047,0.041,-0.005,0.678
press_conf,would_per1k,CFNAI_MA3(+3m),80,0.0248,0.372,0.047,0.035,-0.012,0.7307
minutes,can_per1k,CFNAI_MA3(+3m),99,0.4827,0.4112,0.036,0.029,-0.007,0.7393
press_conf,will+have,dVIX(+28d),80,-3.7363,0.407,-0.008,-0.004,0.004,0.7393
statement,should_per1k,CFNAI_MA3(+3m),101,0.0662,0.411,-0.01,-0.016,-0.006,0.7393
statement,will+evolve,dVIX(+28d),101,-0.3362,0.3947,-0.002,-0.01,-0.009,0.7393
press_conf,will+say,CFNAI_MA3(+3m),80,-0.2432,0.4234,0.047,0.036,-0.011,0.7393
press_conf,will_per1k,CFNAI_MA3(+3m),80,-0.0845,0.42,0.047,0.057,0.01,0.7393
press_conf,neg_would_per1k,CFNAI_MA3(+3m),80,0.2921,0.3971,0.047,0.043,-0.003,0.7393
minutes,neg_would_per1k,CFNAI_MA3(+3m),99,-0.5499,0.4336,0.036,0.029,-0.006,0.7452
press_conf,will+do,CFNAI_MA3(+3m),80,-0.2614,0.4549,0.047,0.037,-0.01,0.7698
minutes,would+be+appropriate,CFNAI_MA3(+3m),99,0.187,0.5387,0.036,0.027,-0.009,0.7747
press_conf,would_per1k,dVIX(+28d),80,-0.2611,0.525,-0.008,-0.018,-0.01,0.7747
press_conf,will+see,CFNAI_MA3(+3m),80,-0.1735,0.5268,0.047,0.036,-0.011,0.7747
statement,could_per1k,CFNAI_MA3(+3m),101,0.0617,0.5423,-0.01,-0.014,-0.004,0.7747
minutes,six_per1k,CFNAI_MA3(+3m),99,0.0382,0.4921,0.036,0.028,-0.008,0.7747
press_conf,can+do,CFNAI_MA3(+3m),80,0.284,0.505,0.047,0.038,-0.009,0.7747
minutes,may_per1k,CFNAI_MA3(+3m),99,-0.1651,0.4658,0.036,0.031,-0.004,0.7747
minutes,could+impede,dVIX(+28d),99,1.5143,0.5417,0.033,0.025,-0.008,0.7747
minutes,neg_can_per1k,CFNAI_MA3(+3m),99,-3.8197,0.5397,0.036,0.029,-0.007,0.7747
statement,will+continue,dVIX(+28d),101,-0.2426,0.4743,-0.002,-0.002,0.0,0.7747
statement,would_per1k,CFNAI_MA3(+3m),101,0.0626,0.5042,-0.01,-0.013,-0.003,0.7747
statement,will+warrant,dVIX(+28d),101,-0.2659,0.5068,-0.002,-0.011,-0.009,0.7747
minutes,would_per1k,dVIX(+28d),99,0.2808,0.5538,0.033,0.026,-0.007,0.781
press_conf,will+continue,CFNAI_MA3(+3m),80,-0.258,0.5676,0.047,0.038,-0.009,0.7868
statement,will+continue,CFNAI_MA3(+3m),101,0.019,0.5722,-0.01,-0.018,-0.008,0.7868
press_conf,would+say,dVIX(+28d),80,0.6615,0.6245,-0.008,-0.018,-0.01,0.8137
minutes,would+take,dVIX(+28d),99,1.9296,0.6362,0.033,0.025,-0.008,0.8137
statement,may_per1k,CFNAI_MA3(+3m),101,-0.0358,0.6183,-0.01,-0.019,-0.009,0.8137
press_conf,will+need,dVIX(+28d),80,3.3352,0.6274,-0.008,-0.019,-0.01,0.8137
press_conf,neg_will_per1k,CFNAI_MA3(+3m),80,-0.2737,0.6332,0.047,0.038,-0.008,0.8137
minutes,will_per1k,dVIX(+28d),99,0.2783,0.6293,0.033,0.024,-0.009,0.8137
minutes,neg_can_per1k,dVIX(+28d),99,7.5512,0.6523,0.033,0.024,-0.009,0.8219
minutes,would+be+important,CFNAI_MA3(+3m),99,0.2705,0.6575,0.036,0.026,-0.01,0.8219
press_conf,neg_can_per1k,dVIX(+28d),80,-1.0953,0.667,-0.008,-0.019,-0.011,0.8244
minutes,will+assess,CFNAI_MA3(+3m),99,0.6066,0.6768,0.036,0.027,-0.009,0.8272
minutes,can_per1k,dVIX(+28d),99,-2.0689,0.685,0.033,0.026,-0.007,0.828
press_conf,will+go,CFNAI_MA3(+3m),80,0.1407,0.7497,0.047,0.035,-0.011,0.8792
press_conf,will+see,dVIX(+28d),80,0.8112,0.7455,-0.008,-0.021,-0.012,0.8792
minutes,would+be+appropriate,dVIX(+28d),99,0.6015,0.7513,0.033,0.024,-0.009,0.8792
press_conf,would+say,CFNAI_MA3(+3m),80,0.029,0.7808,0.047,0.034,-0.012,0.9041
minutes,could+impede,CFNAI_MA3(+3m),99,-0.1746,0.7992,0.036,0.026,-0.01,0.9158
press_conf,would+like,dVIX(+28d),80,0.4744,0.8108,-0.008,-0.021,-0.013,0.9195
minutes,will+take,CFNAI_MA3(+3m),99,0.1825,0.8387,0.036,0.026,-0.01,0.927
