modal,verb,obs,exp,ratio,odds_ratio,p,signed_log10p,G2,genre
will,visit,3,0.92,3.25,inf,0.029032113056526847,1.54,7.08,all
will,wrap,3,0.92,3.25,inf,0.029032113056526847,1.54,7.08,all
will,offer,8,4.0,2.0,3.608,0.02958653001405495,1.53,5.23,all
will,summarize,5,2.15,2.32,5.637,0.03196891504612353,1.5,4.89,all
will,be+news,4,1.54,2.6,9.018,0.03364162161679084,1.47,5.17,all
will,be+pressure,4,1.54,2.6,9.018,0.03364162161679084,1.47,5.17,all
will,revisit,4,1.54,2.6,9.018,0.03364162161679084,1.47,5.17,all
will,roll,4,1.54,2.6,9.018,0.03364162161679084,1.47,5.17,all
will,stay,14,8.91,1.57,2.105,0.04549938677046199,1.34,3.89,all
will,learn,13,7.99,1.63,2.256,0.05258692903579866,1.28,4.18,all
will,be+glad,7,3.69,1.9,3.157,0.05598604652057333,1.25,3.89,all
will,close,7,3.69,1.9,3.157,0.05598604652057333,1.25,3.89,all
will,show,21,14.45,1.45,1.822,0.05593553623498901,1.25,4.03,all
will,evaluate,9,5.23,1.72,2.537,0.06324536788073233,1.2,3.61,all
will,be+datum,5,2.46,2.03,3.757,0.06386514470581396,1.19,3.42,all
will,notice,5,2.46,2.03,3.757,0.06386514470581396,1.19,3.42,all
will,be+lot,4,1.84,2.17,4.509,0.07645280915111106,1.12,3.27,all
will,be+slow,4,1.84,2.17,4.509,0.07645280915111106,1.12,3.27,all
will,adapt,6,3.07,1.95,3.382,0.07834343233250333,1.11,3.64,all
will,do,177,158.6,1.12,1.181,0.08248975083135458,1.08,3.09,all
will,add,31,23.98,1.29,1.488,0.08645007079015865,1.06,2.85,all
will,be+year,8,4.61,1.74,2.577,0.08810969127363552,1.05,3.29,all
will,behave,3,1.23,2.44,6.762,0.08936473131070102,1.05,3.31,all
will,clear,3,1.23,2.44,6.762,0.08936473131070102,1.05,3.31,all
will,repeat,8,4.61,1.74,2.577,0.08810969127363552,1.05,3.29,all
will,struggle,3,1.23,2.44,6.762,0.08936473131070102,1.05,3.31,all
will,remain,87,75.0,1.16,1.252,0.09471773899960054,1.02,2.73,all
will,be+big,6,3.38,1.77,2.705,0.10440117818787757,0.98,2.67,all
will,be+large,6,3.38,1.77,2.705,0.10440117818787757,0.98,2.67,all
will,be+lived,6,3.38,1.77,2.705,0.10440117818787757,0.98,2.67,all
will,be+place,6,3.38,1.77,2.705,0.10440117818787757,0.98,2.67,all
will,make,95,82.68,1.15,1.233,0.11063545271758833,0.96,2.61,all
will,matter,11,7.07,1.56,2.067,0.11024277844166486,0.96,2.93,all
will,need,97,84.84,1.14,1.224,0.11543251272848071,0.94,2.49,all
will,hear,9,5.53,1.63,2.255,0.1210837981364078,0.92,2.89,all
will,be+sufficient,7,4.0,1.75,2.63,0.12734698151249305,0.9,2.98,all
will,use,60,51.02,1.18,1.278,0.12956963228181817,0.89,2.23,all
will,return,26,20.29,1.28,1.466,0.14147441565350088,0.85,2.23,all
will,present,5,2.77,1.81,2.818,0.14471769433526951,0.84,2.37,all
will,restore,5,2.77,1.81,2.818,0.14471769433526951,0.84,2.37,all
will,write,5,2.77,1.81,2.818,0.14471769433526951,0.84,2.37,all
will,purchase,7,4.3,1.63,2.255,0.14638475668598727,0.83,2.25,all
will,be+decision,3,1.54,1.95,3.381,0.17294939585156624,0.76,1.82,all
will,be+permanent,3,1.54,1.95,3.381,0.17294939585156624,0.76,1.82,all
will,be+unchanged,3,1.54,1.95,3.381,0.17294939585156624,0.76,1.82,all
will,we're,3,1.54,1.95,3.381,0.17294939585156624,0.76,1.82,all
will,pay,13,9.53,1.36,1.629,0.17745645787998177,0.75,1.73,all
will,receive,5,3.07,1.63,2.254,0.18854612301915236,0.72,1.61,all
will,report,5,3.07,1.63,2.254,0.18854612301915236,0.72,1.61,all
will,determine,14,10.45,1.34,1.578,0.1953527050070195,0.71,1.65,all
will,be+gradual,8,5.53,1.45,1.804,0.2096614612214683,0.68,1.49,all
will,be+restrictive,8,5.53,1.45,1.804,0.2096614612214683,0.68,1.49,all
will,miss,6,3.69,1.63,2.254,0.20688193197859828,0.68,1.93,all
will,be+question,4,2.15,1.86,3.006,0.2122063682722859,0.67,2.08,all
will,be+uncertainty,4,2.15,1.86,3.006,0.2122063682722859,0.67,2.08,all
will,drop,4,2.15,1.86,3.006,0.2122063682722859,0.67,2.08,all
will,lay,4,2.15,1.86,3.006,0.2122063682722859,0.67,2.08,all
will,lift,4,2.15,1.86,3.006,0.2122063682722859,0.67,2.08,all
will,reopen,4,2.15,1.86,3.006,0.2122063682722859,0.67,2.08,all
will,start,35,29.51,1.19,1.294,0.22423033548540347,0.65,1.44,all
will,believe,6,4.0,1.5,1.932,0.2380064440136655,0.62,1.35,all
will,fade,6,4.0,1.5,1.932,0.2380064440136655,0.62,1.35,all
will,produce,6,4.0,1.5,1.932,0.2380064440136655,0.62,1.35,all
will,be+need,4,2.46,1.63,2.254,0.26060306950091605,0.58,1.29,all
will,be+process,4,2.46,1.63,2.254,0.26060306950091605,0.58,1.29,all
will,initiate,4,2.46,1.63,2.254,0.26060306950091605,0.58,1.29,all
will,mention,7,4.61,1.52,1.973,0.2601640952192643,0.58,1.67,all
will,release,7,4.61,1.52,1.973,0.2601640952192643,0.58,1.67,all
will,feel,14,10.76,1.3,1.503,0.27088074118127164,0.57,1.35,all
will,be,115,105.74,1.09,1.134,0.2894917048547664,0.54,1.17,all
will,pick,11,8.3,1.33,1.55,0.29673607890144577,0.53,1.21,all
will,be+conference,5,3.38,1.48,1.878,0.33023082880305593,0.48,1.05,all
will,last,5,3.38,1.48,1.878,0.33023082880305593,0.48,1.05,all
will,be+cut,3,1.84,1.63,2.254,0.3798228588417108,0.42,0.96,all
will,be+greater,3,1.84,1.63,2.254,0.3798228588417108,0.42,0.96,all
will,be+scope,3,1.84,1.63,2.254,0.3798228588417108,0.42,0.96,all
will,be+some,3,1.84,1.63,2.254,0.3798228588417108,0.42,0.96,all
will,be+surprised,3,1.84,1.63,2.254,0.3798228588417108,0.42,0.96,all
will,be+uncertain,3,1.84,1.63,2.254,0.3798228588417108,0.42,0.96,all
will,spread,3,1.84,1.63,2.254,0.3798228588417108,0.42,0.96,all
will,trade,3,1.84,1.63,2.254,0.3798228588417108,0.42,0.96,all
will,be+time,10,7.99,1.25,1.409,0.3992616131956597,0.4,0.7,all
will,reinveste,6,4.61,1.3,1.503,0.4150344665383374,0.38,0.58,all
will,be+focus,3,2.15,1.39,1.69,0.44614866881224147,0.35,0.46,all
will,be+open,3,2.15,1.39,1.69,0.44614866881224147,0.35,0.46,all
will,be+there,3,2.15,1.39,1.69,0.44614866881224147,0.35,0.46,all
will,guide,7,5.53,1.27,1.434,0.4508199593022747,0.35,0.54,all
will,revise,4,2.77,1.45,1.803,0.47050785078959567,0.33,0.75,all
will,work,22,19.36,1.14,1.21,0.4948223529595082,0.31,0.51,all
will,be+high,4,3.07,1.3,1.503,0.5082639723899001,0.29,0.38,all
will,be+period,4,3.07,1.3,1.503,0.5082639723899001,0.29,0.38,all
will,deliver,4,3.07,1.3,1.503,0.5082639723899001,0.29,0.38,all
will,lower,9,7.38,1.22,1.352,0.5083242052573271,0.29,0.5,all
will,set,9,7.38,1.22,1.352,0.5083242052573271,0.29,0.5,all
will,translate,4,3.07,1.3,1.503,0.5082639723899001,0.29,0.38,all
will,be+enough,5,3.69,1.36,1.61,0.5314994027076039,0.27,0.64,all
will,remember,5,3.69,1.36,1.61,0.5314994027076039,0.27,0.64,all
will,seek,5,3.69,1.36,1.61,0.5314994027076039,0.27,0.64,all
will,wind,5,3.69,1.36,1.61,0.5314994027076039,0.27,0.64,all
will,answer,5,4.0,1.25,1.409,0.5547402480548975,0.26,0.35,all
will,differ,5,4.0,1.25,1.409,0.5547402480548975,0.26,0.35,all
will,incorporate,5,4.0,1.25,1.409,0.5547402480548975,0.26,0.35,all
will,react,10,8.61,1.16,1.252,0.5449807777407754,0.26,0.32,all
will,sustain,12,10.45,1.15,1.229,0.5788678258543929,0.24,0.32,all
will,be+different,6,4.92,1.22,1.352,0.5909471981985149,0.23,0.33,all
will,update,6,4.92,1.22,1.352,0.5909471981985149,0.23,0.33,all
will,spend,7,5.84,1.2,1.315,0.6201252271199844,0.21,0.32,all
will,tell,42,39.65,1.06,1.088,0.6338422393000904,0.2,0.2,all
will,pass,8,6.76,1.18,1.288,0.6442773072040897,0.19,0.32,all
will,be+good,8,7.07,1.13,1.202,0.6561715231901475,0.18,0.17,all
will,bounce,3,2.46,1.22,1.352,0.7078940893482656,0.15,0.17,all
will,disappear,3,2.46,1.22,1.352,0.7078940893482656,0.15,0.17,all
will,dissipate,3,2.46,1.22,1.352,0.7078940893482656,0.15,0.17,all
will,be+rate,4,3.38,1.18,1.288,0.7461592728125568,0.13,0.16,all
will,be+significant,4,3.38,1.18,1.288,0.7461592728125568,0.13,0.16,all
will,enter,4,3.38,1.18,1.288,0.7461592728125568,0.13,0.16,all
will,prevail,4,3.69,1.08,1.127,0.765582732584054,0.12,0.04,all
will,abate,5,4.61,1.08,1.127,0.785515406616227,0.1,0.05,all
will,apply,5,4.61,1.08,1.127,0.785515406616227,0.1,0.05,all
will,argue,5,4.61,1.08,1.127,0.785515406616227,0.1,0.05,all
will,be+increase,6,5.53,1.08,1.127,0.8014641490618162,0.1,0.06,all
will,decide,6,5.23,1.15,1.229,0.7929781156998071,0.1,0.16,all
will,factor,5,4.61,1.08,1.127,0.785515406616227,0.1,0.05,all
will,involve,5,4.61,1.08,1.127,0.785515406616227,0.1,0.05,all
will,offset,5,4.61,1.08,1.127,0.785515406616227,0.1,0.05,all
will,proceed,6,5.23,1.15,1.229,0.7929781156998071,0.1,0.16,all
will,base,7,6.45,1.08,1.127,0.8145756257785314,0.09,0.07,all
will,drive,8,7.38,1.08,1.127,0.8255959076429227,0.08,0.07,all
will,include,16,15.37,1.04,1.061,0.8783146677790263,0.06,0.04,all
will,run,15,14.45,1.04,1.056,0.8747510431726571,0.06,0.03,all
will,ask,20,19.36,1.03,1.048,0.8914295978080222,0.05,0.03,all
will,address,16,15.98,1.0,1.002,1.0,-0.0,0.0,all
will,balance,3,3.38,0.89,0.845,1.0,0.0,0.06,all
will,be+accommodative,3,3.07,0.98,0.966,1.0,0.0,0.0,all
will,be+more,3,3.07,0.98,0.966,1.0,0.0,0.0,all
will,be+persistent,8,8.61,0.93,0.901,1.0,0.0,0.06,all
will,be+possible,3,3.07,0.98,0.966,1.0,0.0,0.0,all
will,be+range,3,2.77,1.08,1.127,1.0,-0.0,0.03,all
will,be+that,3,3.69,0.81,0.751,1.0,0.0,0.19,all
will,be+tool,6,6.45,0.93,0.901,1.0,0.0,0.05,all
will,be+transitory,4,4.0,1.0,1.002,1.0,-0.0,0.0,all
will,be+willing,4,4.61,0.87,0.819,1.0,0.0,0.12,all
will,bring,16,16.6,0.96,0.949,1.0,0.0,0.03,all
will,build,3,3.38,0.89,0.845,1.0,0.0,0.06,all
will,complete,3,2.77,1.08,1.127,1.0,-0.0,0.03,all
will,contain,3,3.07,0.98,0.966,1.0,0.0,0.0,all
will,enable,3,3.69,0.81,0.751,1.0,0.0,0.19,all
will,fall,12,11.99,1.0,1.002,1.0,-0.0,0.0,all
will,hurt,3,3.07,0.98,0.966,1.0,0.0,0.0,all
will,meet,8,8.3,0.96,0.949,1.0,0.0,0.02,all
will,moderate,3,2.77,1.08,1.127,1.0,-0.0,0.03,all
will,reach,12,12.6,0.95,0.932,1.0,0.0,0.04,all
will,recall,3,2.77,1.08,1.127,1.0,-0.0,0.03,all
will,share,5,4.92,1.02,1.024,1.0,-0.0,0.0,all
will,stand,4,4.3,0.93,0.901,1.0,0.0,0.03,all
will,stop,7,7.38,0.95,0.928,1.0,0.0,0.03,all
will,wane,3,3.07,0.98,0.966,1.0,0.0,0.0,all
will,warrant,63,63.93,0.99,0.979,0.9399031645502636,-0.03,0.02,all
will,face,10,10.76,0.93,0.901,0.8564540330316379,-0.07,0.08,all
will,persist,9,9.84,0.92,0.882,0.849488109620133,-0.07,0.1,all
will,become,34,35.35,0.96,0.946,0.839874942761756,-0.08,0.08,all
will,be+level,6,6.76,0.89,0.845,0.820863683126415,-0.09,0.13,all
will,conduct,6,6.76,0.89,0.845,0.820863683126415,-0.09,0.13,all
will,judge,6,7.07,0.85,0.795,0.8216402540445994,-0.09,0.24,all
will,be+larger,3,4.0,0.75,0.676,0.7658044928260452,-0.12,0.38,all
will,reverse,3,4.0,0.75,0.676,0.7658044928260452,-0.12,0.38,all
will,succeed,3,4.0,0.75,0.676,0.7658044928260452,-0.12,0.38,all
will,be+thing,9,10.45,0.86,0.811,0.7111258287748787,-0.15,0.3,all
will,end,9,10.45,0.86,0.811,0.7111258287748787,-0.15,0.3,all
will,be+higher,7,8.61,0.81,0.751,0.6822673253126923,-0.17,0.45,all
will,tend,12,14.14,0.85,0.795,0.6314723346495174,-0.2,0.48,all
will,understand,5,6.45,0.77,0.704,0.6382404222273945,-0.2,0.5,all
will,be+patient,11,12.91,0.85,0.799,0.6170890218399305,-0.21,0.42,all
will,hope,4,5.53,0.72,0.644,0.6105595065273025,-0.21,0.65,all
will,weigh,20,22.44,0.89,0.85,0.6120653752380617,-0.21,0.39,all
will,announce,3,4.61,0.65,0.563,0.5760990056687947,-0.24,0.88,all
will,force,3,4.61,0.65,0.563,0.5760990056687947,-0.24,0.88,all
will,tighten,3,4.3,0.7,0.614,0.5713467487101717,-0.24,0.61,all
will,be+something,8,9.84,0.81,0.751,0.5684663508846854,-0.25,0.51,all
will,signal,6,7.68,0.78,0.711,0.5242837407694503,-0.28,0.56,all
will,be+factor,5,7.07,0.71,0.626,0.49787410408939214,-0.3,0.93,all
will,be+effect,5,6.76,0.74,0.663,0.4952360915764339,-0.31,0.7,all
will,be+effective,4,5.84,0.68,0.601,0.4608635809982946,-0.34,0.9,all
will,decline,13,15.98,0.81,0.751,0.4523594507014175,-0.34,0.84,all
will,serve,8,10.45,0.77,0.693,0.4580132655511181,-0.34,0.87,all
will,require,29,33.2,0.87,0.827,0.40505809362133605,-0.39,0.79,all
will,play,13,16.6,0.78,0.714,0.3753871697062132,-0.43,1.18,all
will,stabilize,7,9.84,0.71,0.631,0.3402011633167284,-0.47,1.26,all
will,improve,10,13.22,0.76,0.682,0.32482866165233587,-0.49,1.19,all
will,be+necessary,6,8.91,0.67,0.588,0.31483513417473996,-0.5,1.48,all
will,describe,9,12.29,0.73,0.654,0.3058272574592163,-0.51,1.35,all
will,emphasize,3,5.23,0.57,0.483,0.30173791508495185,-0.52,1.52,all
will,wait,5,7.68,0.65,0.563,0.2853687627525296,-0.54,1.47,all
will,communicate,7,10.14,0.69,0.606,0.263569723494002,-0.58,1.51,all
will,find,18,22.75,0.79,0.724,0.25760974673364945,-0.59,1.5,all
will,respond,15,19.67,0.76,0.689,0.22449541434515347,-0.65,1.69,all
will,change,28,34.12,0.82,0.759,0.2178043969434132,-0.66,1.65,all
will,limit,5,8.3,0.6,0.512,0.21211061705856354,-0.67,2.08,all
will,rise,31,38.11,0.81,0.75,0.17320191384059913,-0.76,2.0,all
will,be+case,7,11.07,0.63,0.543,0.15288767925520627,-0.82,2.35,all
will,boost,7,11.07,0.63,0.543,0.15288767925520627,-0.82,2.35,all
will,implement,3,6.15,0.49,0.397,0.15067942277086813,-0.82,2.66,all
will,lose,3,6.15,0.49,0.397,0.15067942277086813,-0.82,2.66,all
will,note,7,11.07,0.63,0.543,0.15288767925520627,-0.82,2.35,all
will,promote,6,10.14,0.59,0.5,0.1334094974584073,-0.87,2.7,all
will,be+part,4,7.68,0.52,0.429,0.13099491651823328,-0.88,2.88,all
will,ease,3,7.38,0.41,0.322,0.07364755683582755,-1.13,4.42,all
will,emerge,3,7.38,0.41,0.322,0.07364755683582755,-1.13,4.42,all
will,encourage,3,7.38,0.41,0.322,0.07364755683582755,-1.13,4.42,all
will,avoid,3,7.07,0.42,0.338,0.07214110955201544,-1.14,3.96,all
will,push,6,11.07,0.54,0.45,0.07177709907324689,-1.14,3.76,all
will,cut,3,8.3,0.36,0.281,0.034337936053974866,-1.46,5.88,all
will,reduce,22,32.27,0.68,0.596,0.033435893312862966,-1.48,5.09,all
will,restrain,3,8.61,0.35,0.27,0.022599139837789026,-1.65,6.38,all
will,mean,8,15.68,0.51,0.419,0.02165428367723387,-1.66,6.16,all
will,speak,4,10.14,0.39,0.31,0.021977361421475196,-1.66,6.37,all
will,explain,14,23.36,0.6,0.508,0.018053339654848493,-1.74,5.98,all
will,bear,3,9.22,0.33,0.25,0.015634797554366912,-1.81,7.41,all
will,consider,21,32.58,0.64,0.555,0.014880372631565497,-1.83,6.48,all
will,raise,14,23.98,0.58,0.492,0.013619591923497426,-1.87,6.64,all
will,allow,15,25.51,0.59,0.496,0.011942531368704124,-1.92,6.93,all
will,slow,14,24.59,0.57,0.477,0.010318938201517223,-1.99,7.34,all
will,reflect,13,23.36,0.56,0.464,0.00870366546189891,-2.06,7.42,all
will,prove,11,21.82,0.5,0.412,0.004345131464490853,-2.36,8.82,all
will,support,25,40.27,0.62,0.53,0.0031424730789495164,-2.5,9.18,all
will,occur,8,18.14,0.44,0.353,0.002882448149442632,-2.54,9.52,all
will,call,5,14.14,0.35,0.274,0.0021649561345624384,-2.66,10.3,all
will,cause,9,20.29,0.44,0.355,0.0019020327267964905,-2.72,10.55,all
will,provide,35,53.79,0.65,0.561,0.0017087166233220649,-2.77,10.34,all
will,put,20,35.35,0.57,0.473,0.0015649364217533014,-2.81,10.74,all
will,maintain,6,17.21,0.35,0.27,0.0006926047722501279,-3.16,12.77,all
will,be+important,10,23.05,0.43,0.346,0.0006323481105139251,-3.2,12.47,all
will,be+lower,4,14.14,0.28,0.214,0.0006091647156100152,-3.22,13.13,all
will,be+consistent,11,25.2,0.44,0.348,0.00042761386162041935,-3.37,13.5,all
will,be+helpful,3,13.83,0.22,0.161,0.00014180453628838885,-3.85,15.91,all
will,give,29,51.33,0.56,0.472,9.835522618479537e-05,-4.01,15.7,all
will,think,23,47.34,0.49,0.394,9.33857863362242e-06,-5.03,20.76,all
will,talk,10,33.2,0.3,0.229,1.5629629040792533e-07,-6.81,29.05,all
will,want,17,45.18,0.38,0.293,7.09120328475858e-08,-7.15,30.45,all
will,hold,21,51.64,0.41,0.32,4.7798945913615126e-08,-7.32,31.11,all
will,increase,29,64.55,0.45,0.359,1.7337660346387712e-08,-7.76,32.99,all
will,help,72,125.41,0.57,0.478,1.4823943456281263e-09,-8.83,36.98,all
will,follow,11,39.96,0.28,0.207,1.3354033995585259e-09,-8.87,38.15,all
will,point,4,27.36,0.15,0.106,1.0061311582867891e-09,-9.0,39.34,all
will,result,9,39.34,0.23,0.169,1.148695183399564e-10,-9.94,43.68,all
will,affect,22,64.86,0.34,0.26,3.204800849550349e-12,-11.49,49.99,all
will,lead,12,50.41,0.24,0.177,3.705160409833893e-13,-12.43,54.39,all
will,expect,13,66.7,0.19,0.142,2.939543018806319e-19,-18.53,82.68,all
will,be+prepared,5,49.79,0.1,0.071,2.769031976531531e-19,-18.56,82.88,all
will,say,137,290.78,0.47,0.37,4.4019043994772564e-32,-31.36,139.58,all
would,say,694,314.4,2.21,5.953,3.2749724474602566e-146,145.48,663.65,all
would,like,235,78.43,3.0,486.048,6.128804196302946e-112,111.21,510.18,all
would,be+prepared,157,53.84,2.92,64.297,3.4328219016864197e-68,67.46,307.28,all
would,expect,164,72.12,2.27,6.323,1.5271783020934796e-37,36.82,164.44,all
would,want,121,48.85,2.48,9.475,1.3041727719799253e-34,33.88,151.37,all
would,hold,116,55.83,2.08,4.532,3.287800149510727e-21,20.48,90.36,all
would,be+consistent,67,27.25,2.46,9.039,1.9997035459853285e-19,18.7,81.99,all
would,be+important,58,24.93,2.33,6.896,5.8234242180026345e-15,14.23,61.44,all
would,be+appropriate,303,211.7,1.43,1.854,4.0778075353512014e-14,13.39,57.43,all
would,point,64,29.58,2.16,5.176,1.0211235022140693e-13,12.99,55.72,all
would,love,23,7.64,3.01,inf,9.716824023774366e-12,11.01,50.72,all
would,prefer,23,7.64,3.01,inf,9.716824023774366e-12,11.01,50.72,all
would,need,144,91.73,1.57,2.213,7.745449375499141e-11,10.11,42.32,all
would,suggest,31,11.96,2.59,12.499,7.741226534753447e-11,10.11,43.39,all
would,remain,130,81.09,1.6,2.312,1.1439626494852806e-10,9.94,41.76,all
would,characterize,31,12.63,2.45,8.927,1.1970914646192348e-09,8.92,37.71,all
would,be+prudent,17,5.65,3.01,inf,7.280437106257419e-09,8.14,37.48,all
would,concern,19,6.98,2.72,19.127,7.899741913314408e-08,7.1,30.29,all
would,agree,27,11.63,2.32,6.799,1.2788147501102597e-07,6.89,28.36,all
would,call,32,15.29,2.09,4.606,7.050927212602634e-07,6.15,25.33,all
would,tend,32,15.29,2.09,4.606,7.050927212602634e-07,6.15,25.33,all
would,be+desirable,12,3.99,3.01,inf,1.8059536966244135e-06,5.74,26.45,all
would,depend,140,100.04,1.4,1.76,1.8312448774502857e-06,5.74,23.01,all
would,imply,17,6.65,2.56,11.406,2.6910394971002842e-06,5.57,22.99,all
would,allow,47,27.58,1.7,2.632,1.802949786643152e-05,4.74,19.1,all
would,be+premature,11,3.99,2.76,22.127,4.540111385466829e-05,4.34,18.17,all
would,be+feasible,9,2.99,3.01,inf,4.9318456289550446e-05,4.31,19.84,all
would,consider,55,35.23,1.56,2.174,7.453939248125031e-05,4.13,15.66,all
would,be+necessary,20,9.64,2.08,4.473,9.705404535434458e-05,4.01,15.43,all
would,rise,62,41.21,1.5,2.017,0.00011658559739190696,3.93,14.87,all
would,be+comfortable,8,2.66,3.01,inf,0.00014849301495020083,3.83,17.63,all
would,constitute,8,2.66,3.01,inf,0.00014849301495020083,3.83,17.63,all
would,expand,86,61.15,1.41,1.771,0.00014924679623975562,3.83,14.47,all
would,manifest,8,2.66,3.01,inf,0.00014849301495020083,3.83,17.63,all
would,welcome,11,4.32,2.55,11.063,0.00020555572264945466,3.69,14.7,all
would,be+case,23,11.96,1.92,3.561,0.00024420716902575436,3.61,14.11,all
would,be+expansionary,7,2.33,3.01,inf,0.0004470612729339665,3.35,15.43,all
would,be+great,7,2.33,3.01,inf,0.0004470612729339665,3.35,15.43,all
would,diminish,19,9.64,1.97,3.824,0.0004987926290301643,3.3,12.59,all
would,be+useful,20,10.63,1.88,3.354,0.000990263506179253,3.0,11.44,all
would,enact,6,1.99,3.01,inf,0.0013458372853950163,2.87,13.22,all
would,would,6,1.99,3.01,inf,0.0013458372853950163,2.87,13.22,all
would,announce,11,4.99,2.21,5.531,0.0017527278934851129,2.76,10.08,all
would,be+willing,11,4.99,2.21,5.531,0.0017527278934851129,2.76,10.08,all
would,be+helpful,25,14.96,1.67,2.516,0.002293157774115071,2.64,9.43,all
would,stabilize,19,10.63,1.79,2.941,0.002461738732148734,2.61,9.15,all
would,be+flat,5,1.66,3.01,inf,0.0040511893993083236,2.39,11.02,all
would,be+inappropriate,5,1.66,3.01,inf,0.0040511893993083236,2.39,11.02,all
would,be+nice,5,1.66,3.01,inf,0.0040511893993083236,2.39,11.02,all
would,be+welcome,5,1.66,3.01,inf,0.0040511893993083236,2.39,11.02,all
would,guess,5,1.66,3.01,inf,0.0040511893993083236,2.39,11.02,all
would,outpace,5,1.66,3.01,inf,0.0040511893993083236,2.39,11.02,all
would,mean,27,16.95,1.59,2.264,0.0042441702756487575,2.37,8.37,all
would,hope,12,5.98,2.01,4.022,0.004492394301380986,2.35,8.38,all
would,require,50,35.89,1.39,1.736,0.005446594425146972,2.26,7.93,all
would,be+objective,6,2.33,2.58,12.062,0.006738493360161312,2.17,8.29,all
would,be+reluctant,6,2.33,2.58,12.062,0.006738493360161312,2.17,8.29,all
would,be+unlikely,6,2.33,2.58,12.062,0.006738493360161312,2.17,8.29,all
would,cease,7,2.99,2.34,7.036,0.008120062659867556,2.09,7.51,all
would,be+likely,8,3.66,2.19,5.361,0.00863449544842338,2.06,7.16,all
would,exceed,8,3.66,2.19,5.361,0.00863449544842338,2.06,7.16,all
would,align,4,1.33,3.01,inf,0.012193742823456798,1.91,8.81,all
would,be+reasonable,4,1.33,3.01,inf,0.012193742823456798,1.91,8.81,all
would,urge,4,1.33,3.01,inf,0.012193742823456798,1.91,8.81,all
would,seem,9,4.32,2.08,4.524,0.01384764192424267,1.86,7.02,all
would,regard,5,1.99,2.51,10.05,0.017577949968874858,1.76,6.42,all
would,weigh,34,24.26,1.4,1.755,0.017939158236106756,1.75,5.58,all
would,be+better,6,2.66,2.26,6.03,0.01934285620418427,1.71,5.84,all
would,be+careful,6,2.66,2.26,6.03,0.01934285620418427,1.71,5.84,all
would,be+close,6,2.66,2.26,6.03,0.01934285620418427,1.71,5.84,all
would,be+positive,7,3.32,2.11,4.691,0.01930541645354822,1.71,5.63,all
would,bolster,6,2.66,2.26,6.03,0.01934285620418427,1.71,5.84,all
would,prepare,9,4.65,1.93,3.619,0.02054307127460794,1.69,5.62,all
would,think,65,51.18,1.27,1.471,0.02034077640301231,1.69,5.42,all
would,be+good,13,7.64,1.7,2.614,0.0250239587180268,1.6,5.23,all
would,prevail,8,3.99,2.01,4.021,0.02621842331810161,1.58,5.58,all
would,be+beginning,3,1.0,3.01,inf,0.03669915057626501,1.44,6.61,all
would,be+flexible,3,1.0,3.01,inf,0.03669915057626501,1.44,6.61,all
would,be+ideal,3,1.0,3.01,inf,0.03669915057626501,1.44,6.61,all
would,be+market,3,1.0,3.01,inf,0.03669915057626501,1.44,6.61,all
would,be+okay,3,1.0,3.01,inf,0.03669915057626501,1.44,6.61,all
would,be+powell,3,1.0,3.01,inf,0.03669915057626501,1.44,6.61,all
would,be+problematic,3,1.0,3.01,inf,0.03669915057626501,1.44,6.61,all
would,be+similar,3,1.0,3.01,inf,0.03669915057626501,1.44,6.61,all
would,be+statistic,3,1.0,3.01,inf,0.03669915057626501,1.44,6.61,all
would,be+valuable,3,1.0,3.01,inf,0.03669915057626501,1.44,6.61,all
would,caution,3,1.0,3.01,inf,0.03669915057626501,1.44,6.61,all
would,compel,3,1.0,3.01,inf,0.03669915057626501,1.44,6.61,all
would,endorse,3,1.0,3.01,inf,0.03669915057626501,1.44,6.61,all
would,illustrate,3,1.0,3.01,inf,0.03669915057626501,1.44,6.61,all
would,be+concern,5,2.33,2.15,5.025,0.0446765914906587,1.35,4.26,all
would,be+inclined,4,1.66,2.41,8.039,0.04476395652005068,1.35,4.62,all
would,be+inconsistent,4,1.66,2.41,8.039,0.04476395652005068,1.35,4.62,all
would,be+line,4,1.66,2.41,8.039,0.04476395652005068,1.35,4.62,all
would,be+surprising,4,1.66,2.41,8.039,0.04476395652005068,1.35,4.62,all
would,be+thing,17,11.3,1.5,2.011,0.04486165279134137,1.35,4.06,all
would,prescribe,4,1.66,2.41,8.039,0.04476395652005068,1.35,4.62,all
would,rebound,5,2.33,2.15,5.025,0.0446765914906587,1.35,4.26,all
would,return,30,21.93,1.37,1.677,0.04863690155898806,1.31,4.24,all
would,convey,9,4.99,1.81,3.016,0.04993824967704896,1.3,4.49,all
would,reinveste,9,4.99,1.81,3.016,0.04993824967704896,1.3,4.49,all
would,be+way,6,2.99,2.01,4.02,0.06813111290570631,1.17,4.19,all
would,add,33,25.92,1.27,1.475,0.09265510184881451,1.03,2.79,all
would,be+accommodative,6,3.32,1.81,3.015,0.09309762647313267,1.03,2.99,all
would,be+possible,6,3.32,1.81,3.015,0.09309762647313267,1.03,2.99,all
would,be+reason,6,3.32,1.81,3.015,0.09309762647313267,1.03,2.99,all
would,be+development,4,1.99,2.01,4.019,0.09913596962240233,1.0,2.79,all
would,offset,8,4.99,1.6,2.297,0.10655302501072861,0.97,2.56,all
