variable,outcome_vs_will,coef,rrr,p
const,would,0.028,1.028,0.8997995560602621
const,could,-3.379,0.034,2.1950487997110334e-12
const,can,-2.647,0.071,0.00031207756840702545
const,should,-3.91,0.02,1.1799190250671596e-07
const,may,-3.397,0.033,2.7543226752156116e-06
period_late,would,-0.061,0.941,0.5810914125296212
period_late,could,-0.086,0.918,0.5073302913919727
period_late,can,-0.139,0.87,0.23992782989881245
period_late,should,-0.936,0.392,9.75098475644579e-07
period_late,may,-0.549,0.577,8.626298834273554e-05
subj_type_econ,would,-0.873,0.418,0.00022507651109272546
subj_type_econ,could,2.314,10.112,1.846747812953651e-06
subj_type_econ,can,1.875,6.521,0.011494974828189309
subj_type_econ,should,3.014,20.361,4.341044783834731e-05
subj_type_econ,may,2.762,15.832,0.00014903109369001938
subj_type_fed,would,-0.801,0.449,0.11773861281051436
subj_type_fed,could,1.288,3.624,0.1450141583556611
subj_type_fed,can,3.083,21.825,0.00016451686141816902
subj_type_fed,should,2.894,18.058,0.001619224004316292
subj_type_fed,may,1.065,2.901,0.395315279787821
subj_type_it_there_rel,would,-0.54,0.582,0.022855164880299053
subj_type_it_there_rel,could,2.754,15.703,1.0478612946998473e-08
subj_type_it_there_rel,can,2.011,7.474,0.006925312991788547
subj_type_it_there_rel,should,2.18,8.849,0.0040559930543270254
subj_type_it_there_rel,may,3.019,20.472,3.535868531200782e-05
subj_type_none,would,-0.615,0.541,0.2949517535577224
subj_type_none,could,2.664,14.352,0.0003756292214827595
subj_type_none,can,3.916,50.214,2.9279545599309428e-06
subj_type_none,should,3.081,21.789,0.0020924287775475866
subj_type_none,may,2.561,12.953,0.009839625556666355
subj_type_other,would,-0.891,0.41,0.00011793597841064063
subj_type_other,could,2.151,8.597,8.776642778590327e-06
subj_type_other,can,1.909,6.746,0.00974627276458835
subj_type_other,should,2.226,9.263,0.002811705449305561
subj_type_other,may,2.892,18.023,6.780372640891929e-05
subj_type_person,would,-1.005,0.366,0.0011829027582814357
subj_type_person,could,2.413,11.171,4.783013777094882e-06
subj_type_person,can,2.373,10.726,0.0017473305153809958
subj_type_person,should,2.817,16.733,0.00032233278892428857
subj_type_person,may,2.753,15.682,0.00027727016946227926
subj_type_risks,would,3.789,44.191,0.6238011945321029
subj_type_risks,could,-1.049,0.35,0.9863814733249575
subj_type_risks,can,7.306,1488.474,0.344064435089217
subj_type_risks,should,7.967,2885.466,0.3040691587476233
subj_type_risks,may,7.38,1603.809,0.3412039095646916
subj_type_we_I,would,-1.557,0.211,1.8299600212114372e-10
subj_type_we_I,could,0.572,1.772,0.2674391578615276
subj_type_we_I,can,1.378,3.965,0.06321685551181047
subj_type_we_I,should,1.975,7.204,0.008702935085573127
subj_type_we_I,may,0.303,1.354,0.6937328542414156
layer_statement,would,-2.444,0.087,1.4505853240128715e-30
layer_statement,could,-1.121,0.326,7.559539899409254e-10
layer_statement,can,-3.702,0.025,7.587912744142445e-13
layer_statement,should,-0.8,0.449,0.0001997081786394359
layer_statement,may,-1.643,0.193,3.6035961613182943e-14
cond,would,1.295,3.65,7.884021325746504e-28
cond,could,1.358,3.89,3.90403161502874e-24
cond,can,0.683,1.979,1.1354060154644253e-06
cond,should,0.209,1.233,0.3074353808160273
cond,may,0.432,1.54,0.005834417940299423
reported,would,-0.148,0.862,0.29727563158491177
reported,could,-0.69,0.502,0.0001221667978224428
reported,can,-0.989,0.372,3.544295193109024e-07
reported,should,-0.19,0.827,0.3124484372722638
reported,may,-0.933,0.393,1.0740904522452178e-06
