layer,item,kind,freq_in,tokens_in,freq_out,tokens_out,pmw_in,pmw_out,LL,p,log_ratio,pct_diff,sign,q
statement,will,modal,607,41906,1206,297686,14484.8,4051.2,546.07,0.0,1.839,257.5,+,0.0
statement,would,modal,49,41906,1292,297686,1169.3,4340.1,124.87,0.0,-1.878,-73.1,-,0.0
statement,could,modal,50,41906,438,297686,1193.1,1471.3,2.08,0.1489,-0.29,-18.9,-,0.1786
statement,can,modal,4,41906,517,297686,95.5,1736.7,106.0,0.0,-4.017,-94.5,-,0.0
statement,should,modal,33,41906,295,297686,787.5,991.0,1.67,0.1966,-0.312,-20.5,-,0.1966
statement,may,modal,27,41906,413,297686,644.3,1387.4,18.76,0.0,-1.082,-53.6,-,0.0
min_committee,will,modal,37,62833,1776,276759,588.9,6417.1,490.35,0.0,-3.427,-90.8,-,0.0
min_committee,would,modal,719,62833,622,276759,11443.0,2247.4,828.81,0.0,2.348,409.2,+,0.0
min_committee,could,modal,83,62833,405,276759,1321.0,1463.4,0.74,0.3902,-0.141,-9.7,-,0.3902
min_committee,can,modal,3,62833,518,276759,47.7,1871.7,185.16,0.0,-5.072,-97.4,-,0.0
min_committee,should,modal,85,62833,243,276759,1352.8,878.0,10.93,0.0009,0.629,54.1,+,0.0011
min_committee,may,modal,31,62833,409,276759,493.4,1477.8,47.74,0.0,-1.561,-66.6,-,0.0
speech_chair,will,modal,1169,234853,644,104739,4977.6,6148.6,18.13,0.0,-0.305,-19.0,-,0.0
speech_chair,would,modal,573,234853,768,104739,2439.8,7332.5,398.82,0.0,-1.587,-66.7,-,0.0
speech_chair,could,modal,355,234853,133,104739,1511.6,1269.8,3.01,0.0825,0.248,19.0,+,0.0825
speech_chair,can,modal,514,234853,7,104739,2188.6,66.8,321.34,0.0,4.935,3174.7,+,0.0
speech_chair,should,modal,210,234853,118,104739,894.2,1126.6,3.94,0.0471,-0.336,-20.6,-,0.0566
speech_chair,may,modal,382,234853,58,104739,1626.5,553.8,75.15,0.0,1.544,193.7,+,0.0
