variable,outcome_vs_will,coef,rrr,p
const,would,2.45,11.591,2.1552326593203988e-26
const,could,0.04,1.041,0.8843846247351964
const,can,-4.39,0.012,1.961624969904506e-06
const,should,0.898,2.456,0.0010871917138947137
const,may,-2.067,0.127,9.1678790863082e-05
period_late,would,-0.066,0.936,0.4054596762302286
period_late,could,0.055,1.056,0.523293898304066
period_late,can,-0.05,0.952,0.6595704922690788
period_late,should,-0.49,0.613,1.5953163429023703e-05
period_late,may,-0.246,0.782,0.017604804544054182
subj_type_econ,would,0.448,1.566,0.00765167998789546
subj_type_econ,could,1.055,2.871,1.4196270688243763e-07
subj_type_econ,can,2.3,9.97,0.0012349690407680418
subj_type_econ,should,-0.136,0.873,0.5039556049248874
subj_type_econ,may,2.579,13.18,5.0025378554893356e-08
subj_type_fed,would,-0.367,0.693,0.34388311297894836
subj_type_fed,could,-0.009,0.991,0.9846415538180135
subj_type_fed,can,3.036,20.832,9.327129862633661e-05
subj_type_fed,should,0.032,1.032,0.9425195008611799
subj_type_fed,may,-0.101,0.904,0.930522967769258
subj_type_it_there_rel,would,0.597,1.817,0.0006219992583286366
subj_type_it_there_rel,could,1.411,4.1,3.9945206142905994e-12
subj_type_it_there_rel,can,2.398,11.005,0.0007883099416422398
subj_type_it_there_rel,should,-0.863,0.422,0.0004277589687153345
subj_type_it_there_rel,may,2.492,12.09,1.7954442847570077e-07
subj_type_none,would,0.43,1.538,0.3562678017940213
subj_type_none,could,0.591,1.806,0.25905331995069936
subj_type_none,can,4.27,71.535,9.728275382249377e-08
subj_type_none,should,0.924,2.52,0.06677574922169921
subj_type_none,may,2.235,9.351,0.0022675615538870057
subj_type_other,would,0.227,1.255,0.17009947140921378
subj_type_other,could,0.947,2.578,1.63120133251039e-06
subj_type_other,can,2.253,9.514,0.0014834104813667335
subj_type_other,should,-0.208,0.812,0.30058868291040874
subj_type_other,may,2.499,12.172,1.1764904548477242e-07
subj_type_person,would,0.714,2.042,0.0010210599976316996
subj_type_person,could,0.662,1.939,0.012495707827738312
subj_type_person,can,2.674,14.501,0.00023913161407779717
subj_type_person,should,-0.12,0.887,0.670165459034318
subj_type_person,may,2.128,8.395,3.457060158202098e-05
subj_type_risks,would,2.837,17.072,0.4561205955066824
subj_type_risks,could,4.236,69.132,0.26585833161870387
subj_type_risks,can,6.476,649.055,0.09649846198522184
subj_type_risks,should,4.018,55.617,0.2918575076030677
subj_type_risks,may,6.517,676.477,0.08874458965463894
subj_type_we_I,would,-0.388,0.678,0.04957405243421899
subj_type_we_I,could,-0.735,0.48,0.008310367036516692
subj_type_we_I,can,1.748,5.743,0.014230934051703373
subj_type_we_I,should,-0.755,0.47,0.0030808428364554395
subj_type_we_I,may,-0.067,0.935,0.9003044675942953
layer_min_participants,would,0.991,2.693,8.445403436696873e-05
layer_min_participants,could,2.456,11.66,4.131132027096031e-19
layer_min_participants,can,1.07,2.914,0.13797568270274838
layer_min_participants,should,0.827,2.287,0.003581618670212453
layer_min_participants,may,1.694,5.442,9.429407251543898e-08
layer_min_special,would,-0.962,0.382,2.9583322464694572e-05
layer_min_special,could,0.795,2.214,0.0019408086047805156
layer_min_special,can,1.478,4.383,0.02411867771510591
layer_min_special,should,-0.614,0.541,0.028593572139500426
layer_min_special,may,-0.54,0.583,0.11606692935367449
layer_min_staff,would,0.103,1.109,0.7401659463893823
layer_min_staff,could,0.979,2.663,0.003662794737253893
layer_min_staff,can,0.107,1.113,0.9118202424314594
layer_min_staff,should,-1.915,0.147,0.0005571206453537255
layer_min_staff,may,1.008,2.74,0.007882744669945022
layer_min_staff_desk,would,-0.722,0.486,0.0037399452966334697
layer_min_staff_desk,could,0.361,1.435,0.19683318122669624
layer_min_staff_desk,can,0.374,1.454,0.6260857907838302
layer_min_staff_desk,should,-0.949,0.387,0.003740469053045552
layer_min_staff_desk,may,0.176,1.193,0.6039353091510951
layer_speech_chair,would,-3.506,0.03,7.85687808519354e-76
layer_speech_chair,could,-2.193,0.112,5.231937914347709e-23
layer_speech_chair,can,1.329,3.775,0.028979927903926297
layer_speech_chair,should,-2.238,0.107,4.0744813029191264e-22
layer_speech_chair,may,-1.091,0.336,3.6569561586440025e-05
layer_statement,would,-5.354,0.005,1.8194329310746037e-114
layer_statement,could,-3.551,0.029,1.395627201233291e-41
layer_statement,can,-2.384,0.092,0.0024703806560634903
layer_statement,should,-3.556,0.029,2.9166670782188114e-36
layer_statement,may,-2.858,0.057,1.0955582786578032e-18
cond,would,0.833,2.301,3.8647640261740816e-17
cond,could,1.376,3.959,3.37677689555768e-41
cond,can,0.627,1.871,2.083194300291531e-06
cond,should,0.306,1.358,0.03574491312123193
cond,may,0.588,1.8,2.9568254043584555e-06
reported,would,0.043,1.044,0.6513467355429269
reported,could,-0.708,0.493,1.0137145731790952e-11
reported,can,-0.652,0.521,7.376575124780502e-05
reported,should,0.378,1.459,0.0031541279179637003
reported,may,-0.607,0.545,1.1291303891442374e-06
