level,key,unit,macro,rho_T1,p_T1,rho_T2,p_T2,rho_T3,rho_H1,rho_H2,n_tokens_T1,zero_share_T1,category,unit_level
genre,speech,should,vix,-0.193,0.0321,-0.191,0.0387,-0.059,-0.039,-0.155,210,0.452,confirmed,modal
genre,speech,would,vix,-0.209,0.0199,-0.227,0.0135,-0.216,-0.248,0.021,573,0.202,era_composition,modal
layer,speech_chair,should,vix,-0.193,0.0321,-0.191,0.0387,-0.059,-0.039,-0.155,210,0.452,confirmed,modal
layer,speech_chair,would,vix,-0.209,0.0199,-0.227,0.0135,-0.216,-0.248,0.021,573,0.202,era_composition,modal
genre,speech,could/other,vix,-0.227,0.0112,-0.228,0.013,-0.139,-0.209,-0.077,81,0.597,confirmed,U3
genre,speech,will/activity,cfnai,-0.218,0.0149,-0.193,0.036,-0.178,-0.196,-0.158,179,0.306,confirmed,U3
genre,speech,will/occurrence,vix,-0.235,0.0085,-0.219,0.0174,-0.138,-0.159,-0.212,119,0.548,confirmed,U3
layer,speech_chair,could/other,vix,-0.227,0.0112,-0.228,0.013,-0.139,-0.209,-0.077,81,0.597,confirmed,U3
layer,speech_chair,will/activity,cfnai,-0.218,0.0149,-0.193,0.036,-0.178,-0.196,-0.158,179,0.306,confirmed,U3
layer,speech_chair,will/occurrence,vix,-0.235,0.0085,-0.219,0.0174,-0.138,-0.159,-0.212,119,0.548,confirmed,U3
