layer,series,spec,var,label,coef,se,p,stars,n,r2,adj_r2
speech_chair,ALL,(1),const,const,12.73113,0.3774,0.0,***,124,0.00782,-0.00031
speech_chair,ALL,(1),cfnai_ma3_lag2,CFNAI-MA3,-0.51824,0.21637,0.01661,**,124,0.00782,-0.00031
speech_chair,ALL,(2),const,const,11.53929,1.2833,0.0,***,124,0.00881,0.00069
speech_chair,ALL,(2),vix_pre28,VIX,0.07127,0.07052,0.31224,,124,0.00881,0.00069
speech_chair,ALL,(3),const,const,11.65462,1.27642,0.0,***,124,0.01431,-0.00198
speech_chair,ALL,(3),cfnai_ma3_lag2,CFNAI-MA3,-0.44038,0.21525,0.04077,**,124,0.01431,-0.00198
speech_chair,ALL,(3),vix_pre28,VIX,0.06198,0.06994,0.37551,,124,0.01431,-0.00198
speech_chair,ALL,(4),const,const,11.53988,1.28589,0.0,***,124,0.01819,-0.01481
speech_chair,ALL,(4),cfnai_ma3_lag2,CFNAI-MA3,-0.35962,0.21491,0.09427,*,124,0.01819,-0.01481
speech_chair,ALL,(4),vix_pre28,VIX,0.07293,0.07508,0.33138,,124,0.01819,-0.01481
speech_chair,ALL,(4),unrate_gap_lag1,Unemp. gap,0.0215,0.22103,0.92252,,124,0.01819,-0.01481
speech_chair,ALL,(4),corepce_gap_lag2,Core PCE gap,-0.25957,0.38354,0.49855,,124,0.01819,-0.01481
speech_chair,ALL,(5),const,const,11.64701,1.17748,0.0,***,124,0.01761,-0.00695
speech_chair,ALL,(5),cfnai_ma3_lag2,CFNAI-MA3,-0.36585,0.23016,0.11193,,124,0.01761,-0.00695
speech_chair,ALL,(5),vix_pre28,VIX,0.07561,0.06707,0.25963,,124,0.01761,-0.00695
speech_chair,ALL,(5),post_fw,post-2020-09,-0.60101,0.77143,0.43593,,124,0.01761,-0.00695
speech_chair,ALL,(6) excl-2020,const,const,13.35202,1.59697,0.0,***,118,0.01021,-0.00701
speech_chair,ALL,(6) excl-2020,cfnai_ma3_lag2,CFNAI-MA3,-2.03991,1.68442,0.22588,,118,0.01021,-0.00701
speech_chair,ALL,(6) excl-2020,vix_pre28,VIX,-0.04604,0.09314,0.62108,,118,0.01021,-0.00701
speech_chair,ALL,(7) Δ,const,const,0.02306,0.27463,0.93309,,123,0.01012,-0.00638
speech_chair,ALL,(7) Δ,d_cfnai,ΔCFNAI,-0.65622,0.32751,0.04511,**,123,0.01012,-0.00638
speech_chair,ALL,(7) Δ,d_vix,ΔVIX,0.06756,0.07309,0.35526,,123,0.01012,-0.00638
speech_chair,ALL,(8) Δ excl-2020,const,const,0.0295,0.28463,0.91745,,117,0.00336,-0.01413
speech_chair,ALL,(8) Δ excl-2020,d_cfnai,ΔCFNAI,0.60502,0.85984,0.48166,,117,0.00336,-0.01413
speech_chair,ALL,(8) Δ excl-2020,d_vix,ΔVIX,-0.13181,0.21898,0.54721,,117,0.00336,-0.01413
speech_chair,can,(1),const,const,2.28093,0.16239,0.0,***,124,0.11715,0.10991
speech_chair,can,(1),cfnai_ma3_lag2,CFNAI-MA3,-0.78695,0.1406,0.0,***,124,0.11715,0.10991
speech_chair,can,(2),const,const,1.03607,0.51309,0.04346,**,124,0.06498,0.05731
speech_chair,can,(2),vix_pre28,VIX,0.07594,0.03001,0.01139,**,124,0.06498,0.05731
speech_chair,can,(3),const,const,1.22211,0.43975,0.00545,***,124,0.1579,0.14398
speech_chair,can,(3),cfnai_ma3_lag2,CFNAI-MA3,-0.71037,0.10387,0.0,***,124,0.1579,0.14398
speech_chair,can,(3),vix_pre28,VIX,0.06096,0.02304,0.00815,***,124,0.1579,0.14398
speech_chair,can,(4),const,const,1.04352,0.42891,0.01498,**,124,0.1979,0.17093
speech_chair,can,(4),cfnai_ma3_lag2,CFNAI-MA3,-0.629,0.09046,0.0,***,124,0.1979,0.17093
speech_chair,can,(4),vix_pre28,VIX,0.07725,0.02129,0.00029,***,124,0.1979,0.17093
speech_chair,can,(4),unrate_gap_lag1,Unemp. gap,0.00341,0.05609,0.95154,,124,0.1979,0.17093
speech_chair,can,(4),corepce_gap_lag2,Core PCE gap,-0.34187,0.09942,0.00058,***,124,0.1979,0.17093
speech_chair,can,(5),const,const,1.21105,0.42201,0.00411,***,124,0.20316,0.18324
speech_chair,can,(5),cfnai_ma3_lag2,CFNAI-MA3,-0.60199,0.11916,0.0,***,124,0.20316,0.18324
speech_chair,can,(5),vix_pre28,VIX,0.08078,0.02099,0.00012,***,124,0.20316,0.18324
speech_chair,can,(5),post_fw,post-2020-09,-0.87402,0.27649,0.00157,***,124,0.20316,0.18324
speech_chair,can,(6) excl-2020,const,const,1.99494,0.81008,0.01379,**,118,0.01004,-0.00718
speech_chair,can,(6) excl-2020,cfnai_ma3_lag2,CFNAI-MA3,0.74502,0.73238,0.30903,,118,0.01004,-0.00718
speech_chair,can,(6) excl-2020,vix_pre28,VIX,0.01606,0.04749,0.73519,,118,0.01004,-0.00718
speech_chair,can,(7) Δ,const,const,0.02133,0.10161,0.83375,,123,0.1067,0.09181
speech_chair,can,(7) Δ,d_cfnai,ΔCFNAI,-0.82593,0.09751,0.0,***,123,0.1067,0.09181
speech_chair,can,(7) Δ,d_vix,ΔVIX,0.06005,0.0323,0.06303,*,123,0.1067,0.09181
speech_chair,can,(8) Δ excl-2020,const,const,0.04114,0.10968,0.70758,,117,0.03755,0.02067
speech_chair,can,(8) Δ excl-2020,d_cfnai,ΔCFNAI,-0.84319,0.45492,0.06381,*,117,0.03755,0.02067
