layer,item,kind,freq_in,tokens_in,freq_out,tokens_out,pmw_in,pmw_out,LL,p,log_ratio,pct_diff,sign,q
min_staff_desk,will,modal,35,71942,1301,812340,486.5,1601.5,72.4,0.0,-1.699,-69.6,-,0.0
min_staff_desk,would,modal,307,71942,3500,812340,4267.3,4308.5,0.03,0.8715,-0.012,-1.0,-,0.8715
min_staff_desk,could,modal,138,71942,1728,812340,1918.2,2127.2,1.41,0.2355,-0.144,-9.8,-,0.3223
min_staff_desk,can,modal,5,71942,548,812340,69.5,674.6,61.08,0.0,-3.143,-89.7,-,0.0
min_staff_desk,should,modal,27,71942,507,812340,375.3,624.1,7.75,0.0054,-0.709,-39.9,-,0.0175
min_staff_desk,may,modal,41,71942,655,812340,569.9,806.3,5.15,0.0232,-0.484,-29.3,-,0.0467
min_staff_desk,would+continue,unit,23,71942,241,812340,319.7,296.7,0.11,0.7346,0.136,7.8,+,0.764
min_staff_desk,would+help,unit,10,71942,80,812340,139.0,98.5,0.97,0.3258,0.559,41.1,+,0.4235
min_staff_desk,would+be+appropriate,unit,8,71942,240,812340,111.2,295.4,10.19,0.0014,-1.325,-62.4,-,0.0073
min_staff_desk,could+affect,unit,7,71942,31,812340,97.3,38.2,4.08,0.0434,1.427,155.0,+,0.0806
min_staff_desk,may+contribute,unit,7,71942,18,812340,97.3,22.2,8.53,0.0035,2.195,339.1,+,0.0142
min_staff_desk,would+use,unit,6,71942,7,812340,83.4,8.6,13.35,0.0003,3.291,867.9,+,0.0017
min_staff_desk,would+provide,unit,6,71942,37,812340,83.4,45.5,1.63,0.2014,0.969,83.1,+,0.2909
min_staff_desk,could+consider,unit,6,71942,7,812340,83.4,8.6,13.35,0.0003,3.291,867.9,+,0.0017
min_staff_desk,would+begin,unit,6,71942,16,812340,83.4,19.7,7.04,0.008,2.153,323.4,+,0.023
min_staff_desk,would+support,unit,6,71942,27,812340,83.4,33.2,3.4,0.0654,1.416,150.9,+,0.1133
min_staff_desk,would+be+useful,unit,5,71942,13,812340,69.5,16.0,6.03,0.0141,2.202,334.3,+,0.0333
min_staff_desk,could+result,unit,5,71942,38,812340,69.5,46.8,0.63,0.4288,0.69,48.6,+,0.5068
min_staff_desk,would+occur,unit,5,71942,15,812340,69.5,18.5,5.14,0.0234,2.002,276.4,+,0.0467
min_staff_desk,would+decline,unit,5,71942,13,812340,69.5,16.0,6.03,0.0141,2.202,334.3,+,0.0333
min_staff_desk,would+remain,unit,5,71942,115,812340,69.5,141.6,3.04,0.0814,-0.895,-50.9,-,0.1323
min_staff_desk,would+need,unit,5,71942,80,812340,69.5,98.5,0.63,0.4258,-0.374,-29.4,-,0.5068
min_staff_desk,could+increase,unit,5,71942,44,812340,69.5,54.2,0.26,0.6093,0.481,28.3,+,0.6887
min_staff_desk,would+fall,unit,5,71942,9,812340,69.5,11.1,8.37,0.0038,2.709,527.3,+,0.0142
min_staff_desk,could+continue,unit,4,71942,20,812340,55.6,24.6,1.84,0.1751,1.31,125.8,+,0.2678
min_staff_desk,would+increase,unit,4,71942,57,812340,55.6,70.2,0.22,0.6416,-0.178,-20.8,-,0.6951
min_staff,will,modal,16,249885,1320,634397,64.0,2080.7,743.78,0.0,-4.978,-96.9,-,0.0
min_staff,would,modal,327,249885,3480,634397,1308.6,5485.5,907.53,0.0,-2.066,-76.1,-,0.0
min_staff,could,modal,132,249885,1734,634397,528.2,2733.3,531.66,0.0,-2.366,-80.7,-,0.0
min_staff,can,modal,2,249885,551,634397,8.0,868.5,344.55,0.0,-6.441,-99.1,-,0.0
min_staff,should,modal,5,249885,529,634397,20.0,833.9,307.34,0.0,-5.245,-97.6,-,0.0
min_staff,may,modal,57,249885,639,634397,228.1,1007.3,174.03,0.0,-2.131,-77.4,-,0.0
min_staff,would+expand,unit,31,249885,52,634397,124.1,82.0,3.2,0.0736,0.607,51.3,+,0.0911
min_staff,would+increase,unit,27,249885,34,634397,108.0,53.6,7.07,0.0078,1.017,101.6,+,0.0128
min_staff,could+increase,unit,21,249885,28,634397,84.0,44.1,4.75,0.0293,0.937,90.4,+,0.0423
min_staff,may+edge,unit,18,249885,1,634397,72.0,1.6,38.32,0.0,4.969,4469.8,+,0.0
min_staff,would+remain,unit,18,249885,102,634397,72.0,160.8,11.79,0.0006,-1.126,-55.2,-,0.001
min_staff,would+move,unit,13,249885,48,634397,52.0,75.7,1.54,0.215,-0.501,-31.2,-,0.2431
min_staff,could+prove,unit,11,249885,25,634397,44.0,39.4,0.09,0.7614,0.195,11.7,+,0.7614
