level,key,unit,macro,rho_T1,p_T1,rho_T2,p_T2,rho_T3,rho_H1,rho_H2,n_tokens_T1,zero_share_T1,category,unit_level
genre,minutes,could,vix,0.219,0.0293,0.225,0.0317,0.092,0.341,-0.043,1511,0.0,era_composition,modal
genre,minutes,may,vix,-0.232,0.0208,-0.176,0.0951,-0.329,0.158,-0.558,314,0.101,T1_only,modal
genre,minutes,would,cfnai,0.209,0.0377,0.292,0.0049,0.175,0.255,0.21,3234,0.0,confirmed,modal
genre,speech,should,vix,-0.193,0.0321,-0.191,0.0387,-0.059,-0.039,-0.155,210,0.452,confirmed,modal
genre,speech,would,vix,-0.209,0.0199,-0.227,0.0135,-0.216,-0.248,0.021,573,0.202,era_composition,modal
layer,min_committee,could,cfnai,-0.251,0.0122,-0.37,0.0003,-0.13,-0.415,-0.548,83,0.293,confirmed,modal
layer,min_committee,could,vix,0.245,0.0144,0.337,0.0011,0.255,0.19,-0.12,83,0.293,era_composition,modal
layer,min_committee,would,cfnai,0.257,0.0103,0.304,0.0034,0.27,0.327,0.278,719,0.0,confirmed,modal
layer,min_participants,should,vix,-0.239,0.0174,-0.244,0.0199,-0.292,-0.085,-0.155,149,0.283,confirmed,modal
layer,min_participants,would,vix,0.24,0.0166,0.175,0.0978,0.145,-0.044,0.282,1537,0.0,T1_only,modal
layer,min_special,should,vix,0.325,0.0409,0.443,0.0068,0.337,,,58,0.325,era_composition,modal
layer,min_staff,ALL,vix,-0.333,0.0008,-0.361,0.0004,-0.393,-0.197,-0.235,539,0.0,confirmed,modal
layer,min_staff,could,vix,-0.266,0.0078,-0.204,0.0525,-0.305,-0.108,-0.337,132,0.364,T1_only,modal
layer,min_staff,may,vix,-0.255,0.0109,-0.227,0.0302,-0.267,0.107,-0.285,57,0.535,era_composition,modal
layer,min_staff,would,vix,-0.229,0.0228,-0.32,0.002,-0.269,-0.262,-0.014,327,0.071,confirmed,modal
layer,min_staff_desk,could,cfnai,0.213,0.0344,0.252,0.0161,0.182,0.241,0.269,138,0.434,confirmed,modal
layer,min_staff_desk,could,vix,0.211,0.0358,0.222,0.0347,0.147,0.125,0.405,138,0.434,confirmed,modal
layer,speech_chair,should,vix,-0.193,0.0321,-0.191,0.0387,-0.059,-0.039,-0.155,210,0.452,confirmed,modal
layer,speech_chair,would,vix,-0.209,0.0199,-0.227,0.0135,-0.216,-0.248,0.021,573,0.202,era_composition,modal
genre,minutes,could+impede,vix,0.362,0.0002,0.403,0.0001,0.252,,-0.366,52,0.525,era_composition,U2
genre,minutes,would+assess,cfnai,-0.427,0.0,-0.408,0.0001,-0.349,-0.308,-0.413,52,0.505,confirmed,U2
genre,minutes,would+be+appropriate,cfnai,0.224,0.0257,0.222,0.0341,0.2,0.321,0.254,237,0.081,confirmed,U2
genre,minutes,would+be+appropriate,vix,0.351,0.0004,0.318,0.0021,0.206,0.186,0.257,237,0.081,confirmed,U2
genre,minutes,would+be+prepared,vix,0.314,0.0016,0.366,0.0004,0.218,0.027,-0.484,49,0.505,era_composition,U2
genre,minutes,would+continue,vix,0.224,0.0256,0.134,0.207,0.166,-0.054,-0.176,256,0.091,T1_only,U2
genre,minutes,would+depend,cfnai,0.496,0.0,0.503,0.0,0.419,0.582,0.474,117,0.404,confirmed,U2
genre,minutes,would+help,vix,0.358,0.0003,0.338,0.0011,0.266,0.187,0.081,84,0.455,confirmed,U2
genre,minutes,would+need,cfnai,-0.297,0.0029,-0.26,0.013,-0.234,-0.378,-0.15,75,0.525,confirmed,U2
genre,minutes,would+remain,vix,-0.202,0.0447,-0.153,0.1483,-0.177,0.109,-0.074,112,0.394,T1_only,U2
genre,minutes,would+take,vix,0.299,0.0026,0.282,0.0068,0.098,0.035,0.175,123,0.131,confirmed,U2
layer,min_committee,could+impede,vix,0.38,0.0001,0.46,0.0,0.258,,-0.099,46,0.535,era_composition,U2
layer,min_committee,would+assess,cfnai,-0.491,0.0,-0.43,0.0,-0.392,-0.379,-0.394,49,0.515,confirmed,U2
layer,min_committee,would+be+appropriate,cfnai,0.407,0.0,0.391,0.0001,0.4,0.22,0.538,63,0.545,confirmed,U2
layer,min_committee,would+be+appropriate,vix,0.373,0.0001,0.334,0.0012,0.289,0.148,0.38,63,0.545,confirmed,U2
layer,min_committee,would+be+prepared,vix,0.38,0.0001,0.46,0.0,0.258,,-0.099,46,0.535,era_composition,U2
layer,min_committee,would+continue,vix,0.5,0.0,0.451,0.0,0.322,0.055,0.08,109,0.222,confirmed,U2
layer,min_committee,would+depend,cfnai,0.427,0.0,0.402,0.0001,0.365,0.601,0.336,51,0.586,confirmed,U2
layer,min_committee,would+depend,vix,-0.252,0.0118,-0.346,0.0008,-0.243,-0.266,0.135,51,0.586,era_composition,U2
layer,min_committee,would+take,vix,0.278,0.0054,0.295,0.0045,0.092,-0.043,0.058,86,0.172,era_composition,U2
layer,min_participants,would+be+appropriate,vix,0.21,0.037,0.154,0.1443,0.055,-0.047,0.125,143,0.232,T1_only,U2
layer,min_participants,would+help,vix,0.42,0.0,0.426,0.0,0.325,0.24,0.245,55,0.596,T1_only,U2
