key,unit,period,macro,p_text_to_macro,p_macro_to_text,n,q_text_to_macro,q_macro_to_text
minutes,ALL,T1,cfnai,0.2448,0.8072,99,0.8109333333333333,0.901060465116279
minutes,ALL,T1,vix,0.2224,0.5284,99,0.8109333333333333,0.8360727272727272
minutes,ALL,T2,cfnai,0.6547,0.0632,91,0.8643428571428571,0.2664
minutes,ALL,T2,vix,0.2956,0.6522,91,0.8109333333333333,0.8520648648648649
minutes,could,T1,cfnai,0.0067,0.4843,99,0.16080000000000003,0.8360727272727272
minutes,could,T1,vix,0.1034,0.5603,99,0.8109333333333333,0.8360727272727272
minutes,could,T2,cfnai,0.4421,0.9646,91,0.8488319999999999,0.9661
minutes,could,T2,vix,0.2996,0.3919,91,0.8109333333333333,0.752448
minutes,may,T1,cfnai,0.7803,0.7247,99,0.8686933333333333,0.8781714285714285
minutes,may,T1,vix,0.7156,0.0924,99,0.8643428571428571,0.3411692307692308
minutes,may,T2,cfnai,0.7965,0.5748,91,0.8686933333333333,0.8360727272727272
minutes,may,T2,vix,0.7489,0.7684,91,0.8643428571428571,0.8781714285714285
minutes,should,T1,cfnai,0.8144,0.7519,99,0.8686933333333333,0.8781714285714285
minutes,should,T1,vix,0.7076,0.2944,99,0.8643428571428571,0.70656
minutes,should,T2,cfnai,0.7056,0.2375,91,0.8643428571428571,0.6
minutes,should,T2,vix,0.4173,0.4871,91,0.8488,0.8360727272727272
minutes,will,T1,cfnai,0.4156,0.8685,99,0.8488,0.9264
minutes,will,T1,vix,0.6656,0.6998,99,0.8643428571428571,0.8781714285714285
minutes,will,T2,cfnai,0.7563,0.9661,91,0.8643428571428571,0.9661
minutes,will,T2,vix,0.2386,0.8478,91,0.8109333333333333,0.9248727272727273
minutes,would,T1,cfnai,0.1731,0.5506,99,0.8109333333333333,0.8360727272727272
minutes,would,T1,vix,0.4743,0.5392,99,0.8643428571428571,0.8360727272727272
minutes,would,T2,cfnai,0.6494,0.0159,91,0.8643428571428571,0.1272
minutes,would,T2,vix,0.6939,0.7642,91,0.8643428571428571,0.8781714285714285
minutes,would+be+appropriate,T1,cfnai,0.3416,0.0035,99,0.84528,0.056
minutes,would+be+appropriate,T1,vix,0.5739,0.1396,99,0.8643428571428571,0.4786285714285714
minutes,would+be+appropriate,T2,cfnai,0.2379,0.0054,91,0.8109333333333333,0.06480000000000001
minutes,would+be+appropriate,T2,vix,0.148,0.3492,91,0.8109333333333333,0.7452521739130434
minutes,would+continue,T1,cfnai,0.3041,0.9316,99,0.8109333333333333,0.9661
minutes,would+continue,T1,vix,0.606,0.0033,99,0.8643428571428571,0.056
minutes,would+continue,T2,cfnai,0.8541,0.6568,91,0.8722723404255319,0.8520648648648649
minutes,would+continue,T2,vix,0.9045,0.0485,91,0.9045,0.2664
minutes,would+depend,T1,cfnai,0.0059,0.0,99,0.16080000000000003,0.0
minutes,would+depend,T1,vix,0.7133,0.6537,99,0.8643428571428571,0.8520648648648649
minutes,would+depend,T2,cfnai,0.0754,0.0138,91,0.8109333333333333,0.1272
minutes,would+depend,T2,vix,0.5616,0.0662,91,0.8643428571428571,0.2664
minutes,would+need,T1,cfnai,0.2849,0.228,99,0.8109333333333333,0.6
minutes,would+need,T1,vix,0.7516,0.3875,99,0.8643428571428571,0.752448
minutes,would+need,T2,cfnai,0.5536,0.041,91,0.8643428571428571,0.2664
minutes,would+need,T2,vix,0.2947,0.1828,91,0.8109333333333333,0.5161411764705882
minutes,would+remain,T1,cfnai,0.4027,0.1796,99,0.8488,0.5161411764705882
minutes,would+remain,T1,vix,0.1973,0.065,99,0.8109333333333333,0.2664
minutes,would+remain,T2,cfnai,0.6119,0.5567,91,0.8643428571428571,0.8360727272727272
minutes,would+remain,T2,vix,0.3522,0.0666,91,0.84528,0.2664
minutes,would+take,T1,cfnai,0.1406,0.3571,99,0.8109333333333333,0.7452521739130434
minutes,would+take,T1,vix,0.8373,0.3369,99,0.8722723404255319,0.7452521739130434
minutes,would+take,T2,cfnai,0.1515,0.6287,91,0.8109333333333333,0.8520648648648649
minutes,would+take,T2,vix,0.4244,0.1616,91,0.8488,0.5161411764705882
