layer,unit,n_tokens,zero_T1,rho_cfnai_T1,p_cfnai_T1,rho_vix_T1,p_vix_T1,hac_b_cfnai_T1,hac_p_cfnai_T1,hac_b_vix_T1,hac_p_vix_T1,zero_T2,rho_cfnai_T2,p_cfnai_T2,rho_vix_T2,p_vix_T2,hac_b_cfnai_T2,hac_p_cfnai_T2,hac_b_vix_T2,hac_p_vix_T2,zero_T3,rho_cfnai_T3,p_cfnai_T3,rho_vix_T3,p_vix_T3
min_committee,ALL,958,0.0,0.009,0.9261,0.122,0.2303,-0.1031,0.1566,0.0495,0.2647,0.0,-0.019,0.8556,0.098,0.3542,-0.333,0.82,0.0478,0.4527,0.0,0.101,0.2492,0.097,0.2695
min_committee,would,719,0.0,0.257,0.0103,0.116,0.2549,-0.3298,0.0921,0.0933,0.2014,0.0,0.304,0.0034,-0.019,0.8554,3.6805,0.0041,-0.0304,0.7383,0.01,0.27,0.0018,0.095,0.2797
min_committee,should,85,0.45,-0.136,0.1794,-0.022,0.8306,0.0663,0.234,-0.0311,0.1706,0.42,-0.187,0.0755,0.087,0.4135,-0.7017,0.3909,0.0037,0.9301,0.5,-0.075,0.3944,-0.079,0.369
min_committee,could,83,0.29,-0.251,0.0122,0.245,0.0144,0.1158,0.0757,0.026,0.3518,0.27,-0.37,0.0003,0.337,0.0011,-1.5871,0.0006,0.0858,0.0,0.28,-0.13,0.1383,0.255,0.0033
min_committee,will,37,0.78,-0.159,0.115,-0.003,0.9734,0.0472,0.4232,-0.0132,0.4788,0.77,-0.232,0.0266,0.02,0.8488,-1.3281,0.0721,0.0064,0.7941,0.72,-0.154,0.0795,-0.011,0.9018
min_participants,ALL,2756,0.0,-0.091,0.373,0.144,0.1562,-0.2705,0.0249,0.1185,0.0664,0.0,-0.005,0.9595,0.064,0.5486,0.2722,0.7989,0.0241,0.6601,0.0,-0.069,0.4331,0.025,0.7773
min_participants,would,1537,0.0,0.017,0.8637,0.24,0.0166,-0.3106,0.0033,0.0996,0.0176,0.0,0.131,0.2167,0.175,0.0978,0.782,0.2405,0.0431,0.4999,0.0,0.012,0.8908,0.145,0.0979
min_participants,could,875,0.0,-0.175,0.0834,0.124,0.2204,0.1075,0.2104,0.05,0.1904,0.0,-0.227,0.0301,0.075,0.4782,-1.0507,0.203,0.0426,0.4904,0.0,-0.174,0.0468,0.059,0.5069
min_participants,may,157,0.32,-0.031,0.7621,-0.12,0.2355,0.0023,0.9548,-0.0046,0.807,0.3,-0.003,0.9787,-0.083,0.4351,-0.049,0.8754,-0.0187,0.2791,0.39,0.027,0.7573,-0.207,0.0176
min_participants,should,149,0.28,0.029,0.7734,-0.239,0.0174,-0.0545,0.0853,-0.0227,0.0407,0.27,0.147,0.1655,-0.244,0.0199,0.4692,0.0934,-0.0404,0.0,0.38,0.023,0.7911,-0.292,0.0007
