doc_id,doc_type,date,chair,word_count,compound,pos,neu,neg,n_sent,share_pos,share_neg
statement_20100127,Statement,2010-01-27,Bernanke,556,0.2971055555555555,0.1271111111111111,0.8373333333333333,0.035555555555555556,18,0.6666666666666666,0.16666666666666666
statement_20100316,Statement,2010-03-16,Bernanke,451,0.20414285714285715,0.11814285714285713,0.8200000000000001,0.06178571428571429,14,0.5714285714285714,0.21428571428571427
statement_20100428,Statement,2010-04-28,Bernanke,415,0.17986153846153843,0.12253846153846155,0.7984615384615386,0.07892307692307693,13,0.5384615384615384,0.3076923076923077
statement_20100623,Statement,2010-06-23,Bernanke,365,0.05184615384615384,0.0913076923076923,0.8168461538461538,0.09169230769230771,13,0.38461538461538464,0.3076923076923077
statement_20100810,Statement,2010-08-10,Bernanke,465,0.08985555555555555,0.07805555555555556,0.8564444444444445,0.0655,18,0.3333333333333333,0.2777777777777778
statement_20100921,Statement,2010-09-21,Bernanke,433,0.0751125,0.07018749999999999,0.84875,0.08106250000000001,16,0.4375,0.3125
statement_20101103,Statement,2010-11-03,Bernanke,499,0.123885,0.099,0.8186,0.08225,20,0.45,0.3
statement_20101214,Statement,2010-12-14,Bernanke,498,0.1309,0.09050000000000001,0.8332777777777778,0.07627777777777778,18,0.4444444444444444,0.3333333333333333
statement_20110126,Statement,2011-01-26,Bernanke,443,0.18146666666666664,0.09973333333333331,0.8138666666666665,0.0864,15,0.4666666666666667,0.3333333333333333
statement_20110315,Statement,2011-03-15,Bernanke,469,0.12433125,0.08331249999999998,0.8656874999999999,0.0509375,16,0.4375,0.3125
statement_20110427,Statement,2011-04-27,Bernanke,470,0.16890624999999998,0.09175,0.8648750000000001,0.043437500000000004,16,0.5,0.3125
statement_20110622,Statement,2011-06-22,Bernanke,462,0.0583235294117647,0.08264705882352942,0.8548823529411764,0.06241176470588235,17,0.47058823529411764,0.4117647058823529
statement_20110809,Statement,2011-08-09,Bernanke,530,0.03220952380952379,0.0917142857142857,0.8453809523809523,0.06295238095238094,21,0.47619047619047616,0.42857142857142855
statement_20110921,Statement,2011-09-21,Bernanke,604,0.12253750000000001,0.11341666666666667,0.8222916666666666,0.06433333333333334,24,0.5416666666666666,0.3333333333333333
statement_20111102,Statement,2011-11-02,Bernanke,497,0.12573333333333334,0.1118888888888889,0.8251111111111111,0.06305555555555557,18,0.5555555555555556,0.3333333333333333
statement_20111213,Statement,2011-12-13,Bernanke,441,0.1286,0.0975625,0.8436875,0.058875,16,0.4375,0.3125
statement_20120125,Statement,2012-01-25,Bernanke,430,0.1269266666666667,0.10680000000000002,0.8320666666666666,0.06126666666666667,15,0.4,0.3333333333333333
statement_20120313,Statement,2012-03-13,Bernanke,441,0.08075882352941176,0.10258823529411765,0.8221764705882352,0.07529411764705883,17,0.4117647058823529,0.35294117647058826
statement_20120425,Statement,2012-04-25,Bernanke,450,0.08685555555555556,0.10188888888888889,0.8304999999999999,0.06766666666666667,18,0.4444444444444444,0.3333333333333333
statement_20120620,Statement,2012-06-20,Bernanke,514,0.10042857142857142,0.09433333333333332,0.844142857142857,0.06157142857142857,21,0.38095238095238093,0.2857142857142857
statement_20120801,Statement,2012-08-01,Bernanke,469,0.022758823529411762,0.0763529411764706,0.8537647058823528,0.06994117647058823,17,0.29411764705882354,0.4117647058823529
statement_20120913,Statement,2012-09-13,Bernanke,573,0.2819523809523809,0.14604761904761906,0.8054285714285715,0.04852380952380953,21,0.5714285714285714,0.19047619047619047
statement_20121024,Statement,2012-10-24,Bernanke,560,0.25385,0.1366,0.8107,0.052700000000000004,20,0.55,0.25
statement_20121212,Statement,2012-12-12,Bernanke,698,0.22672499999999998,0.12483333333333334,0.8316666666666667,0.043583333333333335,24,0.5416666666666666,0.16666666666666666
statement_20130130,Statement,2013-01-30,Bernanke,657,0.18438095238095242,0.11514285714285714,0.8377619047619049,0.047285714285714285,21,0.5238095238095238,0.23809523809523808
statement_20130320,Statement,2013-03-20,Bernanke,655,0.21277142857142858,0.11138095238095239,0.8453333333333335,0.04342857142857143,21,0.5238095238095238,0.23809523809523808
statement_20130501,Statement,2013-05-01,Bernanke,681,0.22874999999999998,0.11531818181818182,0.8437727272727273,0.041045454545454545,22,0.5454545454545454,0.22727272727272727
statement_20130619,Statement,2013-06-19,Bernanke,709,0.24635238095238096,0.10890476190476191,0.8546190476190477,0.036619047619047614,21,0.5238095238095238,0.23809523809523808
statement_20130731,Statement,2013-07-31,Bernanke,712,0.22677619047619052,0.1041904761904762,0.8576190476190477,0.038285714285714284,21,0.5238095238095238,0.2857142857142857
statement_20130918,Statement,2013-09-18,Bernanke,810,0.32750454545454544,0.11795454545454546,0.8527272727272728,0.029409090909090916,22,0.6363636363636364,0.22727272727272727
statement_20131030,Statement,2013-10-30,Bernanke,788,0.2799304347826087,0.1207391304347826,0.8457826086956522,0.03352173913043478,23,0.6086956521739131,0.2608695652173913
statement_20131218,Statement,2013-12-18,Bernanke,889,0.30804,0.12416,0.84792,0.027880000000000002,25,0.6,0.24
statement_20140129,Statement,2014-01-29,Bernanke,852,0.307656,0.12683999999999998,0.8419200000000001,0.031200000000000002,25,0.6,0.28
statement_20140319,Statement,2014-03-19,Yellen,897,0.287148275862069,0.11462068965517241,0.8485862068965516,0.03679310344827587,29,0.5517241379310345,0.20689655172413793
statement_20140430,Statement,2014-04-30,Yellen,831,0.3339888888888889,0.1187037037037037,0.8535185185185186,0.027851851851851853,27,0.5925925925925926,0.14814814814814814
statement_20140618,Statement,2014-06-18,Yellen,818,0.3441269230769231,0.12646153846153846,0.8412307692307692,0.03234615384615385,26,0.6153846153846154,0.15384615384615385
statement_20140730,Statement,2014-07-30,Yellen,871,0.36827407407407403,0.12648148148148147,0.8571481481481482,0.016370370370370372,27,0.6666666666666666,0.07407407407407407
statement_20140917,Statement,2014-09-17,Yellen,915,0.3633571428571429,0.11789285714285715,0.8710000000000001,0.011142857142857145,28,0.6428571428571429,0.07142857142857142
statement_20141029,Statement,2014-10-29,Yellen,737,0.2733923076923077,0.10565384615384615,0.8732307692307694,0.02119230769230769,26,0.5769230769230769,0.07692307692307693
statement_20141217,Statement,2014-12-17,Yellen,744,0.212025,0.07604166666666667,0.8972916666666665,0.02666666666666667,24,0.5416666666666666,0.08333333333333333
statement_20150128,Statement,2015-01-28,Yellen,579,0.2221304347826087,0.08591304347826088,0.8916521739130434,0.02247826086956522,23,0.5217391304347826,0.08695652173913043
statement_20150318,Statement,2015-03-18,Yellen,594,0.250404347826087,0.09817391304347826,0.8710434782608695,0.030826086956521732,23,0.5652173913043478,0.08695652173913043
statement_20150429,Statement,2015-04-29,Yellen,570,0.22713809523809528,0.08095238095238096,0.891952380952381,0.02719047619047619,21,0.42857142857142855,0.14285714285714285
statement_20150617,Statement,2015-06-17,Yellen,555,0.21999999999999997,0.07875,0.8933500000000001,0.027949999999999996,20,0.45,0.15
statement_20150729,Statement,2015-07-29,Yellen,549,0.238305,0.0876,0.88565,0.026750000000000003,20,0.5,0.1
statement_20150917,Statement,2015-09-17,Yellen,598,0.19876363636363636,0.07627272727272727,0.8972272727272728,0.02659090909090909,22,0.45454545454545453,0.13636363636363635
statement_20151028,Statement,2015-10-28,Yellen,589,0.2025047619047619,0.07104761904761905,0.9047619047619048,0.024285714285714285,21,0.47619047619047616,0.14285714285714285
statement_20151216,Statement,2015-12-16,Yellen,608,0.24772857142857144,0.08533333333333334,0.8960952380952382,0.018571428571428572,21,0.5238095238095238,0.14285714285714285
statement_20160127,Statement,2016-01-27,Yellen,579,0.27488,0.0854,0.90395,0.0106,20,0.5,0.1
statement_20160316,Statement,2016-03-16,Yellen,592,0.22186818181818185,0.07986363636363637,0.9006363636363637,0.0195,22,0.45454545454545453,0.13636363636363635
statement_20160427,Statement,2016-04-27,Yellen,597,0.2625681818181818,0.0930909090909091,0.8931818181818181,0.013727272727272727,22,0.5,0.09090909090909091
statement_20160615,Statement,2016-06-15,Yellen,561,0.2503238095238095,0.10352380952380955,0.8770000000000001,0.019428571428571427,21,0.47619047619047616,0.09523809523809523
statement_20160727,Statement,2016-07-27,Yellen,586,0.2212608695652174,0.09152173913043478,0.8812608695652173,0.02717391304347826,23,0.4782608695652174,0.13043478260869565
statement_20160921,Statement,2016-09-21,Yellen,624,0.2169782608695652,0.08347826086956521,0.8911739130434783,0.02530434782608696,23,0.43478260869565216,0.13043478260869565
statement_20161102,Statement,2016-11-02,Yellen,618,0.20443478260869566,0.0763913043478261,0.8987391304347827,0.024869565217391306,23,0.391304347826087,0.13043478260869565
statement_20161214,Statement,2016-12-14,Yellen,556,0.18172857142857143,0.07452380952380952,0.8981428571428571,0.027333333333333338,21,0.38095238095238093,0.14285714285714285
statement_20170201,Statement,2017-02-01,Yellen,520,0.15789047619047622,0.07857142857142857,0.8878571428571428,0.03357142857142857,21,0.38095238095238093,0.19047619047619047
statement_20170315,Statement,2017-03-15,Yellen,542,0.14692857142857146,0.06333333333333334,0.9083333333333333,0.02833333333333334,21,0.3333333333333333,0.14285714285714285
statement_20170503,Statement,2017-05-03,Yellen,538,0.16898636363636366,0.07345454545454545,0.8995000000000001,0.027045454545454543,22,0.36363636363636365,0.13636363636363635
statement_20170614,Statement,2017-06-14,Yellen,572,0.13260000000000002,0.0615,0.9167272727272728,0.021818181818181816,22,0.36363636363636365,0.18181818181818182
statement_20170726,Statement,2017-07-26,Yellen,527,0.12196,0.06135,0.9159500000000002,0.02275,20,0.35,0.15
statement_20170920,Statement,2017-09-20,Yellen,555,0.03943333333333333,0.047619047619047616,0.9015714285714286,0.050809523809523804,21,0.3333333333333333,0.2857142857142857
statement_20171101,Statement,2017-11-01,Yellen,533,0.07352380952380952,0.04295238095238096,0.9288571428571428,0.02819047619047619,21,0.2857142857142857,0.23809523809523808
statement_20171213,Statement,2017-12-13,Yellen,506,0.09337999999999999,0.0534,0.9196500000000001,0.026949999999999995,20,0.3,0.2
statement_20180131,Statement,2018-01-31,Yellen,441,0.08588235294117647,0.05782352941176471,0.9145294117647059,0.02764705882352941,17,0.29411764705882354,0.23529411764705882
statement_20180321,Statement,2018-03-21,Powell,467,0.15454736842105263,0.08210526315789474,0.892,0.025894736842105262,19,0.42105263157894735,0.15789473684210525
statement_20180502,Statement,2018-05-02,Powell,441,0.13685000000000003,0.06927777777777777,0.8960555555555554,0.034722222222222224,18,0.3888888888888889,0.16666666666666666
statement_20180613,Statement,2018-06-13,Powell,341,0.18184285714285714,0.07435714285714286,0.894357142857143,0.031285714285714285,14,0.42857142857142855,0.14285714285714285
statement_20180801,Statement,2018-08-01,Powell,329,0.1540642857142857,0.07564285714285714,0.8876428571428571,0.03678571428571429,14,0.42857142857142855,0.14285714285714285
statement_20180926,Statement,2018-09-26,Powell,311,0.10936923076923076,0.06092307692307692,0.8995384615384615,0.039615384615384615,13,0.38461538461538464,0.15384615384615385
statement_20181108,Statement,2018-11-08,Powell,324,0.1510846153846154,0.06076923076923076,0.9055384615384614,0.033692307692307695,13,0.38461538461538464,0.15384615384615385
statement_20181219,Statement,2018-12-19,Powell,351,0.14254615384615385,0.05884615384615385,0.9154615384615384,0.02576923076923077,13,0.38461538461538464,0.15384615384615385
statement_20190130,Statement,2019-01-30,Powell,348,0.1576076923076923,0.07338461538461538,0.893,0.033692307692307695,13,0.5384615384615384,0.15384615384615385
statement_20190320,Statement,2019-03-20,Powell,364,0.11445384615384614,0.06884615384615385,0.8933076923076922,0.03784615384615385,13,0.46153846153846156,0.23076923076923078
statement_20190501,Statement,2019-05-01,Powell,340,0.11966923076923076,0.06907692307692306,0.8969230769230769,0.034,13,0.46153846153846156,0.23076923076923078
statement_20190619,Statement,2019-06-19,Powell,377,0.06702857142857142,0.05857142857142857,0.9015000000000001,0.03992857142857143,14,0.35714285714285715,0.2857142857142857
statement_20190731,Statement,2019-07-31,Powell,424,0.07694666666666668,0.061733333333333335,0.897,0.04126666666666667,15,0.3333333333333333,0.3333333333333333
statement_20190918,Statement,2019-09-18,Powell,409,0.012521428571428572,0.056785714285714294,0.8872857142857143,0.05585714285714286,14,0.2857142857142857,0.42857142857142855
statement_20191011,Statement,2019-10-11,Powell,730,0.4796,0.13706249999999998,0.8359375,0.0270625,16,0.75,0.125
statement_20191030,Statement,2019-10-30,Powell,369,-0.013328571428571431,0.05185714285714286,0.8938571428571428,0.054285714285714284,14,0.21428571428571427,0.35714285714285715
statement_20191211,Statement,2019-12-11,Powell,332,0.046553846153846154,0.05723076923076923,0.8945384615384615,0.04823076923076923,13,0.3076923076923077,0.3076923076923077
statement_20200129,Statement,2020-01-29,Powell,332,0.0047769230769230805,0.044384615384615383,0.9059999999999999,0.04961538461538462,13,0.23076923076923078,0.38461538461538464
statement_20200303,Statement,2020-03-03,Powell,150,0.09229999999999998,0.052,0.905,0.043,7,0.2857142857142857,0.2857142857142857
