lm_strong_modal_n,lm_weak_modal_n,lm_uncertainty_n,lm_strong_per_1000,lm_weak_per_1000,lm_uncertainty_per_1000,lm_net_modal_per_1000,lm_strong_minus_weak,n_tokens,doc_id,doc_type,date,chair
72,64,91,6.944,6.173,8.777,0.772,8,10368,transcript_20200729,press_conf_transcript,2020-07-29,Powell
83,54,96,7.444,4.843,8.61,2.601,29,11150,transcript_20200916,press_conf_transcript,2020-09-16,Powell
52,50,102,6.003,5.772,11.774,0.231,2,8663,transcript_20201105,press_conf_transcript,2020-11-05,Powell
71,57,108,6.769,5.434,10.297,1.335,14,10489,transcript_20201216,press_conf_transcript,2020-12-16,Powell
63,38,69,6.5,3.921,7.119,2.579,25,9692,transcript_20210127,press_conf_transcript,2021-01-27,Powell
61,59,99,5.737,5.549,9.312,0.188,2,10632,transcript_20210317,press_conf_transcript,2021-03-17,Powell
79,40,81,7.715,3.906,7.91,3.809,39,10240,transcript_20210428,press_conf_transcript,2021-04-28,Powell
77,60,101,7.079,5.516,9.286,1.563,17,10877,transcript_20210616,press_conf_transcript,2021-06-16,Powell
72,71,107,7.153,7.053,10.63,0.099,1,10066,transcript_20210728,press_conf_transcript,2021-07-28,Powell
51,42,74,5.403,4.45,7.84,0.953,9,9439,transcript_20210922,press_conf_transcript,2021-09-22,Powell
80,51,98,8.013,5.108,9.816,2.905,29,9984,transcript_20211103,press_conf_transcript,2021-11-03,Powell
53,59,112,4.81,5.354,10.164,-0.545,-6,11019,transcript_20211215,press_conf_transcript,2021-12-15,Powell
75,53,103,7.59,5.363,10.423,2.226,22,9882,transcript_20220126,press_conf_transcript,2022-01-26,Powell
62,39,75,6.626,4.168,8.015,2.458,23,9357,transcript_20220316,press_conf_transcript,2022-03-16,Powell
53,66,91,6.323,7.874,10.857,-1.551,-13,8382,transcript_20220504,press_conf_transcript,2022-05-04,Powell
60,52,108,6.143,5.324,11.057,0.819,8,9768,transcript_20220615,press_conf_transcript,2022-06-15,Powell
51,62,120,5.057,6.148,11.899,-1.091,-11,10085,transcript_20220727,press_conf_transcript,2022-07-27,Powell
60,31,59,8.087,4.178,7.953,3.909,29,7419,transcript_20220921,press_conf_transcript,2022-09-21,Powell
56,37,69,6.907,4.563,8.51,2.343,19,8108,transcript_20221102,press_conf_transcript,2022-11-02,Powell
70,33,66,8.71,4.106,8.212,4.604,37,8037,transcript_20221214,press_conf_transcript,2022-12-14,Powell
85,35,88,10.539,4.34,10.911,6.2,50,8065,transcript_20230201,press_conf_transcript,2023-02-01,Powell
58,51,98,7.366,6.477,12.446,0.889,7,7874,transcript_20230322,press_conf_transcript,2023-03-22,Powell
50,80,121,5.514,8.822,13.344,-3.308,-30,9068,transcript_20230503,press_conf_transcript,2023-05-03,Powell
56,51,85,6.031,5.493,9.155,0.539,5,9285,transcript_20230614,press_conf_transcript,2023-06-14,Powell
45,58,100,4.681,6.033,10.403,-1.352,-13,9613,transcript_20230726,press_conf_transcript,2023-07-26,Powell
44,62,101,4.34,6.116,9.963,-1.775,-18,10138,transcript_20230920,press_conf_transcript,2023-09-20,Powell
49,54,116,5.163,5.69,12.222,-0.527,-5,9491,transcript_20231101,press_conf_transcript,2023-11-01,Powell
49,46,103,5.955,5.591,12.518,0.365,3,8228,transcript_20231213,press_conf_transcript,2023-12-13,Powell
46,53,113,4.753,5.476,11.675,-0.723,-7,9679,transcript_20240131,press_conf_transcript,2024-01-31,Powell
56,52,85,6.742,6.261,10.234,0.482,4,8306,transcript_20240320,press_conf_transcript,2024-03-20,Powell
60,68,119,6.736,7.634,13.36,-0.898,-8,8907,transcript_20240501,press_conf_transcript,2024-05-01,Powell
41,48,99,4.128,4.833,9.968,-0.705,-7,9932,transcript_20240612,press_conf_transcript,2024-06-12,Powell
48,40,99,5.37,4.475,11.075,0.895,8,8939,transcript_20240731,press_conf_transcript,2024-07-31,Powell
53,50,109,5.85,5.519,12.031,0.331,3,9060,transcript_20240918,press_conf_transcript,2024-09-18,Powell
37,31,79,4.727,3.961,10.093,0.767,6,7827,transcript_20241107,press_conf_transcript,2024-11-07,Powell
37,54,142,3.681,5.373,14.128,-1.691,-17,10051,transcript_20241218,press_conf_transcript,2024-12-18,Powell
45,54,129,4.81,5.772,13.789,-0.962,-9,9355,transcript_20250129,press_conf_transcript,2025-01-29,Powell
53,52,111,5.489,5.386,11.497,0.104,1,9655,transcript_20250319,press_conf_transcript,2025-03-19,Powell
52,90,142,5.778,10.001,15.78,-4.223,-38,8999,transcript_20250507,press_conf_transcript,2025-05-07,Powell
61,63,127,6.137,6.338,12.777,-0.201,-2,9940,transcript_20250618,press_conf_transcript,2025-06-18,Powell
37,50,106,4.415,5.966,12.648,-1.551,-13,8381,transcript_20250730,press_conf_transcript,2025-07-30,Powell
45,57,136,4.823,6.109,14.575,-1.286,-12,9331,transcript_20250917,press_conf_transcript,2025-09-17,Powell
63,65,141,6.377,6.58,14.273,-0.202,-2,9879,transcript_20251029,press_conf_transcript,2025-10-29,Powell
45,55,105,4.789,5.853,11.174,-1.064,-10,9397,transcript_20251210,press_conf_transcript,2025-12-10,Powell
33,60,112,4.013,7.297,13.62,-3.283,-27,8223,transcript_20260128,press_conf_transcript,2026-01-28,Powell
55,50,104,6.121,5.564,11.574,0.556,5,8986,transcript_20260318,press_conf_transcript,2026-03-18,Powell
74,42,80,7.184,4.078,7.767,3.107,32,10300,transcript_20260429,press_conf_transcript,2026-04-29,Powell
26,9,24,8.85,3.063,8.169,5.786,17,2938,speech_bernanke_20110203a,speech,2011-02-03,Bernanke
13,43,65,2.995,9.908,14.977,-6.912,-30,4340,speech_bernanke_20110210a,speech,2011-02-10,Bernanke
9,6,14,4.182,2.788,6.506,1.394,3,2152,speech_bernanke_20110218a,speech,2011-02-18,Bernanke
19,24,38,6.382,8.062,12.765,-1.68,-5,2977,speech_bernanke_20110302a,speech,2011-03-02,Bernanke
19,10,25,6.43,3.384,8.46,3.046,9,2955,speech_bernanke_20110323a,speech,2011-03-23,Bernanke
15,15,53,3.844,3.844,13.583,0.0,0,3902,speech_bernanke_20110404a,speech,2011-04-04,Bernanke
16,12,16,5.891,4.418,5.891,1.473,4,2716,speech_bernanke_20110429a,speech,2011-04-29,Bernanke
22,23,75,5.993,6.265,20.43,-0.272,-1,3671,speech_bernanke_20110505a,speech,2011-05-05,Bernanke
2,4,4,3.39,6.78,6.78,-3.39,-2,590,speech_bernanke_20110512a,speech,2011-05-12,Bernanke
13,20,40,3.252,5.003,10.005,-1.751,-7,3998,speech_bernanke_20110516a,speech,2011-05-16,Bernanke
16,30,49,3.626,6.8,11.106,-3.173,-14,4412,speech_bernanke_20110607a,speech,2011-06-07,Bernanke
10,18,37,4.742,8.535,17.544,-3.793,-8,2109,speech_bernanke_20110614a,speech,2011-06-14,Bernanke
37,19,38,10.218,5.247,10.494,4.971,18,3621,speech_bernanke_20110826a,speech,2011-08-26,Bernanke
10,10,29,3.597,3.597,10.432,0.0,0,2780,speech_bernanke_20110908a,speech,2011-09-08,Bernanke
2,0,9,3.466,0.0,15.598,3.466,2,577,speech_bernanke_20110915a,speech,2011-09-15,Bernanke
16,20,35,3.225,4.031,7.055,-0.806,-4,4961,speech_bernanke_20110928a,speech,2011-09-28,Bernanke
17,20,53,4.246,4.995,13.237,-0.749,-3,4004,speech_bernanke_20111018a,speech,2011-10-18,Bernanke
10,5,6,8.347,4.174,5.008,4.174,5,1198,speech_bernanke_20111109a,speech,2011-11-09,Bernanke
14,11,16,6.116,4.806,6.99,1.311,3,2289,speech_bernanke_20111110a,speech,2011-11-10,Bernanke
28,21,45,7.357,5.518,11.823,1.839,7,3806,speech_bernanke_20120216a,speech,2012-02-16,Bernanke
9,5,12,6.211,3.451,8.282,2.761,4,1449,speech_bernanke_20120314a,speech,2012-03-14,Bernanke
6,0,1,8.683,0.0,1.447,8.683,6,691,speech_bernanke_20120323a,speech,2012-03-23,Bernanke
24,47,70,4.991,9.773,14.556,-4.783,-23,4809,speech_bernanke_20120326a,speech,2012-03-26,Bernanke
14,15,54,3.75,4.018,14.466,-0.268,-1,3733,speech_bernanke_20120409a,speech,2012-04-09,Bernanke
14,15,64,2.799,2.999,12.797,-0.2,-1,5001,speech_bernanke_20120413a,speech,2012-04-13,Bernanke
12,20,47,3.736,6.227,14.633,-2.491,-8,3212,speech_bernanke_20120510a,speech,2012-05-10,Bernanke
3,3,3,2.708,2.708,2.708,0.0,0,1108,speech_bernanke_20120724a,speech,2012-07-24,Bernanke
7,15,26,4.021,8.616,14.934,-4.595,-8,1741,speech_bernanke_20120806a,speech,2012-08-06,Bernanke
8,4,6,6.515,3.257,4.886,3.257,4,1228,speech_bernanke_20120807a,speech,2012-08-07,Bernanke
18,49,105,2.552,6.946,14.885,-4.395,-31,7054,speech_bernanke_20120831a,speech,2012-08-31,Bernanke
35,23,32,7.883,5.18,7.207,2.703,12,4440,speech_bernanke_20121001a,speech,2012-10-01,Bernanke
6,6,18,3.382,3.382,10.147,0.0,0,1774,speech_bernanke_20121014a,speech,2012-10-14,Bernanke
24,15,26,6.13,3.831,6.641,2.299,9,3915,speech_bernanke_20121115a,speech,2012-11-15,Bernanke
29,46,81,5.886,9.336,16.44,-3.45,-17,4927,speech_bernanke_20121120a,speech,2012-11-20,Bernanke
27,41,111,4.99,7.577,20.514,-2.587,-14,5411,speech_bernanke_20130301a,speech,2013-03-01,Bernanke
3,14,27,1.174,5.479,10.568,-4.305,-11,2555,speech_bernanke_20130325a,speech,2013-03-25,Bernanke
15,13,58,3.544,3.072,13.705,0.473,2,4232,speech_bernanke_20130408a,speech,2013-04-08,Bernanke
12,12,16,3.309,3.309,4.413,0.0,0,3626,speech_bernanke_20130412a,speech,2013-04-12,Bernanke
12,15,72,2.722,3.402,16.33,-0.68,-3,4409,speech_bernanke_20130510a,speech,2013-05-10,Bernanke
24,18,32,8.667,6.501,11.557,2.167,6,2769,speech_bernanke_20130518a,speech,2013-05-18,Bernanke
23,9,18,12.541,4.907,9.815,7.634,14,1834,speech_bernanke_20130602a,speech,2013-06-02,Bernanke
13,24,50,1.928,3.559,7.415,-1.631,-11,6743,speech_bernanke_20130710a,speech,2013-07-10,Bernanke
12,3,6,10.417,2.604,5.208,7.812,9,1152,speech_bernanke_20131002a,speech,2013-10-02,Bernanke
1,0,4,0.72,0.0,2.88,0.72,1,1389,speech_bernanke_20131014a,speech,2013-10-14,Bernanke
7,7,22,2.819,2.819,8.86,0.0,0,2483,speech_bernanke_20131108a,speech,2013-11-08,Bernanke
7,4,4,5.645,3.226,3.226,2.419,3,1240,speech_bernanke_20131113a,speech,2013-11-13,Bernanke
5,2,5,8.696,3.478,8.696,5.217,3,575,speech_bernanke_20131114a,speech,2013-11-14,Bernanke
32,52,93,5.109,8.303,14.849,-3.193,-20,6263,speech_bernanke_20131119a,speech,2013-11-19,Bernanke
3,1,3,2.288,0.763,2.288,1.526,2,1311,speech_bernanke_20131216a,speech,2013-12-16,Bernanke
13,1,5,16.03,1.233,6.165,14.797,12,811,speech_bernanke_20131216b,speech,2013-12-16,Bernanke
24,34,78,3.313,4.694,10.768,-1.38,-10,7244,speech_bernanke_20140103a,speech,2014-01-03,Bernanke
11,2,7,14.512,2.639,9.235,11.873,9,758,speech_powell_20180213a,speech,2018-02-13,Powell
23,30,51,5.672,7.398,12.577,-1.726,-7,4055,speech_powell_20180406a,speech,2018-04-06,Powell
9,9,33,3.956,3.956,14.505,0.0,0,2275,speech_powell_20180508a,speech,2018-05-08,Powell
14,7,15,6.983,3.491,7.481,3.491,7,2005,speech_powell_20180525a,speech,2018-05-25,Powell
5,18,30,2.561,9.221,15.369,-6.66,-13,1952,speech_powell_20180620a,speech,2018-06-20,Powell
33,23,82,6.696,4.667,16.64,2.029,10,4928,speech_powell_20180824a,speech,2018-08-24,Powell
3,0,2,5.725,0.0,3.817,5.725,3,524,speech_powell_20180927a,speech,2018-09-27,Powell
20,33,93,4.477,7.388,20.819,-2.91,-13,4467,speech_powell_20181002a,speech,2018-10-02,Powell
22,29,76,5.266,6.941,18.191,-1.675,-7,4178,speech_powell_20181128a,speech,2018-11-28,Powell
3,3,5,2.947,2.947,4.912,0.0,0,1018,speech_powell_20181203a,speech,2018-12-03,Powell
9,3,4,6.642,2.214,2.952,4.428,6,1355,speech_powell_20181206a,speech,2018-12-06,Powell
4,2,3,4.246,2.123,3.185,2.123,2,942,speech_powell_20190206a,speech,2019-02-06,Powell
5,11,16,1.62,3.563,5.183,-1.944,-6,3087,speech_powell_20190212a,speech,2019-02-12,Powell
17,27,42,5.86,9.307,14.478,-3.447,-10,2901,speech_powell_20190228b,speech,2019-02-28,Powell
34,38,70,7.715,8.623,15.884,-0.908,-4,4407,speech_powell_20190308a,speech,2019-03-08,Powell
2,1,2,3.067,1.534,3.067,1.534,1,652,speech_powell_20190311a,speech,2019-03-11,Powell
4,6,9,4.944,7.417,11.125,-2.472,-2,809,speech_powell_20190509a,speech,2019-05-09,Powell
11,26,83,3.226,7.625,24.34,-4.399,-15,3410,speech_powell_20190520a,speech,2019-05-20,Powell
30,17,38,9.05,5.128,11.463,3.922,13,3315,speech_powell_20190604a,speech,2019-06-04,Powell
16,7,17,11.181,4.892,11.88,6.289,9,1431,speech_powell_20190625a,speech,2019-06-25,Powell
8,8,17,10.84,10.84,23.035,0.0,0,738,speech_powell_20190709a,speech,2019-07-09,Powell
14,6,17,5.807,2.489,7.051,3.318,8,2411,speech_powell_20190716a,speech,2019-07-16,Powell
26,16,62,6.425,3.954,15.32,2.471,10,4047,speech_powell_20190823a,speech,2019-08-23,Powell
4,7,10,4.667,8.168,11.669,-3.501,-3,857,speech_powell_20191004a,speech,2019-10-04,Powell
5,1,3,6.274,1.255,3.764,5.019,4,797,speech_powell_20191007a,speech,2019-10-07,Powell
33,24,62,7.981,5.804,14.994,2.177,9,4135,speech_powell_20191008a,speech,2019-10-08,Powell
4,6,9,5.626,8.439,12.658,-2.813,-2,711,speech_powell_20191009a,speech,2019-10-09,Powell
13,21,43,4.96,8.012,16.406,-3.052,-8,2621,speech_powell_20191125a,speech,2019-11-25,Powell
9,1,4,9.424,1.047,4.188,8.377,8,955,speech_powell_20200409a,speech,2020-04-09,Powell
12,15,20,8.027,10.033,13.378,-2.007,-3,1495,speech_powell_20200513a,speech,2020-05-13,Powell
3,2,7,5.545,3.697,12.939,1.848,1,541,speech_powell_20200521a,speech,2020-05-21,Powell
4,0,1,7.233,0.0,1.808,7.233,4,553,speech_powell_20200619a,speech,2020-06-19,Powell
33,19,51,6.248,3.597,9.655,2.651,14,5282,speech_powell_20200827a,speech,2020-08-27,Powell
15,16,28,6.742,7.191,12.584,-0.449,-1,2225,speech_powell_20201006a,speech,2020-10-06,Powell
23,16,23,7.558,5.258,7.558,2.3,7,3043,speech_powell_20210210a,speech,2021-02-10,Powell
10,2,5,10.977,2.195,5.488,8.782,8,911,speech_powell_20210318a,speech,2021-03-18,Powell
11,2,3,8.627,1.569,2.353,7.059,9,1275,speech_powell_20210503a,speech,2021-05-03,Powell
7,2,4,10.355,2.959,5.917,7.396,5,676,speech_powell_20210817a,speech,2021-08-17,Powell
23,17,43,6.093,4.503,11.391,1.589,6,3775,speech_powell_20210827a,speech,2021-08-27,Powell
1,3,7,2.299,6.897,16.092,-4.598,-2,435,speech_powell_20210924a,speech,2021-09-24,Powell
6,2,3,7.682,2.561,3.841,5.122,4,781,speech_powell_20211108a,speech,2021-11-08,Powell
8,3,3,7.346,2.755,2.755,4.591,5,1089,speech_powell_20211109a,speech,2021-11-09,Powell
8,1,1,15.355,1.919,1.919,13.436,7,521,speech_powell_20211129a,speech,2021-11-29,Powell
18,18,29,6.322,6.322,10.186,0.0,0,2847,speech_powell_20220321a,speech,2022-03-21,Powell
4,2,2,5.908,2.954,2.954,2.954,2,677,speech_powell_20220524a,speech,2022-05-24,Powell
5,5,6,5.118,5.118,6.141,0.0,0,977,speech_powell_20220617a,speech,2022-06-17,Powell
23,5,13,15.753,3.425,8.904,12.329,18,1460,speech_powell_20220826a,speech,2022-08-26,Powell
1,2,2,2.058,4.115,4.115,-2.058,-1,486,speech_powell_20220928a,speech,2022-09-28,Powell
30,21,44,9.331,6.532,13.686,2.799,9,3215,speech_powell_20221130a,speech,2022-11-30,Powell
5,4,12,3.968,3.175,9.524,0.794,1,1260,speech_powell_20230110a,speech,2023-01-10,Powell
17,15,24,9.913,8.746,13.994,1.166,2,1715,speech_powell_20230629a,speech,2023-06-29,Powell
22,19,42,7.988,6.899,15.251,1.089,3,2754,speech_powell_20230825a,speech,2023-08-25,Powell
4,4,5,5.175,5.175,6.468,0.0,0,773,speech_powell_20230928a,speech,2023-09-28,Powell
8,9,23,6.038,6.792,17.358,-0.755,-1,1325,speech_powell_20231019a,speech,2023-10-19,Powell
5,3,4,4.102,2.461,3.281,1.641,2,1219,speech_powell_20231025a,speech,2023-10-25,Powell
6,2,3,6.452,2.151,3.226,4.301,4,930,speech_powell_20231108a,speech,2023-11-08,Powell
17,14,27,7.45,6.135,11.832,1.315,3,2282,speech_powell_20231109a,speech,2023-11-09,Powell
12,3,13,7.38,1.845,7.995,5.535,9,1626,speech_powell_20231201a,speech,2023-12-01,Powell
16,6,14,10.811,4.054,9.459,6.757,10,1480,speech_powell_20240403a,speech,2024-04-03,Powell
21,14,23,11.419,7.613,12.507,3.806,7,1839,speech_powell_20240519a,speech,2024-05-19,Powell
14,12,39,3.727,3.195,10.383,0.532,2,3756,speech_powell_20240823a,speech,2024-08-23,Powell
3,1,1,5.254,1.751,1.751,3.503,2,571,speech_powell_20240926a,speech,2024-09-26,Powell
5,1,8,5.714,1.143,9.143,4.571,4,875,speech_powell_20240930a,speech,2024-09-30,Powell
5,4,12,5.171,4.137,12.41,1.034,1,967,speech_powell_20241114a,speech,2024-11-14,Powell
10,4,17,10.504,4.202,17.857,6.303,6,952,speech_powell_20250307a,speech,2025-03-07,Powell
12,7,17,13.029,7.6,18.458,5.429,5,921,speech_powell_20250404a,speech,2025-04-04,Powell
9,7,15,10.465,8.14,17.442,2.326,2,860,speech_powell_20250416a,speech,2025-04-16,Powell
14,12,44,4.952,4.245,15.564,0.707,2,2827,speech_powell_20250515a,speech,2025-05-15,Powell
10,8,22,5.872,4.698,12.918,1.174,2,1703,speech_powell_20250525a,speech,2025-05-25,Powell
8,2,16,6.056,1.514,12.112,4.542,6,1321,speech_powell_20250602a,speech,2025-06-02,Powell
4,1,3,8.421,2.105,6.316,6.316,3,475,speech_powell_20250722a,speech,2025-07-22,Powell
25,29,80,6.136,7.118,19.637,-0.982,-4,4074,speech_powell_20250822a,speech,2025-08-22,Powell
11,9,28,8.864,7.252,22.562,1.612,2,1241,speech_powell_20250923a,speech,2025-09-23,Powell
1,3,3,3.135,9.404,9.404,-6.27,-2,319,speech_powell_20251009a,speech,2025-10-09,Powell
21,28,60,4.931,6.574,14.088,-1.644,-7,4259,speech_powell_20251014a,speech,2025-10-14,Powell
2,8,8,2.481,9.926,9.926,-7.444,-6,806,speech_powell_20251201a,speech,2025-12-01,Powell
5,2,2,13.889,5.556,5.556,8.333,3,360,speech_powell_20260111a,speech,2026-01-11,Powell
2,3,3,4.04,6.061,6.061,-2.02,-1,495,speech_powell_20260321a,speech,2026-03-21,Powell
11,2,4,8.857,1.61,3.221,7.246,9,1242,speech_powell_20260531a,speech,2026-05-31,Powell
6,1,1,7.059,1.176,1.176,5.882,5,850,speech_yellen_20140305a,speech,2014-03-05,Yellen
2,1,2,3.509,1.754,3.509,1.754,1,570,speech_yellen_20140325a,speech,2014-03-25,Yellen
24,16,32,5.897,3.931,7.862,1.966,8,4070,speech_yellen_20140331a,speech,2014-03-31,Yellen
8,7,18,7.435,6.506,16.729,0.929,1,1076,speech_yellen_20140415a,speech,2014-04-15,Yellen
39,40,68,7.665,7.862,13.365,-0.197,-1,5088,speech_yellen_20140416a,speech,2014-04-16,Yellen
17,18,41,5.314,5.627,12.817,-0.313,-1,3199,speech_yellen_20140501a,speech,2014-05-01,Yellen
3,1,2,5.396,1.799,3.597,3.597,2,556,speech_yellen_20140515a,speech,2014-05-15,Yellen
7,2,7,7.299,2.086,7.299,5.214,5,959,speech_yellen_20140521a,speech,2014-05-21,Yellen
19,47,124,3.885,9.609,25.353,-5.725,-28,4891,speech_yellen_20140702a,speech,2014-07-02,Yellen
23,78,105,4.209,14.275,19.217,-10.066,-55,5464,speech_yellen_20140822a,speech,2014-08-22,Yellen
5,0,5,7.194,0.0,7.194,7.194,5,695,speech_yellen_20140918a,speech,2014-09-18,Yellen
16,30,52,2.453,4.6,7.973,-2.147,-14,6522,speech_yellen_20141017a,speech,2014-10-17,Yellen
5,6,11,5.056,6.067,11.122,-1.011,-1,989,speech_yellen_20141030a,speech,2014-10-30,Yellen
11,10,17,7.383,6.711,11.409,0.671,1,1490,speech_yellen_20141107a,speech,2014-11-07,Yellen
12,22,57,2.797,5.128,13.287,-2.331,-10,4290,speech_yellen_20150303a,speech,2015-03-03,Yellen
45,57,133,7.138,9.042,21.098,-1.904,-12,6304,speech_yellen_20150327a,speech,2015-03-27,Yellen
10,16,20,7.413,11.861,14.826,-4.448,-6,1349,speech_yellen_20150402a,speech,2015-04-02,Yellen
4,17,54,1.335,5.674,18.024,-4.339,-13,2996,speech_yellen_20150506a,speech,2015-05-06,Yellen
23,36,58,6.201,9.706,15.638,-3.505,-13,3709,speech_yellen_20150522a,speech,2015-05-22,Yellen
18,39,61,4.293,9.301,14.548,-5.008,-21,4193,speech_yellen_20150710a,speech,2015-07-10,Yellen
39,89,188,3.711,8.47,17.891,-4.758,-50,10508,speech_yellen_20150924a,speech,2015-09-24,Yellen
6,3,7,4.959,2.479,5.785,2.479,3,1210,speech_yellen_20150930a,speech,2015-09-30,Yellen
1,4,5,1.222,4.89,6.112,-3.667,-3,818,speech_yellen_20151020a,speech,2015-10-20,Yellen
5,3,3,8.065,4.839,4.839,3.226,2,620,speech_yellen_20151112a,speech,2015-11-12,Yellen
27,29,73,5.246,5.634,14.183,-0.389,-2,5147,speech_yellen_20151202a,speech,2015-12-02,Yellen
43,52,121,8.53,10.315,24.003,-1.785,-9,5041,speech_yellen_20160329a,speech,2016-03-29,Yellen
43,42,94,8.063,7.875,17.626,0.188,1,5333,speech_yellen_20160606a,speech,2016-06-06,Yellen
26,64,100,4.038,9.939,15.53,-5.902,-38,6439,speech_yellen_20160826a,speech,2016-08-26,Yellen
4,3,7,4.63,3.472,8.102,1.157,1,864,speech_yellen_20160929a,speech,2016-09-29,Yellen
9,55,94,1.443,8.817,15.069,-7.374,-46,6238,speech_yellen_20161014a,speech,2016-10-14,Yellen
16,9,16,7.407,4.167,7.407,3.241,7,2160,speech_yellen_20161219a,speech,2016-12-19,Yellen
3,5,7,2.566,4.277,5.988,-1.711,-2,1169,speech_yellen_20170112a,speech,2017-01-12,Yellen
24,23,35,7.851,7.524,11.449,0.327,1,3057,speech_yellen_20170118a,speech,2017-01-18,Yellen
26,31,90,4.019,4.791,13.91,-0.773,-5,6470,speech_yellen_20170119a,speech,2017-01-19,Yellen
31,22,68,6.824,4.843,14.968,1.981,9,4543,speech_yellen_20170303a,speech,2017-03-03,Yellen
19,9,12,12.386,5.867,7.823,6.519,10,1534,speech_yellen_20170323a,speech,2017-03-23,Yellen
7,13,16,1.765,3.279,4.035,-1.513,-6,3965,speech_yellen_20170328a,speech,2017-03-28,Yellen
7,38,53,1.03,5.59,7.796,-4.56,-31,6798,speech_yellen_20170505a,speech,2017-05-05,Yellen
16,46,123,2.371,6.816,18.225,-4.445,-30,6749,speech_yellen_20170825a,speech,2017-08-25,Yellen
31,92,178,3.627,10.765,20.828,-7.138,-61,8546,speech_yellen_20170926a,speech,2017-09-26,Yellen
2,0,2,3.205,0.0,3.205,3.205,2,624,speech_yellen_20171004a,speech,2017-10-04,Yellen
17,21,36,9.545,11.791,20.213,-2.246,-4,1781,speech_yellen_20171015a,speech,2017-10-15,Yellen
19,26,48,4.377,5.989,11.057,-1.613,-7,4341,speech_yellen_20171020a,speech,2017-10-20,Yellen
5,2,8,5.612,2.245,8.979,3.367,3,891,speech_yellen_20171107a,speech,2017-11-07,Yellen
