variable,outcome_vs_will,coef,rrr,p
const,would,2.491,12.069,5.685358393073844e-27
const,could,0.028,1.028,0.9410464326643442
const,can,-4.513,0.011,6.751915945348008e-09
const,should,0.058,1.06,0.8664703266522851
const,may,-2.212,0.109,0.002931920961823556
period_late,would,-0.373,0.688,1.1666968393905115e-15
period_late,could,-0.432,0.649,1.1540421340257079e-08
period_late,can,-0.003,0.997,0.9611207729714285
period_late,should,-0.488,0.614,6.0819789434024895e-09
period_late,may,-0.409,0.665,5.720910224561818e-07
subj_type_econ,would,0.252,1.286,0.19118165067590676
subj_type_econ,could,1.089,2.97,0.0012678504880825165
subj_type_econ,can,1.716,5.564,0.0006994859973578327
subj_type_econ,should,0.904,2.469,0.0034733921909016717
subj_type_econ,may,2.539,12.668,0.0003745675950992954
subj_type_fed,would,0.468,1.597,0.24361842877668327
subj_type_fed,could,0.586,1.796,0.3961962723544338
subj_type_fed,can,3.399,29.94,1.3566694741511297e-09
subj_type_fed,should,1.473,4.364,0.0033284256067467022
subj_type_fed,may,1.517,4.559,0.1360061447864887
subj_type_it_there_rel,would,0.933,2.542,7.79984870088046e-07
subj_type_it_there_rel,could,1.84,6.297,3.562145481776815e-08
subj_type_it_there_rel,can,1.767,5.851,0.0004671029648886118
subj_type_it_there_rel,should,0.694,2.001,0.02652004149525731
subj_type_it_there_rel,may,3.16,23.576,9.08193115002677e-06
subj_type_none,would,1.263,3.537,1.223590164069519e-05
subj_type_none,could,2.083,8.026,1.6516361516765887e-06
subj_type_none,can,4.672,106.947,1.1205146184215396e-18
subj_type_none,should,1.482,4.403,0.0011195109120117883
subj_type_none,may,2.877,17.758,0.0003233290143957055
subj_type_other,would,0.714,2.041,0.00018755500847397996
subj_type_other,could,1.502,4.491,7.577523862072074e-06
subj_type_other,can,2.105,8.209,3.0100681985677414e-05
subj_type_other,should,1.18,3.255,0.0001311995740233587
subj_type_other,may,2.999,20.061,2.5509237014628355e-05
subj_type_person,would,0.962,2.617,1.1133313592480868e-06
subj_type_person,could,1.568,4.798,5.530795054164588e-06
subj_type_person,can,3.366,28.955,2.6131748053065063e-11
subj_type_person,should,1.17,3.223,0.0002702836968136923
subj_type_person,may,2.723,15.22,0.00015701633496474344
subj_type_risks,would,5.292,198.659,0.18458816439281878
subj_type_risks,could,-1.531,0.216,0.9624159651100896
subj_type_risks,can,7.022,1121.166,0.08056953428956608
subj_type_risks,should,5.323,204.944,0.19250767810352187
subj_type_risks,may,7.438,1699.815,0.06792844376256121
subj_type_we_I,would,1.177,3.245,2.814275968612207e-10
subj_type_we_I,could,0.159,1.173,0.6410024851999178
subj_type_we_I,can,2.179,8.838,1.4196056431771109e-05
subj_type_we_I,should,0.263,1.3,0.4002802273806163
subj_type_we_I,may,1.031,2.804,0.15188450467321848
layer_pc_chair,would,-3.627,0.027,1.242602278662185e-91
layer_pc_chair,could,-2.91,0.054,3.316745864461668e-42
layer_pc_chair,can,1.221,3.389,0.044411575825962495
layer_pc_chair,should,-2.617,0.073,4.787472418369987e-34
layer_pc_chair,may,-2.051,0.129,2.345516683397647e-15
layer_speech_chair,would,-4.005,0.018,7.822191868969507e-105
layer_speech_chair,could,-2.45,0.086,4.7613685451683373e-29
layer_speech_chair,can,1.499,4.478,0.013878763290657771
layer_speech_chair,should,-2.535,0.079,6.818322581928113e-30
layer_speech_chair,may,-1.338,0.262,3.1227750420170977e-07
cond,would,0.518,1.678,7.645407751445904e-22
cond,could,0.77,2.159,3.8293341819645696e-23
cond,can,0.235,1.265,0.0006072029427817203
cond,should,-0.017,0.983,0.8695967331820256
cond,may,0.046,1.047,0.6300587721490889
reported,would,0.024,1.025,0.663281512505961
reported,could,-0.698,0.498,7.539931358028337e-12
reported,can,-0.313,0.731,3.665192853438623e-05
reported,should,0.146,1.157,0.12340050692516379
reported,may,-0.612,0.542,2.0690048542877197e-08
