layer,will,would,could,can,should,may
min_committee,-16.8,28.4,-1.21,-9.76,2.67,-5.89
speech_chair,-0.25,-10.1,2.14,9.54,-0.21,5.69
statement,19.25,-11.08,-3.0,-8.58,-2.55,-5.03
